鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
文山區,房地(土地+建物),仙岩路22巷1~30號,28.63,都市：其他:第三種住宅區。,,,1091002,土地1建物1車位0,一層,二十層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840411,98.25,2,2,1,有,有,16420000,167125,,0.0,0,其他增建;,RPWPMLTKIIPFFAA78DA,74.57,8.22,0.0,有
中正區,房地(土地+建物),羅斯福路四段61~90號,4.88,都市：其他:交通用地(公共設施用地)。78/11/29,,,1091016,土地2建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941229,59.47,1,1,1,有,有,18060000,303683,,0.0,0,陽台外推;夾層;,RPQNMLKLIIPFFAA17DA,34.87,0.0,4.95,有
文山區,房地(土地+建物)+車位,興隆路四段58巷16弄1~30號,44.88,都市：其他:第三種住宅區。,,,1090821,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030606,263.19,5,2,2,有,有,35080000,133288,坡道平面,70.32,0,其他增建;,RPQOMLOKIIPFFAA57DA,114.24,0.0,12.56,有
中正區,房地(土地+建物),金華街31~60號,25.28,都市：其他:第三之一種住宅區(中正紀念堂特定專用區)及第三種住宅區及第三種住宅區(中正紀念堂特定專用區)。,,,1090927,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741022,144.11,3,2,2,有,有,37880000,262855,,0.0,0,陽台外推;其他增建;,RPTPMLQLIIPFFAA28DA,88.25,0.0,8.18,有
文山區,房地(土地+建物)+車位,汀州路四段181~210號,36.6,都市：其他:第三種住宅區。,,,1090929,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991105,189.76,3,2,2,有,有,29500000,155460,坡道平面,0.0,0,其他增建;,RPVNMLRLIIPFFAA38DA,102.9,0.0,11.77,有
中正區,房地(土地+建物)+車位,師大路181~210號,15.13,都市：其他:第三種住宅區。,,,1091008,土地3建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010824,136.93,3,1,1,有,有,27000000,235386,坡道平面,34.97,3000000,其他增建;,RPPPMLSLIIPFFAA08DA,59.51,4.95,6.8,有
文山區,車位,仙岩路11巷1~30號,0.38,都市：其他:第三種住宅區。,,,1091022,土地1建物1車位1,一層,十七層,其他,見其他登記事項,鋼骨鋼筋混凝土造,1050930,42.19,0,0,0,有,有,2250000,,坡道平面,42.19,2250000,僅車位交易;,RPSNMLKMIIPFFAA47DA,0.0,0.0,0.0,有
文山區,房地(土地+建物),試院路144巷2弄1~30號,18.75,都市：其他:第三種住宅區。,,,1091011,土地9建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810601,49.64,2,1,1,有,無,7380000,148670,,0.0,0,陽台外推;,RPWNMLQJJIPFFAA28DA,39.66,2.41,3.81,有
中正區,建物,和平西路二段121~150號,0.0,,,,1091101,土地0建物1車位0,全,四層,透天厝,,加強磚造,,337.44,5,2,3,有,無,22000000,65197,,0.0,0,賣方依照當時買入原價出賣予買方,RPSOMLQJJIPFFAA97DA,337.44,0.0,0.0,無
中正區,房地(土地+建物)+車位,羅斯福路三段1~30號,23.09,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1091027,土地2建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1060425,239.11,3,2,2,有,有,67219999,281126,坡道平面,27.32,0,政府機關標讓售;,RPSNMLTJJIPFFAA18DA,124.35,7.46,9.21,有
文山區,房地(土地+建物)+車位,興隆路三段304巷91~120號,17.83,都市：其他:第三種住宅區。,,,1090711,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081016,97.72,1,1,1,有,有,13600000,139173,升降機械,9.5,0,,RPSNMLKKJIPFFAA37DA,36.09,0.0,9.49,有
萬華區,房地(土地+建物),德昌街185巷14弄1~30號,26.44,都市：其他:道路用地(公共設施用地)。56/8/25,,,1090831,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690201,92.57,3,2,1,有,無,10600000,114508,,0.0,0,陽台外推;其他增建;,RPOPMLQJIIPFFBA67DA,78.89,4.58,9.1,無
大同區,房地(土地+建物),重慶北路一段31~60號,4.35,都市：其他:第三種商業區。,,,1091004,土地2建物1車位0,全,一層,透天厝,,磚造,,3.06,0,0,0,無,無,3000000,980392,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLTJJIPFFBA18DA,3.06,0.0,0.0,無
萬華區,房地(土地+建物),長泰街211~240號,23.75,都市：其他:第三種住宅區。,,,1091015,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,67.1,1,1,1,有,無,11500000,171386,,0.0,0,其他增建;,RPTNMLTJJIPFFBA38DA,67.1,0.0,0.0,無
內湖區,車位,江南街91~120號,0.22,都市：其他:第三種住宅區。,,,1090818,土地1建物1車位1,一層，地下一層,十三層,其他,停車空間,鋼筋混凝土造,0940412,32.99,0,0,0,有,有,2600000,,坡道平面,0.0,2600000,僅車位交易;,RPORMLTJRHPFFCA09DA,0.0,0.0,0.0,有
內湖區,房地(土地+建物),江南街91~120號,21.44,都市：其他:第三種住宅區。,,,1090818,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940412,90.6,2,1,1,有,有,20000000,220751,,0.0,0,陽台外推;,RPQRMLTJRHPFFCA66DA,77.74,2.77,8.57,有
內湖區,房地(土地+建物)+車位,文湖街21巷118弄1~30號,27.88,都市：其他:第三種住宅區。,,,1091005,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070710,139.74,2,1,1,有,有,23580000,190526,升降機械,24.9,1700000,,RPVOMLRJIIPFFCA48DA,56.7,1.43,7.33,有
中山區,房地(土地+建物),民生東路一段61~90號,5.92,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091007,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0810422,47.6,1,1,1,有,有,7300000,153361,,0.0,0,,RPSQMLLLIIPFFCA97DA,28.58,0.0,5.38,有
內湖區,房地(土地+建物),環山路一段59巷12弄1~30號,36.06,都市：其他:道路用地(公共設施用地)。65/2/14,,,1090713,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681121,89.37,3,2,2,有,無,14000000,156652,,0.0,0,含土地增值稅或其他稅費;含仲介費;頂樓加蓋;,RPRQMLMLIIPFFCA97DA,82.43,0.0,6.94,無
中山區,房地(土地+建物),復興北路514巷1~30號,26.55,都市：其他:第三種住宅區。,,,1091002,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730720,100.76,2,2,1,有,無,16200000,160778,,0.0,0,陽台外推;其他增建;,RPVQMLMLIIPFFCA38DA,83.78,0.0,8.86,無
中山區,房地(土地+建物),松江路235巷1~30號,30.13,都市：其他:第三種住宅區。,,,1090928,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660117,153.07,3,2,2,有,無,28500000,186189,,0.0,0,陽台外推;其他增建;,RPTNMLSLIIPFFCA48DA,136.29,0.0,16.78,有
中山區,房地(土地+建物)+車位,新生北路二段68巷1~30號,10.82,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090927,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,129.95,2,1,1,有,有,24980000,279331,坡道平面,46.25,1600000,含裝潢費750000元;,RPUNMLSLIIPFFCA58DA,58.88,6.51,4.17,有
中山區,房地(土地+建物),新生北路三段1~30號,3.67,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,,,1091012,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700122,36.75,1,1,1,有,有,5800000,157823,,0.0,0,其他增建;,RPXQMLSLIIPFFCA56DA,25.81,0.0,0.0,有
中山區,房地(土地+建物)+車位,林森北路631~660號,8.76,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090816,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961024,95.06,2,1,1,有,有,15800000,166211,坡道機械,0.0,0,陽台外推;,RPTNMLMJJIPFFCA77DA,39.29,1.87,12.93,有
內湖區,土地,石潭段三小段421~450地號,67.53,都市：其他:第二種住宅區。,,,1091029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10215000,151266,,0.0,0,,RPQNMLPJJIPFFCA77DA,0.0,0.0,0.0,無
中山區,房地(土地+建物),復興北路514巷31~60號,33.2,都市：其他:第三種住宅區。,,,1090831,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730709,123.8,3,2,2,有,無,18400000,148627,,0.0,0,陽台外推;其他增建;,RPTOMLPJJIPFFCA18DA,104.17,0.0,10.74,無
中山區,房地(土地+建物),中山北路二段151~180號,38.0,都市：其他:第三種商業區。,,,1090923,土地1建物3車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701204,391.15,0,0,0,無,有,81680000,208820,,0.0,0,現況點交，賣方不負擔漏滲水瑕疵擔保責任。三戶打通使用。,RPPNMLQJJIPFFCA77DA,316.44,0.0,8.76,有
內湖區,房地(土地+建物)+車位,基湖路10巷31~60號,50.99,都市：其他:科技工業區(A區不得作住宅使用)。,,,1090731,土地1建物1車位2,三層,八層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0880415,369.12,10,1,0,有,有,43000000,116493,坡道平面,0.0,0,,RPVOMLQJJIPFFCA48DA,257.91,0.0,0.0,有
內湖區,房地(土地+建物),康寧路一段195巷3弄1~30號,23.23,都市：其他:第三種住宅區。,,,1090818,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080814,88.63,2,2,1,有,無,21500000,242582,,0.0,0,,RPUQMLQJJIPFFCA58DA,49.95,4.35,3.26,有
中山區,房地(土地+建物)+車位,樂群二路91~120號,45.98,都市：其他:商業區(供商業購物中心使用不得作住宅使用)。,,,1090926,土地1建物1車位2,九層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971121,317.01,2,2,4,有,有,95000000,348541,坡道平面,61.66,6000000,陽台外推;,RPPRMLQJJIPFFCA18DA,143.1,7.6,17.28,有
內湖區,房地(土地+建物),金湖路31~60號,40.46,都市：其他:第三種住宅區。,,,1090827,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920930,191.25,3,2,2,有,有,42360000,221490,,0.0,0,,RPTNMLTJJIPFFCA48DA,122.65,0.0,16.32,有
信義區,房地(土地+建物)+車位,吳興街600巷76弄1~30號,26.15,都市：其他:第三種住宅區。,,,1090922,土地4建物1車位1,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060907,190.7,0,0,0,無,有,32200000,197606,坡道平面,41.16,2650000,毛胚屋;,RPSOMLQKIIPFFDA28DA,86.55,0.0,12.08,有
松山區,房地(土地+建物),八德路四段106巷10弄1~30號,34.25,都市：其他:第三之一種住宅區(特)。,,,1090929,土地2建物1車位0,二層，露台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,93.13,3,2,1,有,無,17580000,188768,,0.0,0,其他增建;,RPSRMLQLIIPFFDA68DA,93.13,0.0,0.0,無
信義區,土地,逸仙段二小段271~300地號,0.29,都市：其他:道路用地(公共設施用地)。62/5/29,,,1091026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26050,0,,0.0,0,包含公共設施保留地用地;,RPROMLRLIIPFFDA38DA,0.0,0.0,0.0,無
信義區,土地,逸仙段二小段271~300地號,0.07,都市：其他:道路用地(公共設施用地)。62/5/29,,,1091026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6570,0,,0.0,0,包含公共設施保留地用地;,RPSOMLRLIIPFFDA48DA,0.0,0.0,0.0,無
信義區,房地(土地+建物)+車位,逸仙路31~60號,39.41,都市：其他:道路用地(公共設施用地)。61/3/27,,,1090722,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0681214,380.39,5,2,4,有,有,138880000,365099,升降機械,0.0,0,陽台外推;,RPXPMLRLIIPFFDA09DA,301.18,0.0,30.02,有
信義區,房地(土地+建物),信義路五段150巷271~300號,28.29,都市：其他:第三種住宅區。,,,1090913,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711123,107.28999999999999,3,2,2,有,無,16080000,149874,,0.0,0,其他增建;,RPXPMLSLIIPFFDA56DA,89.37,0.0,7.37,無
信義區,房地(土地+建物),基隆路一段147巷5弄31~60號,12.61,都市：其他:第三種住宅區。,,,1091004,土地2建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800903,53.739999999999995,1,1,1,有,有,12580000,234090,,0.0,0,陽台外推;其他增建;,RPXOMLTLIIPFFDA56DA,24.08,11.39,2.58,有
松山區,房地(土地+建物),南京東路四段181~210號,6.65,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090918,土地2建物2車位0,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0730217,85.17,2,2,1,有,有,18300000,214864,,0.0,0,陽台外推;其他增建;,RPWOMLMJJIPFFDA28DA,55.27,0.0,13.24,有
南港區,房地(土地+建物)+車位,園區街31~60號,27.09,都市：其他:住宅區(特)。,,,1091009,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000414,196.08999999999997,4,2,2,有,有,40000000,203988,坡道平面,33.87,0,,RPRNMLNJJIPFFDA77DA,98.78,8.59,5.59,有
南港區,房地(土地+建物),福德街361~390號,21.15,都市：其他:住宅區。,,,1091007,土地1建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870521,128.45,2,2,1,有,有,21800000,169716,,0.0,0,,RPXNMLNJJIPFFDA38DA,70.52,0.0,7.89,有
信義區,房地(土地+建物),松山路511~540號,23.14,都市：其他:第三種住宅區。,,,1091007,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710916,120.17,3,2,2,有,無,22000000,183074,,0.0,0,,RPQPMLQJJIPFFDA18DA,81.89,0.0,25.26,有
南港區,房地(土地+建物)+車位,園區街1~30號,25.46,都市：其他:住宅區(特)。,,,1090828,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000412,168.37,3,2,2,有,有,35700000,212033,坡道平面,42.93,0,,RPUPMLQJJIPFFDA58DA,79.57,1.7,8.93,有
南港區,房地(土地+建物),舊莊街一段241~270號,18.45,都市：其他:第三種住宅區。,,,1090911,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070814,73.52000000000001,1,0,1,有,有,9780000,133025,,0.0,0,拆算房地價格，其中土地買賣價格新台幣5868000元整，建物價格3912000元整。,RPPNMLTJJIPFFDA18DA,40.62,0.0,4.62,有
