編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLOKIIPFFAA57DA,6,126.80,住家用,鋼筋混凝土造,103年6月6日,九層,九層
RPQOMLOKIIPFFAA57DA,6,136.39,見其他登記事項,鋼筋混凝土造,103年6月6日,九層,
RPSNMLTJJIPFFAA18DA,4,141.02,見其他登記事項,鋼骨鋼筋混凝土造,106年4月25日,二十四層,二十二層
RPSNMLTJJIPFFAA18DA,4,62.12,見其他登記事項,鋼骨鋼筋混凝土造,106年4月25日,二十四層,
RPSNMLTJJIPFFAA18DA,4,35.97,見其他登記事項,鋼骨鋼筋混凝土造,106年4月25日,二十四層,
RPSNMLKMIIPFFAA47DA,4,.14,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,十七層,一層
RPSNMLKMIIPFFAA47DA,4,42.05,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,十七層,
RPWNMLQJJIPFFAA28DA,28,45.88,住家用,鋼筋混凝土造,81年6月1日,六層,四層
RPWNMLQJJIPFFAA28DA,28,3.76,共有部分,鋼筋混凝土造,81年6月1日,六層,
RPVNMLRLIIPFFAA38DA,10,114.67,住家用,鋼筋混凝土造,99年11月5日,十四層,十二層
RPVNMLRLIIPFFAA38DA,10,75.09,見其他登記事項,鋼筋混凝土造,99年11月5日,十四層,
RPTPMLQLIIPFFAA28DA,35,47.68,共有部分,鋼筋混凝土造,74年10月22日,十二層,
RPTPMLQLIIPFFAA28DA,35,96.43,住家用,鋼筋混凝土造,74年10月22日,十二層,十層
RPQNMLKLIIPFFAA17DA,15,39.82,見其他登記事項,鋼筋混凝土造,94年12月29日,十五層,十四層
RPQNMLKLIIPFFAA17DA,15,14.47,共有部分,鋼筋混凝土造,94年12月29日,十五層,
RPQNMLKLIIPFFAA17DA,15,5.18,共有部分,鋼筋混凝土造,94年12月29日,十五層,
RPSNMLKKJIPFFAA37DA,1,45.58,見其他登記事項,鋼筋混凝土造,108年10月16日,七層,六層
RPSNMLKKJIPFFAA37DA,1,20.15,見其他登記事項,鋼筋混凝土造,108年10月16日,七層,
RPSNMLKKJIPFFAA37DA,1,31.99,見其他登記事項,鋼筋混凝土造,108年10月16日,七層,
RPSOMLQJJIPFFAA97DA,,337.44,,加強磚造,,四層,一層 二層 三層 四層 騎樓
RPWPMLTKIIPFFAA78DA,25,82.79,商業用,鋼筋混凝土造,84年4月11日,二十層,一層
RPWPMLTKIIPFFAA78DA,25,3.94,見使用執照,鋼筋混凝土造,84年4月11日,二十層,
RPWPMLTKIIPFFAA78DA,25,11.52,見使用執照,鋼筋混凝土造,84年4月11日,二十層,
RPORMLTJRHPFFCA09DA,15,29.93,停車空間,鋼筋混凝土造,94年4月12日,十三層,一層 地下一層
RPORMLTJRHPFFCA09DA,15,.00,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPORMLTJRHPFFCA09DA,15,3.05,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPVOMLRJIIPFFCA48DA,2,65.46,住家用,鋼筋混凝土造,107年7月10日,七層,二層
RPVOMLRJIIPFFCA48DA,2,74.28,見其他登記事項,鋼筋混凝土造,107年7月10日,七層,
RPOPMLQJIIPFFBA67DA,41,92.57,住家用,鋼筋混凝土造,69年2月1日,五層,五層
RPPPMLSLIIPFFAA08DA,8,35.58,住家用,鋼筋混凝土造,101年8月24日,十四層,八層
RPPPMLSLIIPFFAA08DA,8,35.58,住家用,鋼筋混凝土造,101年8月24日,十四層,八層
RPPPMLSLIIPFFAA08DA,8,.06,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,一層
RPPPMLSLIIPFFAA08DA,8,.06,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,一層
RPPPMLSLIIPFFAA08DA,8,7.74,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,
RPPPMLSLIIPFFAA08DA,8,7.74,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,
RPPPMLSLIIPFFAA08DA,8,7.61,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,
RPPPMLSLIIPFFAA08DA,8,17.49,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,
RPPPMLSLIIPFFAA08DA,8,17.49,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,
RPPPMLSLIIPFFAA08DA,8,7.61,見其他登記事項,鋼筋混凝土造,101年8月24日,十四層,
RPRNMLTJJIPFFBA18DA,,3.06,,磚造,,一層,一層 騎樓
RPTNMLTJJIPFFBA38DA,,67.10,住家用,加強磚造,,四層,一層
RPQRMLTJRHPFFCA66DA,15,59.15,住家用,鋼筋混凝土造,94年4月12日,十三層,六層
RPQRMLTJRHPFFCA66DA,15,15.64,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPQRMLTJRHPFFCA66DA,15,9.71,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPQRMLTJRHPFFCA66DA,15,3.92,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPQRMLTJRHPFFCA66DA,15,2.18,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPTNMLSLIIPFFCA48DA,44,153.07,住家用,鋼筋混凝土造,66年1月17日,七層,二層
RPSQMLLLIIPFFCA97DA,28,33.96,商業用,鋼筋混凝土造,81年4月22日,十一層,五層
RPSQMLLLIIPFFCA97DA,28,8.56,共有部分,鋼筋混凝土造,81年4月22日,十一層,
RPSQMLLLIIPFFCA97DA,28,5.07,共有部分,鋼筋混凝土造,81年4月22日,十一層,
RPVQMLMLIIPFFCA38DA,36,92.64,住家用,鋼筋混凝土造,73年7月20日,五層,二層
RPVQMLMLIIPFFCA38DA,36,8.12,共有部分,鋼筋混凝土造,73年7月20日,五層,
RPRQMLMLIIPFFCA97DA,41,44.68,住家用,鋼筋混凝土造,68年11月21日,四層,四層
RPRQMLMLIIPFFCA97DA,41,44.68,住家用,鋼筋混凝土造,68年11月21日,四層,四層
RPUNMLSLIIPFFCA58DA,4,54.80,住家用,見其他登記事項,105年6月2日,十二層,八層
RPUNMLSLIIPFFCA58DA,4,14.76,停車空間,見其他登記事項,105年6月2日,十二層,地下一層 地下二層 地下三層
RPUNMLSLIIPFFCA58DA,4,27.84,見其他登記事項,見其他登記事項,105年6月2日,十二層,
RPUNMLSLIIPFFCA58DA,4,.84,見其他登記事項,見其他登記事項,105年6月2日,十二層,
RPUNMLSLIIPFFCA58DA,4,31.71,見其他登記事項,見其他登記事項,105年6月2日,十二層,
RPXQMLSLIIPFFCA56DA,40,25.81,住家用,鋼筋混凝土造,70年1月22日,十四層,九層
RPXQMLSLIIPFFCA56DA,40,10.94,共有部分,鋼筋混凝土造,70年1月22日,十四層,
RPTNMLMJJIPFFCA77DA,13,53.97,住家用,鋼筋混凝土造,96年10月24日,九層,六層
RPTNMLMJJIPFFCA77DA,13,.12,商業用,鋼筋混凝土造,96年10月24日,九層,地下一層
RPTNMLMJJIPFFCA77DA,13,21.06,共有部分,鋼筋混凝土造,96年10月24日,九層,
RPTNMLMJJIPFFCA77DA,13,.02,共有部分,鋼筋混凝土造,96年10月24日,九層,
RPTNMLMJJIPFFCA77DA,13,19.89,共有部分,鋼筋混凝土造,96年10月24日,九層,
RPTOMLPJJIPFFCA18DA,36,114.91,住家用,鋼筋混凝土造,73年7月9日,五層,四層
RPTOMLPJJIPFFCA18DA,36,8.89,共有部分,鋼筋混凝土造,73年7月9日,五層,
RPVOMLQJJIPFFCA48DA,21,170.05,工業用,鋼筋混凝土造,88年4月15日,八層,三層
RPVOMLQJJIPFFCA48DA,21,87.86,停車空間,鋼筋混凝土造,88年4月15日,八層,地下二層
RPVOMLQJJIPFFCA48DA,21,111.19,共有部分,鋼筋混凝土造,88年4月15日,八層,
RPVOMLQJJIPFFCA48DA,21,.02,共有部分,鋼筋混凝土造,88年4月15日,八層,
RPPRMLQJJIPFFCA18DA,12,167.98,商業用,鋼筋混凝土造,97年11月21日,十一層,九層
RPPRMLQJJIPFFCA18DA,12,98.08,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPPRMLQJJIPFFCA18DA,12,8.44,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPPRMLQJJIPFFCA18DA,12,17.13,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPPRMLQJJIPFFCA18DA,12,25.39,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPSOMLQKIIPFFDA28DA,3,98.63,見其他登記事項,鋼筋混凝土造,106年9月7日,十層,六層
RPSOMLQKIIPFFDA28DA,3,32.99,見其他登記事項,鋼筋混凝土造,106年9月7日,十層,
RPSOMLQKIIPFFDA28DA,3,59.08,見其他登記事項,鋼筋混凝土造,106年9月7日,十層,
RPXPMLRLIIPFFDA09DA,41,307.81,住家用,鋼筋混凝土造,68年12月14日,十二層,四層
RPXPMLRLIIPFFDA09DA,41,23.39,見其他登記事項,鋼筋混凝土造,68年12月14日,十二層,地下層
RPXPMLRLIIPFFDA09DA,41,45.75,共有部分,鋼筋混凝土造,68年12月14日,十二層,
RPXPMLRLIIPFFDA09DA,41,3.44,共有部分,鋼筋混凝土造,68年12月14日,十二層,
RPPNMLQJJIPFFCA77DA,39,102.04,商業用,鋼筋混凝土造,70年12月4日,十二層,十二層
RPPNMLQJJIPFFCA77DA,39,115.25,住家用,鋼筋混凝土造,70年12月4日,十二層,十二層
RPPNMLQJJIPFFCA77DA,39,107.91,商業用,鋼筋混凝土造,70年12月4日,十二層,十二層
RPPNMLQJJIPFFCA77DA,39,21.17,共有部分,鋼筋混凝土造,70年12月4日,十二層,
RPPNMLQJJIPFFCA77DA,39,21.92,共有部分,鋼筋混凝土造,70年12月4日,十二層,
RPPNMLQJJIPFFCA77DA,39,22.86,共有部分,鋼筋混凝土造,70年12月4日,十二層,
RPUQMLQJJIPFFCA58DA,1,57.56,住家用,鋼筋混凝土造,108年8月14日,九層,三層
RPUQMLQJJIPFFCA58DA,1,31.07,見其他登記事項,鋼筋混凝土造,108年8月14日,九層,
RPXPMLSLIIPFFDA56DA,38,96.74,住家用,鋼筋混凝土造,71年11月23日,五層,四層
RPXPMLSLIIPFFDA56DA,38,10.55,共有部分,鋼筋混凝土造,71年11月23日,五層,
RPTNMLTJJIPFFCA48DA,17,138.97,住家用,鋼筋混凝土造,92年9月30日,十四層,四層
RPTNMLTJJIPFFCA48DA,17,17.29,共有部分,鋼筋混凝土造,92年9月30日,十四層,
RPTNMLTJJIPFFCA48DA,17,27.27,共有部分,鋼筋混凝土造,92年9月30日,十四層,
RPTNMLTJJIPFFCA48DA,17,7.71,共有部分,鋼筋混凝土造,92年9月30日,十四層,
RPXOMLTLIIPFFDA56DA,29,38.05,住家用,鋼筋混凝土造,80年9月3日,六層,五層
RPXOMLTLIIPFFDA56DA,29,6.44,共有部分,鋼筋混凝土造,80年9月3日,六層,
RPXOMLTLIIPFFDA56DA,29,9.25,共有部分,鋼筋混凝土造,80年9月3日,六層,
RPQPMLQJJIPFFDA18DA,38,107.15,住家用,鋼筋混凝土造,71年9月16日,七層,六層
RPQPMLQJJIPFFDA18DA,38,13.02,共有部分,鋼筋混凝土造,71年9月16日,七層,
RPSRMLQLIIPFFDA68DA,,93.13,住家用,加強磚造,,四層,二層 露台
RPRNMLNJJIPFFDA77DA,9,112.96,住家用,鋼筋混凝土造,100年4月14日,十二層,四層
RPRNMLNJJIPFFDA77DA,9,33.87,見其他登記事項,鋼筋混凝土造,100年4月14日,十二層,
RPRNMLNJJIPFFDA77DA,9,49.26,見其他登記事項,鋼筋混凝土造,100年4月14日,十二層,
RPUPMLQJJIPFFDA58DA,9,90.20,住家用,鋼筋混凝土造,100年4月12日,十五層,六層
RPUPMLQJJIPFFDA58DA,9,17.00,見其他登記事項,鋼筋混凝土造,100年4月12日,十五層,
RPUPMLQJJIPFFDA58DA,9,42.93,見其他登記事項,鋼筋混凝土造,100年4月12日,十五層,
RPUPMLQJJIPFFDA58DA,9,7.71,見其他登記事項,鋼筋混凝土造,100年4月12日,十五層,
RPUPMLQJJIPFFDA58DA,9,10.53,見其他登記事項,鋼筋混凝土造,100年4月12日,十五層,
RPXNMLNJJIPFFDA38DA,22,78.41,見其他登記事項,鋼筋混凝土造,87年5月21日,十八層,十三層
RPXNMLNJJIPFFDA38DA,22,50.04,共有部分,鋼筋混凝土造,87年5月21日,十九層,
RPWOMLMJJIPFFDA28DA,37,13.79,共有部分,鋼筋混凝土造,73年2月17日,十四層,
RPWOMLMJJIPFFDA28DA,37,68.51,見其他登記事項,鋼筋混凝土造,73年2月17日,十四層,十四層
RPWOMLMJJIPFFDA28DA,37,2.87,共有部分,鋼筋混凝土造,73年2月17日,十四層,
RPPNMLTJJIPFFDA18DA,2,45.24,見其他登記事項,鋼筋混凝土造,107年8月14日,七層,二層
RPPNMLTJJIPFFDA18DA,2,28.28,見其他登記事項,鋼筋混凝土造,107年8月14日,七層,
RPWOMLQKIIPFFEA78DA,1,124.24,住家用,鋼筋混凝土造,108年7月25日,十八層,三層
RPWOMLQKIIPFFEA78DA,1,104.60,見其他登記事項,鋼筋混凝土造,108年7月25日,十八層,
RPVNMLTJJIPFFDA78DA,33,137.73,住家用,鋼筋混凝土造,76年8月14日,十二層,九層
RPVNMLTJJIPFFDA78DA,33,36.12,見使用執照,鋼筋混凝土造,76年8月14日,十二層,地下一層 地下二層
RPVNMLTJJIPFFDA78DA,33,26.35,共有部分,鋼筋混凝土造,76年8月14日,十二層,
RPVNMLTJJIPFFDA78DA,33,2.35,共有部分,鋼筋混凝土造,76年8月14日,十二層,
RPSNMLTJJIPFFDA48DA,,147.50,,加強磚造,,三層,一層 二層 三層 騎樓
RPRNMLTJJIPFFDA38DA,,147.50,,加強磚造,,三層,一層 二層 三層 騎樓
RPWNMLTJJIPFFDA88DA,37,107.76,住家用,鋼筋混凝土造,72年6月28日,五層,三層
RPWNMLTJJIPFFDA88DA,37,5.95,共有部分,鋼筋混凝土造,72年6月28日,五層,
RPVOMLSLIIPFFEA98DA,31,124.25,住家用,鋼筋混凝土造,79年1月10日,十四層,十二層
RPVOMLSLIIPFFEA98DA,31,51.22,見使用執照,鋼筋混凝土造,79年1月10日,十四層,地下一層 地下二層
RPVOMLSLIIPFFEA98DA,31,11.59,共有部分,鋼筋混凝土造,79年1月10日,十四層,
RPSNMLTKIIPFFEA58DA,48,34.94,住家用,加強磚造,61年12月8日,二層,一層 二層
RPSNMLTKIIPFFEA58DA,48,34.94,住家用,加強磚造,61年12月8日,二層,一層 二層
RPWNMLSLIIPFFEA98DA,40,3.78,共有部分,鋼筋混凝土造,70年2月18日,七層,
RPWNMLSLIIPFFEA98DA,40,23.44,商業用,鋼筋混凝土造,70年2月18日,七層,三層
RPSOMLRLIIPFFEA58DA,39,98.69,住家用,鋼筋混凝土造,70年12月26日,五層,五層
RPSOMLRLIIPFFEA58DA,39,98.69,住家用,鋼筋混凝土造,70年12月26日,五層,五層
RPXNMLOJJIPFFEA58DA,41,71.40,住家用,鋼筋混凝土造,68年5月15日,五層,五層
RPSPMLTJJIPFFEA78DA,44,51.68,住家用,鋼筋混凝土造,65年4月6日,二層,一層 二層
RPSPMLTJJIPFFEA78DA,44,51.68,住家用,鋼筋混凝土造,65年4月6日,二層,一層 二層
RPWNMLTJJIPFFEA98DA,53,47.30,住家用,加強磚造,56年6月23日,2,二層
RPUQMLPJJIPFFEA68DA,,59.23,住家用,鋼筋混凝土造,109年5月4日,九層,四層
RPUQMLPJJIPFFEA68DA,,71.03,見其他登記事項,鋼筋混凝土造,109年5月4日,九層,
RPQNMLKKJIPFFFA67DA,11,44.71,住家用,鋼筋混凝土造,98年11月13日,十二層,七層
RPQNMLKKJIPFFFA67DA,11,22.49,見其他登記事項,鋼筋混凝土造,98年11月13日,十二層,
RPQNMLKKJIPFFFA67DA,11,15.69,見其他登記事項,鋼筋混凝土造,98年11月13日,十二層,
RPTOMLTJJIPFFAA48EA,52,65.95,住家用,磚造,57年4月20日,三層,一層
