編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLOKIIPFFAA57DA,實踐段一小段,44.88,都市：其他:第三種住宅區。,持分移轉
RPSNMLTJJIPFFAA18DA,河堤段二小段,13.59,都市：其他:第三種住宅區。,持分移轉
RPSNMLTJJIPFFAA18DA,河堤段二小段,9.50,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,持分移轉
RPSNMLKMIIPFFAA47DA,興安段二小段,.38,都市：其他:第三種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,1.41,都市：其他:第二種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,.69,都市：其他:第二種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,2.52,都市：其他:第三種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,1.89,都市：其他:第二種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,6.60,都市：其他:第三種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,2.76,都市：其他:第三種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,.51,都市：其他:第三種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,2.04,都市：其他:第二種住宅區。,持分移轉
RPWNMLQJJIPFFAA28DA,華興段四小段,.33,都市：其他:第三種住宅區。,持分移轉
RPVNMLRLIIPFFAA38DA,萬隆段二小段,36.60,都市：其他:第三種住宅區。,持分移轉
RPTPMLQLIIPFFAA28DA,南海段一小段,25.28,都市：其他:第三之一種住宅區(中正紀念堂特定專用區)及第三種住宅區及第三種住宅區(中正紀念堂特定專用區)。,持分移轉
RPQNMLKLIIPFFAA17DA,福和段二小段,.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,持分移轉
RPQNMLKLIIPFFAA17DA,福和段二小段,4.62,都市：其他:交通用地(公共設施用地)。78/11/29,持分移轉
RPSNMLKKJIPFFAA37DA,興安段四小段,17.83,都市：其他:第三種住宅區。,持分移轉
RPWPMLTKIIPFFAA78DA,興安段二小段,28.63,都市：其他:第三種住宅區。,持分移轉
RPORMLTJRHPFFCA09DA,文德段二小段,.22,都市：其他:第三種住宅區。,持分移轉
RPVOMLRJIIPFFCA48DA,西湖段二小段,27.88,都市：其他:第三種住宅區。,持分移轉
RPOPMLQJIIPFFBA67DA,華中段二小段,26.40,都市：其他:第三種住宅區。,持分移轉
RPOPMLQJIIPFFBA67DA,華中段二小段,.04,都市：其他:道路用地(公共設施用地)。56/8/25,持分移轉
RPPPMLSLIIPFFAA08DA,河堤段一小段,6.64,都市：其他:第三之二種住宅區。,持分移轉
RPPPMLSLIIPFFAA08DA,河堤段一小段,6.64,都市：其他:第三之二種住宅區。,持分移轉
RPPPMLSLIIPFFAA08DA,河堤段一小段,.27,都市：其他:第三種住宅區。,持分移轉
RPPPMLSLIIPFFAA08DA,河堤段一小段,.27,都市：其他:第三種住宅區。,持分移轉
RPPPMLSLIIPFFAA08DA,河堤段一小段,.66,都市：其他:第三種住宅區。,持分移轉
RPPPMLSLIIPFFAA08DA,河堤段一小段,.66,都市：其他:第三種住宅區。,持分移轉
RPRNMLTJJIPFFBA18DA,市府段三小段,.70,都市：其他:第三種商業區。,持分移轉
RPRNMLTJJIPFFBA18DA,市府段三小段,3.65,都市：其他:第三種商業區。,持分移轉
RPTNMLTJJIPFFBA38DA,華中段二小段,23.75,都市：其他:第三種住宅區。,持分移轉
RPQRMLTJRHPFFCA66DA,文德段二小段,21.44,都市：其他:第三種住宅區。,持分移轉
RPTNMLSLIIPFFCA48DA,榮星段六小段,30.13,都市：其他:第三種住宅區。,持分移轉
RPSQMLLLIIPFFCA97DA,吉林段三小段,5.92,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,持分移轉
RPVQMLMLIIPFFCA38DA,榮星段二小段,26.55,都市：其他:第三種住宅區。,持分移轉
RPRQMLMLIIPFFCA97DA,西湖段一小段,17.48,都市：其他:第三種住宅區。,持分移轉
RPRQMLMLIIPFFCA97DA,西湖段一小段,17.48,都市：其他:第三種住宅區。,持分移轉
RPRQMLMLIIPFFCA97DA,西湖段一小段,.56,都市：其他:道路用地(公共設施用地)。65/2/14,持分移轉
RPRQMLMLIIPFFCA97DA,西湖段一小段,.56,都市：其他:道路用地(公共設施用地)。65/2/14,持分移轉
RPUNMLSLIIPFFCA58DA,吉林段四小段,10.82,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,持分移轉
RPXQMLSLIIPFFCA56DA,德惠段三小段,3.68,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,持分移轉
RPTNMLMJJIPFFCA77DA,德惠段四小段,8.76,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,持分移轉
RPTOMLPJJIPFFCA18DA,榮星段二小段,33.20,都市：其他:第三種住宅區。,持分移轉
RPVOMLQJJIPFFCA48DA,西湖段四小段,50.99,都市：其他:科技工業區(A區不得作住宅使用)。,持分移轉
RPPRMLQJJIPFFCA18DA,金泰段,45.98,都市：其他:商業區(供商業購物中心使用不得作住宅使用)。,持分移轉
RPSOMLQKIIPFFDA28DA,吳興段二小段,6.54,都市：其他:第三種住宅區。,持分移轉
RPSOMLQKIIPFFDA28DA,吳興段二小段,6.54,都市：其他:第三種住宅區。,持分移轉
RPSOMLQKIIPFFDA28DA,吳興段二小段,6.54,都市：其他:第三種住宅區。,持分移轉
RPSOMLQKIIPFFDA28DA,吳興段二小段,6.54,都市：其他:第三種住宅區。,持分移轉
RPQNMLPJJIPFFCA77DA,石潭段三小段,67.53,都市：其他:第二種住宅區。,持分移轉
RPXPMLRLIIPFFDA09DA,逸仙段二小段,35.78,都市：其他:第四之一種住宅區(特)。,持分移轉
RPXPMLRLIIPFFDA09DA,逸仙段二小段,3.62,都市：其他:道路用地(公共設施用地)。61/3/27,持分移轉
RPPNMLQJJIPFFCA77DA,中山段二小段,38.00,都市：其他:第三種商業區。,持分移轉
RPROMLRLIIPFFDA38DA,逸仙段二小段,.29,都市：其他:道路用地(公共設施用地)。62/5/29,持分移轉
RPSOMLRLIIPFFDA48DA,逸仙段二小段,.07,都市：其他:道路用地(公共設施用地)。62/5/29,持分移轉
RPUQMLQJJIPFFCA58DA,康寧段三小段,23.23,都市：其他:第三種住宅區。,持分移轉
RPXPMLSLIIPFFDA56DA,祥和段三小段,28.29,都市：其他:第三種住宅區。,持分移轉
RPTNMLTJJIPFFCA48DA,康寧段三小段,40.46,都市：其他:第三種住宅區。,持分移轉
RPXOMLTLIIPFFDA56DA,雅祥段四小段,5.64,都市：其他:第三之一種住宅區。,持分移轉
RPXOMLTLIIPFFDA56DA,雅祥段四小段,6.97,都市：其他:第三種住宅區。,持分移轉
RPQPMLQJJIPFFDA18DA,福德段三小段,23.14,都市：其他:第三種住宅區。,持分移轉
