編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLOKIIPFFAA57DA,坡道平面,0,70.32,地下三樓
RPSNMLTJJIPFFAA18DA,坡道平面,0,27.32,地下四樓
RPSNMLKMIIPFFAA47DA,坡道平面,2250000,42.19,地下二樓
RPVNMLRLIIPFFAA38DA,坡道平面,0,,地下二樓
RPSNMLKKJIPFFAA37DA,升降機械,0,9.50,地下二樓
RPORMLTJRHPFFCA09DA,坡道平面,2600000,,地下一樓
RPVOMLRJIIPFFCA48DA,升降機械,1700000,24.90,地下二樓
RPPPMLSLIIPFFAA08DA,坡道平面,3000000,34.97,地下二樓
RPUNMLSLIIPFFCA58DA,坡道平面,1600000,46.25,地下二樓
RPTNMLMJJIPFFCA77DA,坡道機械,0,,地下三樓
RPVOMLQJJIPFFCA48DA,坡道平面,0,,地下二樓
RPVOMLQJJIPFFCA48DA,坡道平面,0,,地下二樓
RPPRMLQJJIPFFCA18DA,坡道平面,3000000,30.83,地下四樓
RPPRMLQJJIPFFCA18DA,坡道平面,3000000,30.83,地下四樓
RPSOMLQKIIPFFDA28DA,坡道平面,2650000,41.16,地下二樓
RPXPMLRLIIPFFDA09DA,升降機械,0,,地下一樓
RPRNMLNJJIPFFDA77DA,坡道平面,0,33.87,地下二樓
RPUPMLQJJIPFFDA58DA,坡道平面,0,42.93,地下二樓
RPWOMLQKIIPFFEA78DA,坡道平面,2600000,38.17,地下四樓
RPVNMLTJJIPFFDA78DA,坡道平面,0,,地下二樓
RPVOMLSLIIPFFEA98DA,坡道平面,0,,地下一樓
RPUQMLPJJIPFFEA68DA,坡道平面,0,40.43,地下三樓
RPQNMLKKJIPFFFA67DA,坡道機械,0,15.02,地下三樓
RPUPMLKKJIPFFAA87EA,坡道平面,1950000,56.91,地下一樓
RPWPMLTJJIPFFBA98EA,坡道平面,2650000,27.86,地下一樓
RPSOMLOKIIPFFCA08EA,坡道平面,3200000,29.77,地下四樓
RPXPMLTJJIPFFBA09EA,坡道平面,2550000,27.86,地下一樓
RPTPMLTKIIPFFCA78EA,坡道平面,3200000,29.77,地下四樓
RPVNMLSLRHPFFBA86EA,其他,0,10.57,無固定樓層
RPVPMLTKIIPFFCA98EA,坡道平面,3000000,45.66,地下二樓
RPXPMLQJJIPFFCA88EA,坡道平面,0,,地下二樓
