鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬華區,建物,臺北市萬華區東園街121~150號,0.0,商,,,1090930,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0651007,94.96,2,1,1,有,無,有,17500,184,,0.0,0,台北市都發局社會住宅包租代管第2期計畫,RPRNMLMKIIPFFBA57CC
萬華區,建物,臺北市萬華區中華路二段504巷1~30號,0.0,商,,,1090918,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680403,46.08,2,1,1,有,有,有,15000,326,,0.0,0,台北市都發局社會住宅包租代管第2期計畫,RPTNMLMKIIPFFBA77CC
中正區,建物,臺北市中正區延平南路151~180號,0.0,商,,,1090918,土地0建物0車位0,三層,4,套房(1房1廳1衛),,鋼筋混凝土造,,26.24,1,0,1,有,無,有,12000,457,,0.0,0,此為分租套房，房號302，第3層分成3間，一間平均面積為26.24平方公尺,RPVNMLMKIIPFFBA97CC
中正區,建物,臺北市中正區開封街一段106巷1~30號,0.0,商,,,1090921,土地0建物0車位0,三層,3,套房(1房1廳1衛),,磚造,,12.78,1,0,1,有,無,有,7300,571,,0.0,0,此為分租套房，房號302，第3層分成4間，一間平均面積為12.78平方公尺,RPXNMLMKIIPFFBA18CC
萬華區,建物,臺北市萬華區西寧南路271~300號,0.0,商,,,1091010,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060113,87.96,2,2,1,有,有,有,33000,375,,0.0,0,含管理費,RPUPMLMKIIPFFBA08CC
萬華區,建物,臺北市萬華區貴陽街二段31~60號,0.0,商,,,1090923,土地0建物1車位0,一層,4,店面(店鋪),商業用,加強磚造,,107.04,0,0,0,無,無,無,33000,308,,0.0,0,,RPXPMLMKIIPFFBA38CC
大同區,建物,臺北市大同區重慶北路一段61~90號,0.0,商,,,1090828,土地0建物1車位0,十層,11,辦公商業大樓,住家用,鋼筋混凝土造,0651121,31.82,0,0,0,無,有,無,16000,503,,0.0,0,辦公室,RPPQMLMKIIPFFBA67CC
大同區,建物,臺北市大同區華陰街61~90號,0.0,商,,,1090904,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020118,85.6,2,1,1,有,有,有,55000,643,,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPQQMLMKIIPFFBA77CC
中正區,建物,臺北市中正區衡陽路61~90號,0.0,商,,,1090918,土地0建物0車位0,三層,7,套房(1房1廳1衛),,加強磚造,,26.3,1,0,1,有,無,有,12300,468,,0.0,0,,RPRQMLMKIIPFFBA87CC
中山區,建物,臺北市中山區撫順街31~60號,0.0,商,,,1090913,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0651108,33.07,1,0,1,有,有,有,15000,454,,0.0,0,住宅及都市更新中心108年社會住宅包租代管第二期計畫,RPUNMLMKIIPFFCA97CC
內湖區,建物,臺北市內湖區內湖路一段301~330號,0.0,工,,,1090921,土地0建物1車位2,十層,13,廠辦,工業用,見使用執照,0910520,399.87,3,0,1,有,有,有,172000,430,坡道平面,81.4,0,,RPQOMLMKIIPFFCA67CC
內湖區,建物,臺北市內湖區成功路四段182巷8弄1~30號,0.0,商,,,1091008,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0720709,89.39,3,2,2,有,無,無,36000,403,,0.0,0,,RPUSMLMKIIPFFCA48CC
中山區,房地(土地+建物),臺北市中山區錦州街30巷1~30號,0.78,商,,,1091007,土地1建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680613,17.24,0,0,0,無,有,有,9000,522,,0.0,0,,RPUTMLMKIIPFFCA58CC
中山區,建物,臺北市中山區松江路511~540號,0.0,住,,,1091001,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731208,137.47,0,0,0,無,有,無,34000,247,,0.0,0,,RPOUMLMKIIPFFCA08CC
內湖區,建物,臺北市內湖區民權東路六段151~180號,0.0,住,,,1090920,土地0建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041008,97.28,2,1,1,有,有,有,42000,432,塔式車位,15.68,0,租金含管理費。,RPTUMLMKIIPFFCA58CC
松山區,建物,臺北市松山區延壽街330巷1~30號,0.0,住,,,1090929,土地0建物1車位0,一層,11,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980320,170.03,0,1,1,有,有,無,63000,371,,0.0,0,內含車位一個，但須抽簽方能確定位置。,RPRNMLMKIIPFFDA77CC
松山區,建物,臺北市松山區延壽街330巷1~30號,0.0,住,,,1090928,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0951218,251.06,0,1,1,有,有,無,100000,398,,0.0,0,內含車位一個，但須抽籤方能確定位置。,RPWNMLMKIIPFFDA28CC
南港區,建物,臺北市南港區忠孝東路六段481~510號,0.0,工,,,1090929,土地0建物0車位0,二層,4,套房(1房1廳1衛),工業用,鋼筋混凝土造,,12.61,1,0,1,有,無,有,5800,460,,0.0,0,此為雅房，房號226，平均面積為12.61平方公尺,RPWOMLMKIIPFFDA38CC
信義區,建物,臺北市信義區松山路601~630號,0.0,住,,,1090919,土地0建物1車位0,三層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870526,35.89,1,1,1,有,有,有,17000,474,,0.0,0,,RPOPMLMKIIPFFDA67CC
