編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMKIIPFFBA97CC,,26.24,,鋼筋混凝土造,,四層,
RPXPMLMKIIPFFBA38CC,,107.04,商業用,加強磚造,,四層,
RPXNMLMKIIPFFBA18CC,,12.78,,磚造,,三層,
RPUPMLMKIIPFFBA08CC,4,58.22,住家用,鋼筋混凝土造,106年1月13日,十三層,
RPUPMLMKIIPFFBA08CC,4,18.05,見其他登記事項,鋼筋混凝土造,106年1月13日,十三層,
RPUPMLMKIIPFFBA08CC,4,11.69,見其他登記事項,鋼筋混凝土造,106年1月13日,十三層,
RPRNMLMKIIPFFBA57CC,44,94.96,住商用,鋼筋混凝土造,65年10月7日,四層,
RPUNMLMKIIPFFCA97CC,44,25.06,商業用,鋼筋混凝土造,65年11月8日,八層,
RPUNMLMKIIPFFCA97CC,44,8.01,共有部分,鋼筋混凝土造,65年11月8日,八層,
RPOUMLMKIIPFFCA08CC,36,132.32,住家用,鋼筋混凝土造,73年12月8日,七層,
RPOUMLMKIIPFFCA08CC,36,5.15,共有部分,鋼筋混凝土造,73年12月8日,七層,
RPRQMLMKIIPFFBA87CC,,26.30,,加強磚造,,七層,
RPPQMLMKIIPFFBA67CC,44,29.55,住家用,鋼筋混凝土造,65年11月21日,十一層,
RPPQMLMKIIPFFBA67CC,44,.79,共有部分,鋼筋混凝土造,65年11月21日,十一層,
RPPQMLMKIIPFFBA67CC,44,1.48,共有部分,鋼筋混凝土造,65年11月21日,十一層,
RPQQMLMKIIPFFBA77CC,8,56.60,住家用,鋼筋混凝土造,102年1月18日,十三層,
RPQQMLMKIIPFFBA77CC,8,19.11,見其他登記事項,鋼筋混凝土造,102年1月18日,十三層,
RPQQMLMKIIPFFBA77CC,8,9.89,見其他登記事項,鋼筋混凝土造,102年1月18日,十三層,
RPUSMLMKIIPFFCA48CC,37,81.78,商業用,鋼筋混凝土造,72年7月9日,五層,
RPUSMLMKIIPFFCA48CC,37,5.23,共有部分,鋼筋混凝土造,72年7月9日,五層,
RPUSMLMKIIPFFCA48CC,37,2.38,共有部分,鋼筋混凝土造,72年7月9日,五層,
RPUTMLMKIIPFFCA58CC,41,17.24,住家用,鋼筋混凝土造,68年6月13日,十層,
RPTUMLMKIIPFFCA58CC,5,54.82,住家用,鋼筋混凝土造,104年10月8日,十一層,
RPTUMLMKIIPFFCA58CC,5,42.46,見其他登記事項,鋼筋混凝土造,104年10月8日,十一層,
RPQOMLMKIIPFFCA67CC,18,399.87,工業用,見使用執照,91年5月20日,十三層,
RPTNMLMKIIPFFBA77CC,41,46.08,住家用,鋼筋混凝土造,68年4月3日,十二層,
RPVPMLMKIIPFFDA38CC,41,22.87,住家用,鋼筋混凝土造,68年12月18日,四層,
RPWNMLMKIIPFFDA28CC,14,251.06,見其他登記事項,鋼筋混凝土造,95年12月18日,十四層,
RPWOMLMKIIPFFDA38CC,,12.61,工業用,鋼筋混凝土造,,四層,
RPRNMLMKIIPFFDA77CC,12,170.03,見其他登記事項,鋼筋混凝土造,98年3月20日,十一層,
RPOPMLMKIIPFFDA67CC,22,26.48,住家用,鋼筋混凝土造,87年5月26日,九層,
RPOPMLMKIIPFFDA67CC,22,2.77,共有部分,鋼筋混凝土造,87年5月26日,九層,
RPOPMLMKIIPFFDA67CC,22,6.64,共有部分,鋼筋混凝土造,87年5月26日,九層,
RPRPMLMKIIPFFDA97CC,,97.67,,加強磚造,,二層,
RPRPMLMKIIPFFEA08CC,10,92.40,見其他登記事項,鋼筋混凝土造,99年8月17日,十二層,
RPRPMLMKIIPFFEA08CC,10,35.55,見其他登記事項,鋼筋混凝土造,99年8月17日,十二層,
RPRPMLMKIIPFFEA08CC,10,4.44,共有部分,鋼筋混凝土造,99年8月17日,十二層,
RPQPMLMKIIPFFEA97CC,12,24.68,住家用,鋼筋混凝土造,97年10月9日,七層,
RPQPMLMKIIPFFEA97CC,12,1.18,共有部分,鋼筋混凝土造,97年10月9日,七層,
RPQPMLMKIIPFFEA97CC,12,2.47,共有部分,鋼筋混凝土造,97年10月9日,七層,
RPQPMLMKIIPFFEA97CC,12,12.25,共有部分,鋼筋混凝土造,97年10月9日,七層,
RPSQMLMKIIPFFFA38CC,29,179.34,見使用執照,鋼筋混凝土造,80年4月10日,十二層,
RPSQMLMKIIPFFFA38CC,29,14.54,共有部分,鋼筋混凝土造,80年4月10日,十二層,
RPPQMLMKIIPFFFA08CC,14,133.17,住家用,鋼筋混凝土造,95年7月28日,十三層,
RPPQMLMKIIPFFFA08CC,14,46.22,共有部分,鋼筋混凝土造,95年7月28日,十三層,
RPPQMLMKIIPFFFA08CC,14,7.53,共有部分,鋼筋混凝土造,95年7月28日,十三層,
RPPQMLMKIIPFFFA08CC,14,34.82,共有部分,鋼筋混凝土造,95年7月28日,十三層,
RPQQMLMKIIPFFFA18CC,,103.66,,加強磚造,,四層,
RPTPMLMKIIPFFEA28CC,34,112.89,商業用,鋼筋混凝土造,75年3月27日,五層,
RPTPMLMKIIPFFEA28CC,34,5.42,共有部分,鋼筋混凝土造,75年3月27日,五層,
RPTOMLMKIIPFFEA28DC,5,185.82,住家用,鋼筋混凝土造,104年11月4日,二十一層,
RPTOMLMKIIPFFEA28DC,5,87.92,見其他登記事項,鋼筋混凝土造,104年11月4日,二十一層,
RPRPMLMKIIPFFAA67CC,,29.62,住商用,鋼筋混凝土造,,五層,
RPQPMLMKIIPFFAA57CC,8,170.59,住家用,見其他登記事項,101年11月13日,十四層,
RPQPMLMKIIPFFAA57CC,8,48.72,見其他登記事項,見其他登記事項,101年11月13日,十四層,
RPQPMLMKIIPFFAA57CC,8,145.88,見其他登記事項,見其他登記事項,101年11月13日,十四層,
RPTPMLMKIIPFFAA87CC,52,23.07,住家用,加強磚造,57年10月17日,四層,
RPSOMLNKIIPFFAA77CC,,51.22,,磚造,,一層,
RPUNMLMKIIPFFAA77CC,,39.42,商業用,鋼筋混凝土造,,十一層,
RPUNMLMKIIPFFAA77CC,,5.31,共有部分,鋼筋混凝土造,,十一層,
RPTOMLNKIIPFFAA87CC,,136.76,住商用,鋼筋混凝土造,,四層,
RPSPMLMKIIPFFAA77CC,8,170.59,住家用,見其他登記事項,101年11月13日,十四層,
RPSPMLMKIIPFFAA77CC,8,48.72,見其他登記事項,見其他登記事項,101年11月13日,十四層,
RPSPMLMKIIPFFAA77CC,8,145.88,見其他登記事項,見其他登記事項,101年11月13日,十四層,
RPSNMLNKIIPFFAA67CC,42,41.78,見使用執照,鋼筋混凝土造,68年3月9日,十層,
RPSNMLNKIIPFFAA67CC,42,4.81,共有部分,鋼筋混凝土造,68年3月9日,十層,
RPPOMLNKIIPFFEA97DC,38,138.48,住家用,鋼筋混凝土造,71年9月20日,五層,
RPWOMLNKIIPFFAA18CC,4,43.49,見其他登記事項,鋼筋混凝土造,106年1月12日,十九層,
RPWOMLNKIIPFFAA18CC,4,19.03,見其他登記事項,鋼筋混凝土造,106年1月12日,十九層,
RPWOMLNKIIPFFAA18CC,4,6.04,共有部分,鋼筋混凝土造,106年1月12日,十九層,
RPSNMLNKIIPFFEA08CC,8,224.15,住家用,鋼筋混凝土造,101年6月5日,十四層,
RPSNMLNKIIPFFEA08CC,8,64.65,見其他登記事項,鋼筋混凝土造,101年6月5日,十四層,
RPSNMLNKIIPFFEA08CC,8,27.02,見其他登記事項,鋼筋混凝土造,101年6月5日,十四層,
RPSNMLNKIIPFFEA08CC,8,78.77,見其他登記事項,鋼筋混凝土造,101年6月5日,十四層,
RPROMLNKIIPFFEA08CC,53,209.09,住家用,石造,56年12月20日,一層,
RPRNMLNKIIPFFEA97CC,38,91.88,見使用執照,鋼筋混凝土造,71年9月30日,五層,
RPQOMLNKIIPFFEA97CC,11,146.98,住家用,鋼筋混凝土造,99年2月11日,九層,
RPQOMLNKIIPFFEA97CC,11,23.24,見其他登記事項,鋼筋混凝土造,99年2月11日,九層,
RPQOMLNKIIPFFEA97CC,11,48.42,見其他登記事項,鋼筋混凝土造,99年2月11日,九層,
RPQOMLNKIIPFFEA97CC,11,36.68,見其他登記事項,鋼筋混凝土造,99年2月11日,九層,
RPQNMLNKIIPFFFA97CC,21,28.43,住家用,鋼筋混凝土造,88年12月22日,九層,
RPQNMLNKIIPFFFA97CC,21,9.69,共有部分,鋼筋混凝土造,88年12月22日,九層,
RPUPMLNKIIPFFEA48CC,32,132.36,住家用,鋼筋混凝土造,78年1月7日,七層,
RPUPMLNKIIPFFEA48CC,32,8.48,共有部分,鋼筋混凝土造,78年1月7日,七層,
RPQOMLNKIIPFFDA87CC,38,75.88,見使用執照,鋼筋混凝土造,71年10月18日,十二層,
RPQOMLNKIIPFFDA87CC,38,32.98,共有部分,鋼筋混凝土造,71年10月18日,十二層,
RPTNMLNKIIPFFEA18CC,9,92.62,住家用,鋼筋混凝土造,100年11月8日,七層,
RPTNMLNKIIPFFEA18CC,9,45.71,見其他登記事項,鋼筋混凝土造,100年11月8日,七層,
RPTNMLNKIIPFFEA18CC,9,9.47,見其他登記事項,鋼筋混凝土造,100年11月8日,七層,
RPWOMLNKIIPFFEA58CC,4,146.76,住家用,鋼筋混凝土造,105年9月5日,十二層,
RPWOMLNKIIPFFEA58CC,4,63.36,見其他登記事項,鋼筋混凝土造,105年9月5日,十二層,
RPWOMLNKIIPFFEA58CC,4,17.30,見其他登記事項,鋼筋混凝土造,105年9月5日,十二層,
RPTNMLNKIIPFFFA28CC,3,62.52,住家用,鋼筋混凝土造,106年5月15日,十四層,
RPTNMLNKIIPFFFA28CC,3,29.40,見其他登記事項,鋼筋混凝土造,106年5月15日,十四層,
RPSOMLNKIIPFFEA18CC,12,105.97,住家用,鋼筋混凝土造,97年5月6日,十四層,
RPSOMLNKIIPFFEA18CC,12,28.30,共有部分,鋼筋混凝土造,97年5月6日,十四層,
RPSOMLNKIIPFFEA18CC,12,25.46,共有部分,鋼筋混凝土造,97年5月6日,十四層,
RPVPMLNKIIPFFEA58CC,7,64.53,見其他登記事項,鋼筋混凝土造,102年11月8日,十九層,
RPVPMLNKIIPFFEA58CC,7,33.00,見其他登記事項,鋼筋混凝土造,102年11月8日,十九層,
RPWNMLNKIIPFFCA28CC,41,25.69,住家用,鋼筋混凝土造,68年4月25日,十二層,
RPWNMLNKIIPFFCA28CC,41,4.05,共有部分,鋼筋混凝土造,68年4月25日,十二層,
RPWNMLNKIIPFFCA28CC,41,2.88,共有部分,鋼筋混凝土造,68年4月25日,十二層,
RPOOMLNKIIPFFCA57CC,11,44.96,商業用,鋼筋混凝土造,98年9月16日,十八層,
RPOOMLNKIIPFFCA57CC,11,9.31,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPOOMLNKIIPFFCA57CC,11,9.76,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPOOMLNKIIPFFCA57CC,11,2.59,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPPOMLNKIIPFFCA67CC,12,19.45,共有部分,鋼筋混凝土造,97年12月29日,十三層,
RPPOMLNKIIPFFCA67CC,12,2.89,共有部分,鋼筋混凝土造,97年12月29日,十三層,
RPPOMLNKIIPFFCA67CC,12,.40,共有部分,鋼筋混凝土造,97年12月29日,十三層,
RPPOMLNKIIPFFCA67CC,12,43.57,住家用,鋼筋混凝土造,97年12月29日,十三層,
RPSOMLNKIIPFFDA08CC,2,71.84,見其他登記事項,鋼筋混凝土造,107年7月31日,五層,
RPSOMLNKIIPFFDA08CC,2,19.17,見其他登記事項,鋼筋混凝土造,107年7月31日,五層,
RPSOMLNKIIPFFDA08CC,2,17.93,見其他登記事項,鋼筋混凝土造,107年7月31日,五層,
RPPQMLNKIIPFFDA97CC,35,39.08,商業用,鋼筋混凝土造,75年1月6日,十五層,
RPPQMLNKIIPFFDA97CC,35,39.08,商業用,鋼筋混凝土造,75年1月6日,十五層,
RPPQMLNKIIPFFDA97CC,35,28.64,共有部分,鋼筋混凝土造,75年1月6日,十五層,
RPXOMLNKIIPFFCA48CC,8,116.53,住家用,鋼筋混凝土造,101年3月27日,十五層,
RPXOMLNKIIPFFCA48CC,8,56.84,見其他登記事項,鋼筋混凝土造,101年3月27日,十五層,
RPQPMLNKIIPFFCA87CC,8,47.31,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPQPMLNKIIPFFCA87CC,8,24.73,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPQQMLNKIIPFFCA97CC,13,39.97,住家用,鋼筋混凝土造,96年6月21日,十二層,
RPRQMLNKIIPFFDA18CC,3,59.31,見其他登記事項,鋼筋混凝土造,107年3月31日,十五層,
RPRQMLNKIIPFFDA18CC,3,28.86,見其他登記事項,鋼筋混凝土造,107年3月31日,十五層,
RPQRMLNKIIPFFCA08CC,22,54.53,住家用,鋼筋混凝土造,87年6月17日,六層,
RPQRMLNKIIPFFCA08CC,22,24.94,共有部分,鋼筋混凝土造,87年6月17日,六層,
RPROMLNKIIPFFDA97CC,,86.00,,加強磚造,,四層,
RPTPMLNKIIPFFDA28CC,33,364.10,見使用執照,鋼筋混凝土造,77年3月29日,三十六層,
RPWPMLNKIIPFFCA48CC,13,43.73,住家用,鋼筋混凝土造,96年6月21日,十二層,
RPTNMLNKIIPFFBA87CC,49,65.39,,鋼筋混凝土造,60年6月24日,四層,
RPVPMLNKIIPFFCA38CC,40,108.38,住家用,鋼筋混凝土造,69年10月24日,五層,
RPRQMLNKIIPFFCA08CC,7,47.93,住家用,鋼筋混凝土造,102年9月4日,十四層,
RPRQMLNKIIPFFCA08CC,7,27.95,見其他登記事項,鋼筋混凝土造,102年9月4日,十四層,
RPWOMLNKIIPFFBA28CC,11,55.52,住家用,見其他登記事項,98年7月24日,十八層,
RPWOMLNKIIPFFBA28CC,11,16.60,共有部分,見其他登記事項,98年7月24日,十八層,
RPWOMLNKIIPFFBA28CC,11,.12,共有部分,見其他登記事項,98年7月24日,十八層,
RPWOMLNKIIPFFBA28CC,11,8.16,共有部分,見其他登記事項,98年7月24日,十八層,
RPXOMLNKIIPFFBA38CC,12,63.18,住家用,鋼筋混凝土造,97年6月26日,七層,
RPXOMLNKIIPFFBA38CC,12,36.55,共有部分,鋼筋混凝土造,97年6月26日,七層,
RPXPMLNKIIPFFBA48CC,,16.67,,加強磚造,,五層,
RPXRMLNKIIPFFCA78CC,13,137.96,商業用,鋼筋混凝土造,96年10月2日,十二層,
RPXRMLNKIIPFFCA78CC,13,241.50,住家用,鋼筋混凝土造,96年10月2日,十二層,
RPXRMLNKIIPFFCA78CC,13,182.72,住家用,鋼筋混凝土造,96年10月2日,十二層,
RPXRMLNKIIPFFCA78CC,13,155.64,商業用,鋼筋混凝土造,96年10月2日,十二層,
RPRPMLNKIIPFFBA87CC,,248.04,,鋼筋混凝土造,,九層,
RPVNMLNKIIPFFBA08CC,62,28.47,商業用,加強磚造,47年12月31日,四層,
RPQOMLNKIIPFFBA67CC,9,71.88,住家用,鋼筋混凝土造,100年3月30日,七層,
RPQOMLNKIIPFFBA67CC,9,31.35,見其他登記事項,鋼筋混凝土造,100年3月30日,七層,
RPQOMLNKIIPFFBA67CC,9,18.70,見其他登記事項,鋼筋混凝土造,100年3月30日,七層,
RPVOMLNKIIPFFBA18CC,,50.84,工業用,鋼筋混凝土造,,四層,
RPTOMLOKIIPFFBA08CC,,25.56,,加強磚造,,三層,
RPVOMLOKIIPFFBA28CC,46,107.82,商業用,鋼筋混凝土造,63年4月1日,四層,
RPVOMLOKIIPFFBA28CC,46,107.82,住家用,鋼筋混凝土造,63年4月1日,四層,
RPVOMLOKIIPFFBA28CC,46,107.82,住家用,鋼筋混凝土造,63年4月1日,四層,
RPVOMLOKIIPFFBA28CC,46,107.82,住家用,鋼筋混凝土造,63年4月1日,四層,
RPOPMLOKIIPFFCA77CC,12,.15,商業用,鋼筋混凝土造,97年3月19日,十二層,
RPOPMLOKIIPFFCA77CC,12,15.96,共有部分,鋼筋混凝土造,97年3月19日,十二層,
RPOPMLOKIIPFFCA77CC,12,.08,共有部分,鋼筋混凝土造,97年3月19日,十二層,
RPWPMLOKIIPFFCA58CC,12,101.63,見其他登記事項,鋼筋混凝土造,97年4月22日,九層,
RPWPMLOKIIPFFCA58CC,12,48.52,共有部分,鋼筋混凝土造,97年4月22日,九層,
RPPPMLOKIIPFFCA87CC,42,97.77,住家用,鋼筋混凝土造,67年9月2日,五層,
RPWQMLOKIIPFFCA68CC,44,34.44,住家用,鋼筋混凝土造,65年12月24日,十二層,
RPWQMLOKIIPFFCA68CC,44,3.97,共有部分,鋼筋混凝土造,65年12月24日,十二層,
RPXQMLOKIIPFFCA78CC,25,103.64,商業用,鋼筋混凝土造,84年8月18日,三層,
RPXQMLOKIIPFFCA78CC,25,6.14,共有部分,鋼筋混凝土造,84年8月18日,三層,
RPXQMLOKIIPFFCA78CC,25,5.96,共有部分,鋼筋混凝土造,84年8月18日,三層,
RPXQMLOKIIPFFCA78CC,25,31.15,共有部分,鋼筋混凝土造,84年8月18日,三層,
RPXQMLOKIIPFFCA78CC,25,11.66,共有部分,鋼筋混凝土造,84年8月18日,三層,
RPORMLOKIIPFFCA97CC,24,47.46,住家用,鋼筋混凝土造,86年3月26日,十二層,
RPORMLOKIIPFFCA97CC,24,18.07,共有部分,鋼筋混凝土造,86年3月26日,十二層,
RPSQMLNKIIPFFBA08CC,48,26.26,住家用,鋼筋混凝土造,62年3月3日,十層,
RPXSMLOKIIPFFCA98CC,49,33.16,商業用,鋼筋混凝土造,60年12月10日,八層,
RPXSMLOKIIPFFCA98CC,49,.43,共有部分,鋼筋混凝土造,60年12月19日,八層,
RPVSMLOKIIPFFCA78CC,47,23.33,住家用,鋼筋混凝土造,62年10月12日,四層,
