編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLMKIIPFFBA97CC,城中段三小段,.00,都市：商,全筆移轉
RPXPMLMKIIPFFBA38CC,漢中段三小段,.00,都市：商,全筆移轉
RPXPMLMKIIPFFBA38CC,漢中段三小段,.00,都市：商,全筆移轉
RPXNMLMKIIPFFBA18CC,城中段一小段,.00,都市：商,全筆移轉
RPUPMLMKIIPFFBA08CC,漢中段二小段,.00,都市：商,全筆移轉
RPRNMLMKIIPFFBA57CC,萬大段二小段,.00,都市：商,全筆移轉
RPUNMLMKIIPFFCA97CC,中山段二小段,.00,都市：商,全筆移轉
RPOUMLMKIIPFFCA08CC,德惠段二小段,.00,都市：住,全筆移轉
RPRQMLMKIIPFFBA87CC,城中段二小段,.00,都市：商,全筆移轉
RPRQMLMKIIPFFBA87CC,城中段二小段,.00,都市：商,全筆移轉
RPPQMLMKIIPFFBA67CC,市府段三小段,.00,都市：商,全筆移轉
RPQQMLMKIIPFFBA77CC,市府段一小段,.00,都市：商,全筆移轉
RPUSMLMKIIPFFCA48CC,康寧段三小段,.00,都市：商,全筆移轉
RPUTMLMKIIPFFCA58CC,中山段三小段,.78,都市：商,全筆移轉
RPTUMLMKIIPFFCA58CC,石潭段四小段,.00,都市：住,全筆移轉
RPTUMLMKIIPFFCA58CC,石潭段四小段,.00,都市：住,全筆移轉
RPQOMLMKIIPFFCA67CC,西湖段四小段,.00,都市：工,全筆移轉
RPTNMLMKIIPFFBA77CC,青年段一小段,.00,都市：商,全筆移轉
RPVPMLMKIIPFFDA38CC,和段二小段,.00,都市：其他:保護區,全筆移轉
RPVPMLMKIIPFFDA38CC,和段二小段,.00,都市：其他:保護區,全筆移轉
RPVPMLMKIIPFFDA38CC,和段二小段,.00,都市：住,全筆移轉
RPWNMLMKIIPFFDA28CC,西松段一小段,.00,都市：住,全筆移轉
RPWOMLMKIIPFFDA38CC,玉成段二小段,.00,都市：工,全筆移轉
RPWOMLMKIIPFFDA38CC,玉成段二小段,.00,都市：工,全筆移轉
RPWOMLMKIIPFFDA38CC,玉成段二小段,.00,都市：工,全筆移轉
RPRNMLMKIIPFFDA77CC,西松段一小段,.00,都市：住,全筆移轉
RPOPMLMKIIPFFDA67CC,永春段三小段,.00,都市：住,全筆移轉
RPRPMLMKIIPFFDA97CC,西松段三小段,.00,都市：住,全筆移轉
RPRPMLMKIIPFFEA08CC,振興段三小段,.00,都市：住,全筆移轉
RPQPMLMKIIPFFEA97CC,行義段四小段,.00,都市：住,全筆移轉
RPSQMLMKIIPFFFA38CC,龍泉段一小段,.00,都市：商,全筆移轉
RPSQMLMKIIPFFFA38CC,龍泉段一小段,.00,都市：商,全筆移轉
RPSQMLMKIIPFFFA38CC,龍泉段一小段,.00,都市：商,全筆移轉
RPPQMLMKIIPFFFA08CC,辛亥段三小段,.00,都市：商,全筆移轉
RPQQMLMKIIPFFFA18CC,復興段三小段,.00,都市：住,全筆移轉
RPTPMLMKIIPFFEA28CC,天山段二小段,.00,都市：住,全筆移轉
RPTOMLMKIIPFFEA28DC,光華段四小段,.00,都市：商,全筆移轉
RPRPMLMKIIPFFAA67CC,南海段五小段,.00,都市：商,全筆移轉
RPQPMLMKIIPFFAA57CC,南海段五小段,.00,都市：住,全筆移轉
RPTPMLMKIIPFFAA87CC,南海段五小段,.00,都市：住,全筆移轉
RPSOMLNKIIPFFAA77CC,福和段二小段,.00,都市：商,全筆移轉
RPUNMLMKIIPFFAA77CC,南海段二小段,.00,都市：商,全筆移轉
RPTOMLNKIIPFFAA87CC,河堤段六小段,.00,都市：住,全筆移轉
RPTOMLNKIIPFFAA87CC,河堤段六小段,.00,都市：住,全筆移轉
RPSPMLMKIIPFFAA77CC,南海段五小段,.00,都市：住,全筆移轉
RPSNMLNKIIPFFAA67CC,河堤段六小段,.00,都市：商,全筆移轉
RPPOMLNKIIPFFEA97DC,蘭雅段一小段,40.00,都市：住,全筆移轉
RPWOMLNKIIPFFAA18CC,萬慶段一小段,.00,都市：商,全筆移轉
RPSNMLNKIIPFFEA08CC,芝山段一小段,.00,都市：住,全筆移轉
RPROMLNKIIPFFEA08CC,大屯段二小段,.00,都市：其他:保護區,全筆移轉
RPRNMLNKIIPFFEA97CC,海光段三小段,.00,都市：住,全筆移轉
RPRNMLNKIIPFFEA97CC,海光段三小段,.00,都市：住,全筆移轉
RPRNMLNKIIPFFEA97CC,海光段三小段,.00,都市：住,全筆移轉
RPRNMLNKIIPFFEA97CC,海光段三小段,.00,都市：商,全筆移轉
RPQOMLNKIIPFFEA97CC,天山段二小段,.00,都市：住,全筆移轉
RPQNMLNKIIPFFFA97CC,復興段一小段,.00,都市：住,全筆移轉
RPUPMLNKIIPFFEA48CC,三玉段二小段,.00,都市：商,全筆移轉
RPQOMLNKIIPFFDA87CC,敦化段五小段,.00,都市：住,全筆移轉
RPTNMLNKIIPFFEA18CC,文林段四小段,.00,都市：住,全筆移轉
RPWOMLNKIIPFFEA58CC,芝山段一小段,.00,都市：住,全筆移轉
RPTNMLNKIIPFFFA28CC,通化段二小段,.00,都市：商,全筆移轉
RPSOMLNKIIPFFEA18CC,蘭雅段一小段,.00,都市：住,全筆移轉
RPVPMLNKIIPFFEA58CC,振興段三小段,.00,都市：商,全筆移轉
RPWNMLNKIIPFFCA28CC,長安段一小段,.00,都市：商,全筆移轉
RPOOMLNKIIPFFCA57CC,吉林段四小段,.00,都市：商,全筆移轉
RPPOMLNKIIPFFCA67CC,吉林段四小段,.00,都市：商,全筆移轉
RPSOMLNKIIPFFDA08CC,和段二小段,.00,都市：住,全筆移轉
RPPQMLNKIIPFFDA97CC,敦化段一小段,.00,都市：商,全筆移轉
RPPQMLNKIIPFFDA97CC,敦化段一小段,.00,都市：商,全筆移轉
RPXOMLNKIIPFFCA48CC,中山段一小段,.00,都市：商,全筆移轉
RPQPMLNKIIPFFCA87CC,中山段二小段,.00,都市：商,全筆移轉
RPQQMLNKIIPFFCA97CC,文德段四小段,.00,都市：商,全筆移轉
RPRQMLNKIIPFFDA18CC,美仁段二小段,.00,都市：商,全筆移轉
RPQRMLNKIIPFFCA08CC,長安段一小段,.00,都市：住,全筆移轉
RPROMLNKIIPFFDA97CC,敦化段二小段,.00,都市：其他:敦化南北路特定專用區B區,全筆移轉
RPTPMLNKIIPFFDA28CC,信義段四小段,.00,都市：其他:業務設施區(信義計畫特定專用區,不得作住宅使用)。,全筆移轉
RPWPMLNKIIPFFCA48CC,文德段四小段,.00,都市：商,全筆移轉
RPTNMLNKIIPFFBA87CC,萬大段一小段,.00,都市：住,全筆移轉
RPVPMLNKIIPFFCA38CC,文德段四小段,.00,都市：住,全筆移轉
RPRQMLNKIIPFFCA08CC,北安段一小段,.00,都市：住,全筆移轉
RPWOMLNKIIPFFBA28CC,市府段一小段,.00,都市：其他:轉運站用地,全筆移轉
RPXOMLNKIIPFFBA38CC,圓環段一小段,.00,都市：商,全筆移轉
RPXOMLNKIIPFFBA38CC,圓環段一小段,.00,都市：商,全筆移轉
RPXPMLNKIIPFFBA48CC,漢中段一小段,.00,都市：商,全筆移轉
RPXPMLNKIIPFFBA48CC,漢中段一小段,.00,都市：商,全筆移轉
RPXRMLNKIIPFFCA78CC,中山段一小段,.00,都市：商,全筆移轉
RPRPMLNKIIPFFBA87CC,公園段一小段,.00,都市：商,全筆移轉
RPRPMLNKIIPFFBA87CC,公園段一小段,.00,都市：商,全筆移轉
RPVNMLNKIIPFFBA08CC,圓環段三小段,.00,都市：商,全筆移轉
RPVNMLNKIIPFFBA08CC,圓環段三小段,.00,都市：商,全筆移轉
RPQOMLNKIIPFFBA67CC,臨沂段二小段,.00,都市：住,全筆移轉
RPVOMLNKIIPFFBA18CC,大同段一小段,.00,都市：商,全筆移轉
RPTOMLOKIIPFFBA08CC,城中段一小段,.00,都市：商,全筆移轉
RPVOMLOKIIPFFBA28CC,城中段二小段,.00,都市：商,全筆移轉
RPVOMLOKIIPFFBA28CC,城中段二小段,.00,都市：商,全筆移轉
RPVOMLOKIIPFFBA28CC,城中段二小段,.00,都市：商,全筆移轉
RPVOMLOKIIPFFBA28CC,城中段二小段,.00,都市：商,全筆移轉
RPOPMLOKIIPFFCA77CC,金泰段,.00,都市：商,全筆移轉
RPWPMLOKIIPFFCA58CC,金泰段,.00,都市：商,全筆移轉
RPPPMLOKIIPFFCA87CC,榮星段四小段,.00,都市：商,全筆移轉
RPWQMLOKIIPFFCA68CC,吉林段四小段,.00,都市：商,全筆移轉
RPWQMLOKIIPFFCA68CC,吉林段四小段,.00,都市：其他:第肆種商業區,全筆移轉
RPWQMLOKIIPFFCA68CC,吉林段四小段,.00,都市：其他:第肆種商業區,全筆移轉
RPWQMLOKIIPFFCA68CC,吉林段四小段,.00,都市：其他:第肆種商業區,全筆移轉
RPWQMLOKIIPFFCA68CC,吉林段四小段,.00,都市：其他:第肆種商業區,全筆移轉
RPXQMLOKIIPFFCA78CC,康寧段一小段,.00,都市：住,全筆移轉
RPORMLOKIIPFFCA97CC,東湖段一小段,.00,都市：住,全筆移轉
RPSQMLNKIIPFFBA08CC,漢中段二小段,.00,都市：商,全筆移轉
RPSQMLNKIIPFFBA08CC,漢中段二小段,.00,都市：商,全筆移轉
RPSQMLNKIIPFFBA08CC,漢中段二小段,.00,都市：其他:道路用地,全筆移轉
RPXSMLOKIIPFFCA98CC,長安段三小段,.00,都市：商,全筆移轉
RPXSMLOKIIPFFCA98CC,長安段三小段,.00,都市：商,全筆移轉
RPXSMLOKIIPFFCA98CC,長安段三小段,.00,都市：商,全筆移轉
RPVSMLOKIIPFFCA78CC,中山段一小段,.00,都市：商,全筆移轉
