編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTUMLMKIIPFFCA58CC,塔式車位,0,15.68,
RPQOMLMKIIPFFCA67CC,坡道平面,0,40.70,
RPQOMLMKIIPFFCA67CC,坡道平面,0,40.70,
RPTOMLMKIIPFFEA28DC,坡道平面,0,,
RPQPMLMKIIPFFAA57CC,坡道平面,0,51.19,
RPQPMLMKIIPFFAA57CC,坡道平面,0,51.19,
RPSPMLMKIIPFFAA77CC,坡道平面,0,51.19,
RPSPMLMKIIPFFAA77CC,坡道平面,0,51.19,
RPSNMLNKIIPFFEA08CC,坡道平面,0,,
RPSNMLNKIIPFFEA08CC,坡道平面,0,,
RPROMLNKIIPFFEA08CC,其他,0,,
RPQOMLNKIIPFFEA97CC,坡道平面,0,36.69,
RPOPMLOKIIPFFCA77CC,坡道機械,2500,16.19,
RPWPMLOKIIPFFCA58CC,坡道平面,0,,
RPXQMLOKIIPFFCA78CC,升降平面,0,,
RPXOMLPKIIPFFCA68CC,坡道平面,0,,
RPXOMLPKIIPFFCA68CC,坡道平面,0,,
RPTOMLPKIIPFFDA38CC,塔式車位,0,22.29,
RPRRMLTKIIPFFCA78CC,塔式車位,0,21.78,
RPQPMLTKIIPFFCA48CC,坡道機械,0,,
RPOSMLTKIIPFFCA58CC,坡道平面,0,26.12,
RPVNMLTKIIPFFEA98CC,坡道平面,0,34.46,
RPXNMLTKIIPFFEA56CC,坡道平面,0,34.46,
RPSSMLTKIIPFFDA56DC,坡道平面,0,,
RPVPMLKLIIPFFEA38CC,坡道平面,0,40.07,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
RPQPMLKLIIPFFCA67CC,坡道平面,0,36.35,
