鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
中區,房地(土地+建物),興中街31~60號,29.0,都市：其他:第二種商業區,,,1091012,土地3建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0801218,169.18,5,5,5,有,無,7000000,41376,,0.0,0,,RPVNMLTJIIPFFAB48DA,154.64,14.54,0.0,無
西區,房地(土地+建物),向上路一段1~30號,2.99,都市：其他:第一種商業區,,,1091001,土地2建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830924,28.849999999999998,1,0,1,有,有,2150000,74523,,0.0,0,,RPOPMLMKIIPFFAB37DA,18.94,2.69,0.0,有
西區,房地(土地+建物)+車位,健行路964巷61~90號,29.66,都市：其他:第二之一種商業區,,,1091013,土地1建物1車位2,一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030925,265.23,4,2,2,有,有,19680000,78986,坡道平面,51.52,2800000,其他增建;,RPORMLNKIIPFFAB67DA,139.02,12.91,0.0,有
南區,房地(土地+建物),復興路二段15巷31~60號,70.0,都市：其他:第三種住宅區。,,,1090916,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0830113,293.34,11,1,11,有,無,22500000,76703,,0.0,0,頂樓加蓋;,RPRPMLLLIIPFFAB67DA,268.4,24.94,0.0,無
西區,房地(土地+建物),精誠路271~300號,26.38,都市：其他:第二種住宅區,,,1091011,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791121,158.78,6,0,6,有,有,8900000,56052,,0.0,0,含土地增值稅或其他稅費;含仲介費;含地政士服務費;陽台外推;,RPUOMLMLIIPFFAB97DA,133.98,15.39,0.0,有
西區,房地(土地+建物),華美街31~60號,42.7,都市：其他:第二種住宅區,,,1091017,土地1建物2車位0,地下層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,,167.76,0,0,1,有,無,12800000,76299,,0.0,0,其他增建;,RPWQMLNLIIPFFAB48DA,167.76,0.0,0.0,無
西區,房地(土地+建物)+車位,華美西街一段121~150號,15.46,都市：其他:第二種住宅區,,,1090929,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830420,157.41,0,0,0,無,有,10000000,63528,坡道機械,0.0,0,,RPXPMLTLIIPFFAB09DA,93.22,5.96,0.0,有
西區,房地(土地+建物),大業路1~30號,5.33,都市：其他:第二種住宅區,,,1091005,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850829,46.69,1,1,1,有,有,3050000,65324,,0.0,0,夾層;,RPQNMLOJJIPFFAB57DA,25.88,4.69,0.0,有
東區,房地(土地+建物)+車位,一心街391~420號,20.38,都市：其他:第一種商業區,,,1091021,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060922,162.48000000000002,3,2,2,有,有,10700000,65854,坡道平面,0.0,0,,RPUPMLPJJIPFFAB28DA,80.83,12.57,0.0,有
