編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPORMLNKIIPFFAB67DA,6,151.93,見其他登記事項,鋼筋混凝土造,103年9月25日,十五層,一層
RPORMLNKIIPFFAB67DA,6,113.30,見其他登記事項,鋼筋混凝土造,103年9月25日,十五層,
RPXPMLTLIIPFFAB09DA,26,99.18,商業用,鋼筋混凝土造,83年4月20日,十三層,八層
RPXPMLTLIIPFFAB09DA,26,58.23,見其他登記事項,鋼筋混凝土造,83年4月20日,十三層,
RPUPMLPJJIPFFAB28DA,3,93.40,見其他登記事項,鋼筋混凝土造,106年9月22日,十五層,十四層
RPUPMLPJJIPFFAB28DA,3,69.08,見其他登記事項,鋼筋混凝土造,106年9月22日,十五層,
RPOPMLMKIIPFFAB37DA,26,21.63,住家用,鋼筋混凝土造,83年9月24日,十三層,十二層
RPOPMLMKIIPFFAB37DA,26,7.22,見其他登記事項,鋼筋混凝土造,83年9月24日,十三層,
RPQNMLOJJIPFFAB57DA,24,30.57,見其他登記事項,鋼筋混凝土造,85年8月29日,十四層,十一層
RPQNMLOJJIPFFAB57DA,24,8.10,見其他登記事項,鋼筋混凝土造,85年8月29日,十四層,
RPQNMLOJJIPFFAB57DA,24,8.02,見其他登記事項,鋼筋混凝土造,85年8月29日,十四層,
RPVPMLPJJIPFFAB38DA,14,230.23,見其他登記事項,鋼筋混凝土造,95年9月5日,四層,一層 二層 三層 四層
RPWQMLNLIIPFFAB48DA,39,81.55,商業用,鋼筋混凝土造,70年9月7日,五層,一層 騎樓
RPWQMLNLIIPFFAB48DA,,86.21,見其他登記事項,鋼筋混凝土造,,五層,地下層
RPROMLQJJIPFFAB97DA,27,37.94,住家用,鋼筋混凝土造,82年6月2日,六層,六層
RPROMLQJJIPFFAB97DA,27,14.70,見其他登記事項,鋼筋混凝土造,82年6月2日,六層,
RPPRMLPJJIPFFAB97DA,26,90.56,住家用,鋼筋混凝土造,83年9月15日,十四層,九層
RPPRMLPJJIPFFAB97DA,26,17.25,共有部份,鋼筋混凝土造,83年9月15日,十四層,
RPOOMLQJJIPFFAB67DA,39,59.31,住家用,鋼筋混凝土造,70年6月11日,六層,六層
RPUOMLMLIIPFFAB97DA,30,74.68,住家用,鋼筋混凝土造,79年11月21日,七層,四層
RPUOMLMLIIPFFAB97DA,30,74.68,住家用,鋼筋混凝土造,79年11月21日,七層,四層
RPUOMLMLIIPFFAB97DA,30,4.70,見其他登記事項,鋼筋混凝土造,79年11月21日,七層,
RPUOMLMLIIPFFAB97DA,30,4.70,見其他登記事項,鋼筋混凝土造,79年11月21日,七層,
RPSRMLRKQHPFFBB66DA,5,179.81,見其他登記事項,鋼筋混凝土造,104年11月30日,二十層,十九層
RPSRMLRKQHPFFBB66DA,5,124.03,見其他登記事項,鋼筋混凝土造,104年11月30日,,
RPSRMLRKQHPFFBB66DA,5,65.05,見其他登記事項,鋼筋混凝土造,104年11月30日,二十層,
RPRRMLSKRHPFFBB76DA,2,110.33,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,二十五層
RPRRMLSKRHPFFBB76DA,2,80.52,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,
RPVNMLTJIIPFFAB48DA,29,169.18,住商用,鋼筋混凝土造,80年12月18日,五層,一層 二層 三層 四層 五層 騎樓 地下層
RPWPMLPJJIPFFAB48DA,14,229.68,見其他登記事項,鋼筋混凝土造,95年9月5日,四層,一層 二層 三層 四層
RPVPMLPJIIPFFBB38DA,,76.03,見其他登記事項,鋼筋混凝土造,109年3月29日,十五層,十二層
RPVPMLPJIIPFFBB38DA,,74.17,見其他登記事項,鋼筋混凝土造,109年3月29日,十五層,
RPOPMLPJIIPFFBB67DA,21,83.33,見其他登記事項,鋼筋混凝土造,88年8月16日,十四層,四層
RPOPMLPJIIPFFBB67DA,21,72.82,共有部份,鋼筋混凝土造,88年8月16日,十四層,
RPQRMLRJIIPFFBB28DA,31,76.83,住家用,鋼筋混凝土造,78年6月2日,五層,一層
RPQRMLRJIIPFFBB28DA,31,44.31,共有部份,鋼筋混凝土造,78年6月2日,五層,
RPSQMLSJIIPFFBB48DA,2,128.45,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,二層
RPSQMLSJIIPFFBB48DA,2,89.06,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,
RPSOMLSJIIPFFBB28DA,7,386.30,住家用,鋼筋混凝土造,102年7月1日,四層,一層 二層 三層 四層
RPSOMLSJIIPFFBB28DA,7,386.30,住家用,鋼筋混凝土造,102年7月1日,四層,一層 二層 三層 四層
RPUQMLSJIIPFFBB68DA,2,131.90,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,十八層
RPUQMLSJIIPFFBB68DA,2,90.98,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,
RPQRMLSJIIPFFBB38DA,2,142.03,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,七層
RPQRMLSJIIPFFBB38DA,2,122.35,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,
RPUNMLTJIIPFFBB48DA,29,91.94,住家用,鋼筋混凝土造,81年1月4日,五層,五層
RPUNMLTJIIPFFBB48DA,29,61.90,見其他登記事項,鋼筋混凝土造,81年1月4日,五層,地下層
RPRPMLLLIIPFFAB67DA,27,293.34,住商用,鋼筋混凝土造,83年1月13日,五層,一層 二層 三層 四層 五層 騎樓
RPUNMLTJIIPFFBB48DA,29,13.24,共有部份,鋼筋混凝土造,81年1月4日,五層,
RPVQMLSJIIPFFBB78DA,2,132.65,見其他登記事項,鋼筋混凝土造,108年1月4日,二十五層,二十五層
