鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1080828,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6750000,60566,坡道平面,28.39,860000,,RPOUMLMKIIPFFIB68CB
大里區,房地(土地+建物),大義段31~60地號,17.85,住,,,1081019,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.25,2,2,1,有,無,5800000,59640,,0.0,0,,RPPUMLMKIIPFFIB78CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1080707,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6400000,56967,坡道平面,28.39,860000,,RPQUMLMKIIPFFIB88CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1090229,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6600000,57995,坡道平面,28.39,960000,,RPRUMLMKIIPFFIB98CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1090522,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6780000,58715,坡道平面,28.39,1070000,,RPSUMLMKIIPFFIB09CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1080828,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6660000,59640,坡道平面,28.39,860000,,RPTUMLMKIIPFFIB56CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1090505,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6800000,60051,坡道平面,28.39,960000,,RPUUMLMKIIPFFIB66CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1080622,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6720000,60257,坡道平面,28.39,860000,,RPVUMLMKIIPFFIB76CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1080923,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6880000,60874,坡道平面,28.39,960000,,RPWUMLMKIIPFFIB86CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1090214,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6780000,60874,坡道平面,28.39,860000,,RPXUMLMKIIPFFIB96CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1080713,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,6750000,60566,坡道平面,28.39,860000,,RPOVMLMKIIPFFIB78CB
大里區,房地(土地+建物)+車位,大義段31~60地號,18.24,住,,,1090501,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.64,2,2,1,有,無,7000000,60977,坡道平面,28.39,1070000,,RPPVMLMKIIPFFIB88CB
