編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOUMLMKIIPFFIB68CB,大義段,18.24,都市：住,持分移轉
RPRUMLMKIIPFFIB98CB,大義段,18.24,都市：住,持分移轉
RPQUMLMKIIPFFIB88CB,大義段,18.24,都市：住,持分移轉
RPSUMLMKIIPFFIB09CB,大義段,18.24,都市：住,持分移轉
RPWUMLMKIIPFFIB86CB,大義段,18.24,都市：住,持分移轉
RPVUMLMKIIPFFIB76CB,大義段,18.24,都市：住,持分移轉
RPPUMLMKIIPFFIB78CB,大義段,17.85,都市：住,持分移轉
RPUUMLMKIIPFFIB66CB,大義段,18.24,都市：住,持分移轉
RPXUMLMKIIPFFIB96CB,大義段,18.24,都市：住,持分移轉
RPTUMLMKIIPFFIB56CB,大義段,18.24,都市：住,持分移轉
RPOVMLMKIIPFFIB78CB,大義段,18.24,都市：住,持分移轉
RPPVMLMKIIPFFIB88CB,大義段,18.24,都市：住,持分移轉
RPQVMLMKIIPFFIB98CB,大義段,18.24,都市：住,持分移轉
RPSVMLMKIIPFFIB56CB,大義段,18.24,都市：住,持分移轉
RPRVMLMKIIPFFIB09CB,大義段,18.24,都市：住,持分移轉
RPTVMLMKIIPFFIB66CB,大義段,18.24,都市：住,持分移轉
RPVVMLMKIIPFFIB86CB,大義段,18.24,都市：住,持分移轉
RPUVMLMKIIPFFIB76CB,大義段,18.24,都市：住,持分移轉
RPWVMLMKIIPFFIB96CB,大義段,18.24,都市：住,持分移轉
RPOWMLMKIIPFFIB88CB,大義段,18.24,都市：住,持分移轉
RPXVMLMKIIPFFIB07CB,大義段,18.24,都市：住,持分移轉
RPPWMLMKIIPFFIB98CB,大義段,18.24,都市：住,持分移轉
RPRWMLMKIIPFFIB56CB,大義段,18.24,都市：住,持分移轉
RPQWMLMKIIPFFIB09CB,大義段,18.24,都市：住,持分移轉
RPSWMLMKIIPFFIB66CB,大義段,18.24,都市：住,持分移轉
RPUWMLMKIIPFFIB86CB,大義段,18.24,都市：住,持分移轉
RPTWMLMKIIPFFIB76CB,大義段,18.24,都市：住,持分移轉
RPONNLMKIIPFFIB08CB,大義段,23.80,都市：住,持分移轉
RPWWMLMKIIPFFIB07CB,大義段,33.32,都市：住,持分移轉
RPPNNLMKIIPFFIB18CB,大義段,23.80,都市：住,持分移轉
RPVWMLMKIIPFFIB96CB,大義段,18.24,都市：住,持分移轉
RPQNNLMKIIPFFIB28CB,大義段,23.80,都市：住,持分移轉
RPTNNLMKIIPFFIB58CB,大義段,23.80,都市：住,持分移轉
RPRNNLMKIIPFFIB38CB,大義段,23.80,都市：住,持分移轉
RPUNNLMKIIPFFIB68CB,大義段,23.80,都市：住,持分移轉
RPVNNLMKIIPFFIB78CB,大義段,23.80,都市：住,持分移轉
RPWNNLMKIIPFFIB88CB,大義段,23.80,都市：住,持分移轉
RPSNNLMKIIPFFIB48CB,大義段,23.80,都市：住,持分移轉
RPOONLMKIIPFFIB18CB,大義段,23.80,都市：住,持分移轉
RPXNNLMKIIPFFIB98CB,大義段,23.80,都市：住,持分移轉
RPPONLMKIIPFFIB28CB,大義段,24.19,都市：住,持分移轉
RPRONLMKIIPFFIB48CB,大義段,24.59,都市：住,持分移轉
RPQONLMKIIPFFIB38CB,大義段,23.80,都市：住,持分移轉
RPSONLMKIIPFFIB58CB,大義段,23.80,都市：住,持分移轉
RPUONLMKIIPFFIB78CB,大義段,23.80,都市：住,持分移轉
RPTONLMKIIPFFIB68CB,大義段,23.80,都市：住,持分移轉
RPVONLMKIIPFFIB88CB,大義段,23.80,都市：住,持分移轉
RPWONLMKIIPFFIB98CB,大義段,23.80,都市：住,持分移轉
RPXONLMKIIPFFIB09CB,大義段,23.80,都市：住,持分移轉
RPPPNLMKIIPFFIB38CB,大義段,23.80,都市：住,持分移轉
RPRPNLMKIIPFFIB58CB,大義段,23.80,都市：住,持分移轉
RPQPNLMKIIPFFIB48CB,大義段,23.80,都市：住,持分移轉
RPOPNLMKIIPFFIB28CB,大義段,23.80,都市：住,持分移轉
RPSPNLMKIIPFFIB68CB,大義段,23.80,都市：住,持分移轉
RPVPNLMKIIPFFIB98CB,大義段,23.80,都市：住,持分移轉
RPUPNLMKIIPFFIB88CB,大義段,23.80,都市：住,持分移轉
RPWPNLMKIIPFFIB09CB,大義段,21.42,都市：住,持分移轉
RPTPNLMKIIPFFIB78CB,大義段,23.80,都市：住,持分移轉
RPXPNLMKIIPFFIB56CB,大義段,19.83,都市：住,持分移轉
RPQQNLMKIIPFFIB58CB,大義段,21.81,都市：住,持分移轉
RPPQNLMKIIPFFIB48CB,大義段,21.02,都市：住,持分移轉
RPOQNLMKIIPFFIB38CB,大義段,19.43,都市：住,持分移轉
RPRQNLMKIIPFFIB68CB,大義段,21.42,都市：住,持分移轉
RPSQNLMKIIPFFIB78CB,大義段,21.02,都市：住,持分移轉
RPTQNLMKIIPFFIB88CB,大義段,19.83,都市：住,持分移轉
RPUQNLMKIIPFFIB98CB,大義段,19.83,都市：住,持分移轉
RPROMLNKIIPFFIB48CB,大義段,24.19,都市：住,持分移轉
RPUOMLNKIIPFFIB78CB,大義段,23.80,都市：住,持分移轉
RPVQNLMKIIPFFIB09CB,大義段,21.42,都市：住,持分移轉
RPTOMLNKIIPFFIB68CB,大義段,23.80,都市：住,持分移轉
RPVOMLNKIIPFFIB88CB,大義段,23.80,都市：住,持分移轉
RPXOMLNKIIPFFIB09CB,大義段,18.24,都市：住,持分移轉
RPSOMLNKIIPFFIB58CB,大義段,23.80,都市：住,持分移轉
