鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物)+車位,臺中市南區工學五街31~60號,23.39,住,,,1091006,土地1建物1車位2,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040529,138.65,3,2,2,有,有,有,25500,184,坡道平面,61.7,0,,RPPNMLLKIIPFFAB27CC
西區,房地(土地+建物),臺中市西區英才路421~450號,8.61,住,,,1091012,土地1建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990812,84.21000000000001,2,2,1,有,有,有,28000,333,,0.0,0,,RPTPMLMKIIPFFAB97CC
豐原區,房地(土地+建物),臺中市豐原區圓環東路451~480號,125.27,住,,,1090916,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1071210,333.44,0,0,0,無,無,無,70000,210,,0.0,0,109年9月16起至109年9月30日為裝潢期,免收租金,RPUNMLMKIIPFFDB18CC
烏日區,房地(土地+建物)+車位,臺中市烏日區環河路四段241~270號,25.72,住,,,1091005,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090713,184.44,4,2,2,有,有,有,28000,152,坡道平面,30.49,0,,RPOPMLMKIIPFFIB28CC
龍井區,房地(土地+建物),臺中市龍井區國際街253巷2弄1~30號,71.65,住,,,1090912,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0871031,189.95,4,3,3,有,無,無,15000,79,,0.0,0,,RPROMLMKIIPFFKB68CC
西屯區,房地(土地+建物)+車位,臺中市西屯區成都路271~300號,19.34,住,,,1091007,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830627,154.95999999999998,3,2,2,有,有,有,14400,93,坡道機械,0.0,0,臺中市包租代管案件租金市價打9折。因106年包租代管試辦計畫因素，此租約訂定金額不含管理費、車位租金，管理費、停車位費用為承租人另行支付。,RPXNMLMKIIPFFCB38CC
西屯區,房地(土地+建物)+車位,臺中市西屯區大恩街1~30號,21.26,住,,,1090930,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851118,172.13,3,2,2,有,有,有,17100,99,坡道平面,0.0,0,臺中市包租代管案件租金市價打9折。因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費、車位租金，管理費、停車位費用為承租人另行支付。,RPOOMLMKIIPFFCB57CC
南屯區,建物,臺中市南屯區公益路二段151~180號,0.0,住,,,1090922,土地0建物1車位0,見其他登記事項,8,店面(店鋪),見其他登記事項,鋼筋混凝土造,0770825,263.25,5,2,3,有,有,無,58000,220,,0.0,0,租賃範圍不含車位，且無法區分車位面積。;租期內含免租裝潢期。109/11/8-112/11/7租金為58000元，112/11/8-114/11/7租金為62000元。,RPWSMLMKIIPFFCB78CC
西屯區,土地,廣福段181~210地號,528.92,農,,,1090913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,40000,76,,0.0,0,含增建或未登記建物。;,RPSNMLNKIIPFFCB97CC
