編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLMKIIPFFKB68CC,22,189.95,住家用,鋼筋混凝土造,87年10月31日,五層,
RPUNMLMKIIPFFDB18CC,2,333.44,見其他登記事項,鋼筋混凝土造,107年12月10日,四層,
RPPNMLLKIIPFFAB27CC,5,93.84,見其他登記事項,鋼筋混凝土造,104年5月29日,十二層,
RPPNMLLKIIPFFAB27CC,5,44.81,見其他登記事項,鋼筋混凝土造,104年5月29日,十二層,
RPTPMLMKIIPFFAB97CC,10,57.34,見其他登記事項,鋼筋混凝土造,99年8月12日,十三層,
RPTPMLMKIIPFFAB97CC,10,14.73,見其他登記事項,鋼筋混凝土造,99年8月12日,十三層,
RPTPMLMKIIPFFAB97CC,10,12.14,見其他登記事項,鋼筋混凝土造,99年8月12日,十三層,
RPWSMLMKIIPFFCB78CC,32,218.24,見其他登記事項,鋼筋混凝土造,77年8月25日,八層,
RPWSMLMKIIPFFCB78CC,32,41.21,共有部分,鋼筋混凝土造,77年8月25日,八層,
RPWSMLMKIIPFFCB78CC,32,3.80,住家用,鋼筋混凝土造,77年8月25日,八層,
RPOOMLMKIIPFFCB57CC,24,110.36,見其他登記事項,鋼筋混凝土造,85年11月18日,十二層,
RPOOMLMKIIPFFCB57CC,24,61.77,共有部分,鋼筋混凝土造,85年11月18日,十二層,
RPORMLNKIIPFFCB97CC,11,39.66,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPORMLNKIIPFFCB97CC,11,3.28,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPORMLNKIIPFFCB97CC,11,15.60,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPXNMLMKIIPFFCB38CC,26,109.05,住家用,鋼筋混凝土造,83年6月27日,九層,
RPXNMLMKIIPFFCB38CC,26,45.91,共有部分,鋼筋混凝土造,83年6月27日,九層,
RPOPMLMKIIPFFIB28CC,,184.44,見其他登記事項,鋼筋混凝土造,109年7月13日,十五層,
RPPRMLNKIIPFFCB08CC,11,41.66,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPPRMLNKIIPFFCB08CC,11,3.45,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPPRMLNKIIPFFCB08CC,11,16.44,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPQRMLNKIIPFFCB18CC,11,47.76,住家用,鋼筋混凝土造,99年2月1日,十一層,
RPQRMLNKIIPFFCB18CC,11,17.59,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPQRMLNKIIPFFCB18CC,11,6.59,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPWNMLNKIIPFFBB28CC,21,254.85,見其他登記事項,鋼筋混凝土造,89年1月11日,十三層,
RPROMLNKIIPFFBB87CC,3,80.97,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPROMLNKIIPFFBB87CC,3,28.40,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPROMLNKIIPFFBB87CC,3,53.32,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPWRMLNKIIPFFBB68CC,7,27.23,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPXRMLNKIIPFFBB78CC,7,27.23,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPQSMLNKIIPFFBB18CC,15,48.22,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPQSMLNKIIPFFBB18CC,15,19.39,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPRRMLNKIIPFFBB18CC,7,76.49,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPRRMLNKIIPFFBB18CC,7,20.52,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPRRMLNKIIPFFBB18CC,7,43.65,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPVRMLNKIIPFFBB58CC,24,76.82,住家用,鋼筋混凝土造,85年6月27日,二十四層,
RPVRMLNKIIPFFBB58CC,24,6.72,共有部份,鋼筋混凝土造,85年6月27日,二十四層,
RPVRMLNKIIPFFBB58CC,24,1.51,共有部份,鋼筋混凝土造,85年6月27日,二十四層,
RPVRMLNKIIPFFBB58CC,24,23.04,共有部份,鋼筋混凝土造,85年6月27日,二十四層,
RPURMLNKIIPFFBB48CC,7,42.49,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPURMLNKIIPFFBB48CC,7,11.38,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPURMLNKIIPFFBB48CC,7,9.08,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
