編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLMKIIPFFKB68CC,遠東段,13.52,都市：住,全筆移轉
RPROMLMKIIPFFKB68CC,遠東段,58.13,都市：住,全筆移轉
RPSNMLNKIIPFFCB97CC,廣福段,528.92,都市：農,全筆移轉
RPUNMLMKIIPFFDB18CC,中陽段,125.27,都市：住,全筆移轉
RPPNMLLKIIPFFAB27CC,下橋子頭段,23.39,都市：住,全筆移轉
RPTPMLMKIIPFFAB97CC,後子段,8.61,都市：住,全筆移轉
RPWSMLMKIIPFFCB78CC,大新段,.00,都市：住,全筆移轉
RPOOMLMKIIPFFCB57CC,大墩段,21.26,都市：住,全筆移轉
RPORMLNKIIPFFCB97CC,中正段,5.27,都市：商,全筆移轉
RPXNMLMKIIPFFCB38CC,中和段,19.34,都市：住,全筆移轉
RPOPMLMKIIPFFIB28CC,新三和段,25.72,都市：住,全筆移轉
RPPRMLNKIIPFFCB08CC,中正段,5.51,都市：商,全筆移轉
RPQRMLNKIIPFFCB18CC,上石碑段,3.49,都市：商,全筆移轉
RPQRMLNKIIPFFCB18CC,上石碑段,3.12,都市：商,全筆移轉
RPWNMLNKIIPFFBB28CC,東山段,34.97,都市：商,全筆移轉
RPROMLNKIIPFFBB87CC,東信段,12.54,都市：住,全筆移轉
RPWRMLNKIIPFFBB68CC,東峰段,28.63,都市：住,全筆移轉
RPXRMLNKIIPFFBB78CC,東峰段,11.12,都市：住,全筆移轉
RPQSMLNKIIPFFBB18CC,賴厝段,2.96,都市：商,全筆移轉
RPQSMLNKIIPFFBB18CC,邱厝子段,2.37,都市：商,全筆移轉
RPRRMLNKIIPFFBB18CC,東峰段,11.79,都市：住,全筆移轉
RPVRMLNKIIPFFBB58CC,東山段,7.30,都市：商,全筆移轉
RPURMLNKIIPFFBB48CC,東峰段,6.34,都市：住,全筆移轉
RPTRMLNKIIPFFBB38CC,東峰段,9.74,都市：住,全筆移轉
RPQSMLNKIIPFFFB58CC,三鹿段,15.17,都市：住,全筆移轉
RPVOMLNKIIPFFAB18CC,正義段九小段,15.89,都市：住,全筆移轉
RPPSMLNKIIPFFBB08CC,東峰段,6.84,都市：住,全筆移轉
RPWQMLOKIIPFFFB09CC,市鎮北段,13.95,都市：商,全筆移轉
RPRPMLNKIIPFFIB68CC,崇光段,27.62,都市：商,全筆移轉
RPQPMLNKIIPFFIB58CC,益民段,10.95,都市：住,全筆移轉
RPQPMLNKIIPFFIB58CC,益民段,2.43,都市：住,全筆移轉
RPQPMLOKIIPFFAB87CC,大益段,.00,都市：住,全筆移轉
RPWPMLOKIIPFFBB58CC,水源段,.00,都市：住,全筆移轉
RPQNMLOKIIPFFAB67CC,下橋子頭段,1.87,都市：商,全筆移轉
RPSSMLOKIIPFFBB48CC,同榮段,.00,都市：住,全筆移轉
RPOQMLOKIIPFFBB87CC,水源段,.00,都市：商,全筆移轉
RPWNMLOKIIPFFDB58CC,順豐段,893.07,都市：農,全筆移轉
