鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
信義區,房地(土地+建物),深溪路38巷1~30號,24.51,都市：其他:住宅區(住四),,,1091010,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,82.84,1,1,1,有,有,5850000,70618,,0.0,0,,RPQOMLQKIIPFFBC08DA,47.65,2.88,4.53,
信義區,房地(土地+建物)+車位,深溪路38巷1~30號,29.58,都市：其他:住宅區(住四),,,1091028,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,116.47999999999999,3,1,1,有,有,7250000,62242,坡道平面,21.86,0,,RPQOMLTLIIPFFBC48DA,55.42,2.7,4.61,
信義區,房地(土地+建物),東明路55巷61~90號,22.6,都市：其他:住宅區,,,1091006,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730328,71.68,2,1,1,有,無,2550000,35575,,0.0,0,,RPQNMLPJJIPFFBC87DA,64.97,0.0,6.71,
信義區,房地(土地+建物)+車位,深澳坑路141巷1~30號,88.49,都市：其他:保護區,,,1091016,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0860828,209.5,5,2,3,有,無,7500000,35800,坡道平面,0.0,0,,RPWNMLQJJIPFFBC58DA,154.64,19.12,12.39,
信義區,房地(土地+建物),仁一路7巷61~90號,48.75,都市：其他:道路用地,,,1091022,土地3建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0600323,53.04,2,0,2,有,無,2500000,47134,,0.0,0,平台增建,RPWNMLTJJIPFFBC88DA,53.04,0.0,0.0,
安樂區,房地(土地+建物),安一路181~210號,15.24,都市：其他:商業區,,,1090926,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850325,126.03,2,1,1,有,有,7200000,57129,,0.0,0,,RPVNMLQJIIPFFCC48DA,87.49,5.83,15.69,
安樂區,房地(土地+建物),中和路168巷5弄1~30號,25.78,都市：其他:特別住宅區(特住二),,,1090924,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860401,109.21,3,1,2,有,無,3900000,35711,,0.0,0,,RPQOMLNKIIPFFCC87DA,80.7,1.28,9.04,
安樂區,房地(土地+建物),樂利三街38巷1~30號,61.13,都市：其他:學校用地(文高),,,1090921,土地12建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680228,97.97,3,2,1,有,無,3550000,36236,,0.0,0,,RPOOMLTKIIPFFCC28DA,83.33,0.0,14.64,
安樂區,房地(土地+建物),安和一街6巷61~90號,35.6,都市：其他:住宅區,,,1090811,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690729,72.41,3,2,1,有,無,2800000,38669,,0.0,0,,RPXNMLRLIIPFFCC98DA,72.41,0.0,0.0,
安樂區,房地(土地+建物),基金一路135巷21弄1~30號,22.0,都市：其他:道路用地,,,1091019,土地33建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0820902,113.62,2,1,1,有,有,8000000,70410,,0.0,0,,RPROMLPJJIPFFCC18DA,87.8,12.01,0.0,
暖暖區,房地(土地+建物)+車位,金華街241~270號,27.47,都市：其他:住宅區,,,1091013,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850105,156.51,3,2,2,有,有,5400000,34503,坡道平面,0.0,0,,RPPOMLQJJIPFFCC08DA,87.7,0.0,11.56,
暖暖區,房地(土地+建物),暖暖街16巷31~60號,24.42,都市：其他:住宅區(住二),,,1091026,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681027,84.74,3,2,1,有,無,3220000,37999,,0.0,0,,RPSOMLQJJIPFFCC38DA,79.99,0.0,4.75,
中正區,土地,和平段1~30地號,7.17,都市：其他:甲種工業區,,,1091020,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,116000,16179,,0.0,0,,RPRNMLTJJIPFFBC48EA,0.0,0.0,0.0,
仁愛區,房地(土地+建物),劉銘傳路93巷1~30號,45.0,都市：其他:住宅區(住三),,,1091027,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0520600,97.02,3,2,2,有,無,2100000,21645,,0.0,0,,RPSOMLPJJIPFFBC28EA,97.02,0.0,0.0,
信義區,房地(土地+建物)+車位,東信路180巷61~90號,40.06,都市：其他:道路用地,,,1091018,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861013,154.85999999999999,4,1,2,有,無,5000000,32287,坡道平面,31.82,0,,RPPNMLTJJIPFFBC28EA,101.68,0.0,12.64,
暖暖區,房地(土地+建物)+車位,金華街241~270號,27.47,都市：其他:住宅區,,,1090917,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850105,156.51,3,2,2,有,有,5500000,35142,坡道平面,0.0,0,,RPTNMLTJJIPFFCC78EA,87.7,0.0,11.56,
安樂區,房地(土地+建物),武嶺街211~240號,17.38,都市：其他:住宅區(住一),,,1091022,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850406,64.82,1,1,1,有,有,3000000,46282,,0.0,0,,RPQNMLKKJIPFFCC67EA,46.14,0.0,6.86,
仁愛區,房地(土地+建物),愛三路61~90號,10.13,都市：其他:商業區(商四),,,1091023,土地4建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0720530,121.10000000000001,0,0,0,無,無,9000000,74319,,0.0,0,,RPPNMLKKJIPFFBC47EA,93.37,0.0,0.0,
暖暖區,房地(土地+建物)+車位,暖暖街281巷1~30號,34.91,都市：其他:住宅區(住三),,,1091017,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021204,184.89,3,2,2,有,有,11000000,59495,坡道平面,34.65,0,,RPOOMLTJJIPFFCC28DA,89.89,2.93,12.87,
中正區,房地(土地+建物),新豐街162巷91~120號,36.91,都市：其他:住宅區(住一),,,1091010,土地9建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980629,119.99,3,2,2,有,有,5550000,46258,,0.0,0,,RPUNMLOJJIPFFBC28EA,78.66,2.74,6.2,
七堵區,房地(土地+建物),明德一路31~60號,18.91,都市：其他:商業區(商三),,,1090927,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740424,94.44,3,2,2,有,無,4400000,46590,,0.0,0,,RPOOMLKMIIPFFCC57DA,84.54,0.0,2.54,
安樂區,房地(土地+建物),崇德路121~150號,45.22,都市：其他:道路用地,,,1091002,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710420,85.92,3,1,1,有,無,1800000,20950,,0.0,0,,RPXNMLNJJIPFFCC48DA,85.92,0.0,0.0,
中正區,房地(土地+建物),觀海街121~150號,22.39,都市：其他:住宅區(住二),,,1091022,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,112.59,5,0,5,有,有,4300000,38192,,0.0,0,,RPOOMLTJJIPFFBC18DA,80.75,0.0,11.69,
中正區,房地(土地+建物),觀海街121~150號,20.75,都市：其他:住宅區(住二),,,1090918,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880114,106.27,2,2,1,有,有,4500000,42345,,0.0,0,,RPQVMLPJJIPFFBC68DA,75.72,0.0,11.69,
信義區,房地(土地+建物),深澳坑路1~30號,36.1,都市：其他:住宅區(住四),,,1091001,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781018,115.46000000000001,10,0,10,有,無,5800000,50234,,0.0,0,,RPVNMLQJJIPFFBC48DA,98.14,0.0,14.06,
信義區,房地(土地+建物)+車位,深溪路38巷1~30號,30.84,都市：其他:住宅區(住四),,,1091017,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,123.57,3,1,1,有,有,8100000,65550,坡道平面,24.17,0,,RPOOMLKMIIPFFBC47DA,59.07,2.03,4.86,
中正區,房地(土地+建物),調和街266巷57弄1~30號,126.02,都市：其他:住宅區(住二),,,1091009,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070209,221.31,4,2,4,有,有,11380000,51419,,0.0,0,,RPTNMLQJJIPFFBC38EA,203.67,0.0,15.57,
安樂區,房地(土地+建物),麥金路181~210號,18.22,都市：其他:住宅區(住一),,,1090916,土地8建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,139.89,3,2,2,有,有,7000000,50039,,0.0,0,,RPQNMLLKJIPFFCC77EA,72.11,0.0,7.16,
暖暖區,房地(土地+建物),碇內街93巷1~30號,40.44,都市：其他:住宅區(住二),,,1091029,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711204,81.21,2,1,1,有,無,2000000,24628,,0.0,0,,RPRNMLLKJIPFFCC87EA,67.09,0.0,14.12,
中正區,房地(土地+建物),平三路1~30號,21.2,都市：其他:住宅區(住二),,,1090904,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660518,64.6,4,0,4,有,無,1600000,24768,,0.0,0,,RPQPMLPJJIPFFBC08DA,64.6,0.0,0.0,
