編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLQKIIPFFBC08DA,3,55.06,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,八層
RPQOMLQKIIPFFBC08DA,3,27.78,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPQOMLTLIIPFFBC48DA,3,62.73,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,三層
RPQOMLTLIIPFFBC48DA,3,53.75,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPSOMLQJJIPFFCC38DA,41,84.74,住家用,鋼筋混凝土造,68年10月27日,四層,四層
RPPOMLQJJIPFFCC08DA,25,99.26,住家用,鋼筋混凝土造,85年1月5日,十一層,六層
RPPOMLQJJIPFFCC08DA,25,21.16,共用部份,鋼筋混凝土造,85年1月5日,十一層,
RPPOMLQJJIPFFCC08DA,25,33.95,共用部份,鋼筋混凝土造,85年1月5日,十一層,
RPPOMLQJJIPFFCC08DA,25,2.15,共用部份,鋼筋混凝土造,85年1月5日,十一層,
RPQNMLPJJIPFFBC87DA,37,71.68,住家用,鋼筋混凝土造,73年3月28日,五層,五層
RPROMLPJJIPFFCC18DA,27,49.90,商業用,鋼筋混凝土造,82年9月2日,七層,一層
RPROMLPJJIPFFCC18DA,27,49.90,商業用,鋼筋混凝土造,82年9月2日,七層,一層
RPROMLPJJIPFFCC18DA,27,.42,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLPJJIPFFCC18DA,27,.42,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLPJJIPFFCC18DA,27,2.04,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLPJJIPFFCC18DA,27,2.04,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLPJJIPFFCC18DA,27,.59,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLPJJIPFFCC18DA,27,.59,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLPJJIPFFCC18DA,27,3.85,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLPJJIPFFCC18DA,27,3.85,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPSOMLPJJIPFFBC28EA,,97.02,住家用,加強磚造,52年6月0日,三層,一層 二層 三層
RPQNMLKKJIPFFCC67EA,25,53.00,住家用,鋼筋混凝土造,85年4月6日,七層,七層
RPQNMLKKJIPFFCC67EA,25,11.82,共用部份,鋼筋混凝土造,85年4月6日,七層,
