編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLQKIIPFFBC08DA,深澳段,24.51,都市：其他:住宅區(住四),持分移轉
RPQOMLTLIIPFFBC48DA,深澳段,29.58,都市：其他:住宅區(住四),持分移轉
RPSOMLQJJIPFFCC38DA,八德段,24.42,都市：其他:住宅區(住二),持分移轉
RPPOMLQJJIPFFCC08DA,金華段,27.47,都市：其他:住宅區,持分移轉
RPQNMLPJJIPFFBC87DA,東明段,3.80,都市：其他:住宅區,持分移轉
RPQNMLPJJIPFFBC87DA,東明段,13.60,都市：其他:住宅區,持分移轉
RPQNMLPJJIPFFBC87DA,東明段,4.40,都市：其他:道路用地,持分移轉
RPQNMLPJJIPFFBC87DA,東明段,.80,都市：其他:住宅區,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.02,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.02,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.03,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.03,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,2.05,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,2.05,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.02,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.02,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.05,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.05,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.94,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.94,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,2.17,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,2.17,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.05,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.05,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.02,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.02,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.08,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.08,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.05,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.05,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:道路用地,持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.01,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.00,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.00,都市：其他:住宅區(住一),持分移轉
RPROMLPJJIPFFCC18DA,武嶺段,.47,都市：其他:住宅區(住一),持分移轉
