編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLTLIIPFFBC48DA,坡道平面,0,21.86,
RPPOMLQJJIPFFCC08DA,坡道平面,0,,
RPWNMLQJJIPFFBC58DA,坡道平面,0,,
RPPNMLTJJIPFFBC28EA,坡道平面,0,31.82,
RPOOMLTJJIPFFCC28DA,坡道平面,0,34.65,
RPTNMLTJJIPFFCC78EA,坡道平面,0,,
RPOOMLKMIIPFFBC47DA,坡道平面,0,24.17,
RPPNMLSJJIPFFCC18DA,坡道平面,0,36.40,
RPUNMLKKJIPFFCC97DA,一樓平面,0,,
RPTOMLTJRHPFFBC76DA,坡道平面,0,21.86,
RPUNMLLKJIPFFBC97DA,坡道平面,0,30.84,
RPOOMLPJJIPFFCC87DA,坡道平面,0,35.79,
RPTNMLLKJIPFFBC87DA,坡道平面,0,30.84,
RPPOMLLKJIPFFBC57DA,坡道平面,0,,
RPOPMLKLIIPFFCC57DA,坡道平面,0,35.44,
RPUNMLNJJIPFFBC08DA,坡道平面,0,,
RPQVMLOJJIPFFBC58DA,坡道機械,1200000,5.29,
RPXNMLTJJIPFFBC98DA,坡道平面,0,,
RPVNMLLKJIPFFBC08DA,坡道平面,0,30.84,
RPQNMLLKJIPFFBC67EA,坡道平面,1000000,24.12,
RPPNMLLKJIPFFCC67EA,坡道平面,0,,
RPWNMLLKJIPFFCC38EA,坡道平面,1050000,,
RPSNMLMKJIPFFCC08EA,坡道平面,0,,
RPQNMLTJJIPFFCC48EA,一樓平面,0,,
RPQNMLMKJIPFFCC87EA,坡道平面,0,,
RPRNMLOJJIPFFCC08EA,坡道平面,600000,32.21,
RPQOMLMKJIPFFCC87DA,坡道平面,0,,
RPXNMLMKJIPFFCC48DA,坡道平面,0,,
RPUNMLLKJIPFFCC08DA,坡道平面,0,,
RPVPMLMKJIPFFBC38DA,坡道平面,1200000,35.96,
RPXPMLMKJIPFFBC58DA,坡道平面,1150000,31.21,
RPOQMLMKJIPFFBC77DA,坡道平面,1200000,35.96,
RPUPMLMKJIPFFBC28DA,坡道平面,1150000,31.21,
RPQQMLMKJIPFFBC97DA,坡道平面,1200000,35.96,
RPVNMLNJJIPFFBC18DA,坡道平面,0,,
RPVNMLQKJIPFFBC58DA,坡道平面,0,,
RPPNMLQKJIPFFCC18EA,坡道平面,0,,
RPTNMLNKJIPFFCC28EA,坡道平面,0,,
RPRNMLNKJIPFFCC08EA,坡道機械,0,17.18,
RPOPMLNKJIPFFCC87DA,坡道平面,0,,
RPOPMLNKJIPFFCC87DA,坡道平面,0,,
RPXOMLNKJIPFFCC68DA,坡道平面,0,28.62,
RPVNMLKKJIPFFCC08DA,坡道平面,0,,
RPSPMLNKJIPFFCC28DA,坡道平面,0,,
RPSPMLMKJIPFFCC18DA,坡道機械,0,,
RPWOMLNKJIPFFCC58DA,坡道平面,0,30.62,
RPUUMLMKQHPFFBC76DA,坡道平面,900000,35.43,
RPUOMLPKIIPFFBC38DA,坡道平面,800000,35.43,
RPXOMLPKIIPFFBC68DA,坡道平面,980000,35.43,
RPWOMLPKIIPFFBC58DA,坡道平面,1000000,35.43,
RPTOMLPKIIPFFBC28DA,坡道平面,800000,35.43,
RPQOMLNKJIPFFBC87DA,一樓平面,0,,
RPSOMLPLRHPFFCC56DA,坡道平面,0,27.20,
RPPPMLMKJIPFFBC77DA,坡道機械,0,,
RPPQMLSKJIPFFBC48DA,坡道平面,0,30.84,
RPVNMLSKJIPFFBC78DA,坡道平面,0,,
RPWNMLPJIIPFFCC48DA,坡道平面,0,,
RPSOMLKLIIPFFCC87DA,坡道平面,0,39.46,
RPSNMLRKJIPFFCC58EA,坡道平面,0,35.45,
