鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路301~330號,10.38,住,,,1090923,土地3建物1車位1,十一層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,136.98,2,1,1,有,無,有,19000,139,坡道平面,50.84,0,,RPWNMLMKIIPFFCC38CC
七堵區,房地(土地+建物)+車位,基隆市七堵區工建路1~30號,3004.0,工,,,1090916,土地1建物1車位2,一層,2,廠辦,見其他登記事項,鋼筋混凝土造,1001014,866.94,0,0,0,無,有,無,220000,271,坡道平面,73.76,5000,含管理費、稅金或水電等費用。;,RPSOMLMKIIPFFCC08CC
中山區,建物,基隆市中山區西定路121~150號,0.0,商,,,1090925,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821122,79.46,2,2,1,有,無,有,12000,151,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPTOMLNKIIPFFCC28CC
安樂區,建物,基隆市安樂區基金一路91~120號,0.0,住,,,1090928,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810708,139.08,3,2,1,有,無,有,12300,88,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPUOMLNKIIPFFCC38CC
安樂區,建物,基隆市安樂區安樂路二段166巷1~30號,0.0,住,,,1091005,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700724,94.52000000000001,3,2,1,有,無,有,12000,127,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPWOMLNKIIPFFCC58CC
中正區,建物,基隆市中正區新豐街303巷6弄1~30號,0.0,住,,,1090917,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850711,121.12,2,1,1,有,無,有,10000,83,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPXNMLNKIIPFFBC48CC
仁愛區,建物,基隆市仁愛區劉銘傳路45巷1~30號,0.0,商,,,1090930,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0601231,71.79,4,1,1,有,無,有,10000,139,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPOOMLNKIIPFFBC67CC
中正區,建物,基隆市中正區北寧路271~300號,0.0,住,,,1090930,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690809,58.95,2,1,1,有,無,有,7000,119,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPQOMLNKIIPFFBC87CC
仁愛區,建物,基隆市仁愛區華三街1~30號,0.0,商,,,1091007,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720425,85.38,2,1,1,有,無,有,8000,94,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPROMLNKIIPFFBC97CC
信義區,房地(土地+建物),基隆市信義區深溪路1~30號,121.46,住,,,1091005,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1020704,301.13,6,3,7,有,無,無,56760,188,,0.0,0,含管理費、稅金或水電等費用。;租金含租賃所得稅與二代健保補充保費,RPPOMLNKIIPFFBC87DC
安樂區,建物,基隆市安樂區安樂路二段211~240號,28.05,商,,,1090927,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761224,130.84,0,0,1,有,無,無,30000,229,,0.0,0,,RPXNMLPKIIPFFCC88DC
中正區,建物,基隆市中正區觀海街31~60號,0.0,住,,,1091008,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,131.88,3,1,2,有,無,有,11000,83,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPQOMLPKIIPFFBC08CC
安樂區,建物,基隆市安樂區樂利三街8巷31~60號,0.0,住,,,1091013,土地0建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840504,88.56,2,1,1,有,無,有,10000,113,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPQOMLPKIIPFFCC18CC
安樂區,建物,基隆市安樂區安和一街121~150號,0.0,住,,,1091008,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0850718,161.14,3,2,2,有,無,有,11000,68,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPROMLPKIIPFFCC28CC
七堵區,建物,基隆市七堵區崇禮街129巷1~30號,0.0,住,,,1091008,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700914,97.15,3,2,2,有,無,有,10000,103,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPSOMLPKIIPFFCC38CC
中正區,房地(土地+建物),基隆市中正區義一路31~60號,147.0,商,,,1091016,土地2建物1車位0,全,7,透天厝,住商用,,0751126,148.79,0,0,0,無,無,有,55000,370,,0.0,0,,RPOOMLQKIIPFFBC08DC
七堵區,房地(土地+建物),基隆市七堵區實踐路294巷1~30號,36.99,住,,,1091005,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0870730,89.09,0,1,1,有,無,無,25000,281,,0.0,0,含增建或未登記建物。;,RPWNMLTKIIPFFCC56DC
