編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLNKIIPFFBC87DC,7,301.13,見其他登記事項,鋼筋混凝土造,102年7月4日,四層,
RPWOMLNKIIPFFCC58CC,39,80.15,住家用,鋼筋混凝土造,70年7月24日,七層,
RPWOMLNKIIPFFCC58CC,39,14.37,共用部份,鋼筋混凝土造,70年7月24日,七層,
RPTOMLNKIIPFFCC28CC,27,75.86,住家用,鋼筋混凝土造,82年11月22日,五層,
RPTOMLNKIIPFFCC28CC,27,3.60,共用部份,鋼筋混凝土造,82年11月22日,五層,
RPOOMLNKIIPFFBC67CC,49,71.79,住家用,鋼筋混凝土加強磚造,60年12月31日,四層,
RPUOMLNKIIPFFCC38CC,28,118.01,住家用,鋼筋混凝土造,81年7月8日,九層,
RPUOMLNKIIPFFCC38CC,28,15.41,共用部份,鋼筋混凝土造,81年7月8日,九層,
RPUOMLNKIIPFFCC38CC,28,5.66,共用部份,鋼筋混凝土造,81年7月8日,九層,
RPQOMLNKIIPFFBC87CC,40,58.95,住家用,鋼筋混凝土造,69年8月9日,五層,
RPWNMLMKIIPFFCC38CC,5,86.14,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,
RPWNMLMKIIPFFCC38CC,5,50.84,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPSOMLMKIIPFFCC08CC,9,866.94,見其他登記事項,鋼筋混凝土造,100年10月14日,六層,
RPWNMLTKIIPFFCC56DC,22,89.09,商業用,鋼筋混凝土造,87年7月30日,五層,
RPROMLNKIIPFFBC97CC,37,80.31,住家用,鋼筋混凝土造,72年4月25日,五層,
RPROMLNKIIPFFBC97CC,37,5.07,共用部份,鋼筋混凝土造,72年4月25日,五層,
RPXNMLNKIIPFFBC48CC,24,63.92,住家用,鋼筋混凝土造,85年7月11日,十二層,
RPXNMLNKIIPFFBC48CC,24,2.29,共用部份,鋼筋混凝土造,85年7月11日,十二層,
RPXNMLNKIIPFFBC48CC,24,5.76,共用部份,鋼筋混凝土造,85年7月11日,十二層,
RPXNMLNKIIPFFBC48CC,24,49.15,共用部份,鋼筋混凝土造,85年7月11日,十二層,
RPXNMLPKIIPFFCC88DC,33,130.84,住家用,鋼筋混凝土造,76年12月24日,五層,
RPQOMLPKIIPFFBC08CC,22,72.47,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLPKIIPFFBC08CC,22,17.17,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLPKIIPFFBC08CC,22,3.08,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLPKIIPFFBC08CC,22,36.54,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLPKIIPFFBC08CC,22,1.77,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLPKIIPFFBC08CC,22,.85,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLQKIIPFFBC08DC,34,148.79,住商用,,75年11月26日,七層,
RPQOMLPKIIPFFCC18CC,25,76.29,住家用,鋼筋混凝土造,84年5月4日,十七層,
RPQOMLPKIIPFFCC18CC,25,12.27,共用部份,鋼筋混凝土造,84年5月4日,十七層,
RPPOMLKLIIPFFCC77DC,41,82.56,住家用,鋼筋混凝土造,69年2月12日,五層,
RPSOMLPKIIPFFCC38CC,39,97.15,住家用,鋼筋混凝土造,70年9月14日,五層,
RPROMLPKIIPFFCC28CC,24,109.99,國民住宅,鋼筋混凝土造,85年7月18日,十四層,
RPROMLPKIIPFFCC28CC,24,17.87,共用部份,鋼筋混凝土造,85年7月18日,十四層,
RPROMLPKIIPFFCC28CC,24,33.28,共用部份,鋼筋混凝土造,85年7月18日,十四層,
