編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLNKIIPFFBC87DC,深澳段,121.46,都市：住,全筆移轉
RPWOMLNKIIPFFCC58CC,安國段,.00,都市：住,全筆移轉
RPTOMLNKIIPFFCC28CC,榮華段,.00,都市：商,全筆移轉
RPOOMLNKIIPFFBC67CC,延年段,.00,都市：商,全筆移轉
RPUOMLNKIIPFFCC38CC,新會段,.00,都市：住,全筆移轉
RPQOMLNKIIPFFBC87CC,長潭段,.00,都市：住,全筆移轉
RPQOMLNKIIPFFBC87CC,長潭段,.00,都市：住,全筆移轉
RPWNMLMKIIPFFCC38CC,麥金段,10.37,都市：住,全筆移轉
RPWNMLMKIIPFFCC38CC,麥金段,.01,都市：住,全筆移轉
RPWNMLMKIIPFFCC38CC,麥金段,.00,都市：住,全筆移轉
RPSOMLMKIIPFFCC08CC,工建段,3004.00,都市：工,全筆移轉
RPWNMLTKIIPFFCC56DC,五堵段五堵北小段,36.99,都市：住,全筆移轉
RPROMLNKIIPFFBC97CC,成功段,.00,都市：商,全筆移轉
RPXNMLNKIIPFFBC48CC,調和段,.00,都市：住,全筆移轉
RPXNMLPKIIPFFCC88DC,安國段,28.05,都市：商,全筆移轉
RPQOMLPKIIPFFBC08CC,長潭段,.00,都市：住,全筆移轉
RPOOMLQKIIPFFBC08DC,日新段三小段,128.00,都市：商,全筆移轉
RPOOMLQKIIPFFBC08DC,日新段三小段,19.00,都市：商,全筆移轉
RPQOMLPKIIPFFCC18CC,新城段,.00,都市：住,全筆移轉
RPPOMLKLIIPFFCC77DC,太平段,18.20,都市：商,全筆移轉
RPPOMLKLIIPFFCC77DC,太平段,3.10,都市：商,全筆移轉
RPSOMLPKIIPFFCC38CC,大華段,.00,都市：住,全筆移轉
RPROMLPKIIPFFCC28CC,安國段,.00,都市：住,全筆移轉
