鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
安平區,房地(土地+建物)+車位,文平路301~330號,24.32,都市：其他:住宅區,,,1090929,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060307,151.88,3,2,2,有,有,11700000,78159,坡道平面,14.98,1000000,,RPXOMLTLRHPFFAD37DA,81.04,0.49,9.3,有
中西區,土地,銀同段721~750地號,30.42,都市：其他:主要計畫道路用地,,,1090908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,42735,,0.0,0,包含公共設施保留地用地;,RPXOMLLLIIPFFAD38DA,0.0,0.0,0.0,無
中西區,房地(土地+建物),郡緯街1~30號,13.76,都市：其他:商業區,,,1090926,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690603,80.01,2,0,2,有,有,4100000,51244,,0.0,0,,RPRNMLMLIIPFFAD77DA,68.28,0.0,0.0,有
中西區,房地(土地+建物),開山路235巷1~30號,4.43,都市：其他:細部計畫道路用地,,,1091027,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790518,19.009999999999998,1,0,1,有,無,680000,35771,,0.0,0,,RPTPMLRLIIPFFAD68DA,12.62,0.0,0.0,無
北區,房地(土地+建物),公園南路370巷1~30號,11.59,都市：其他:住宅區,,,1091022,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840912,78.69999999999999,2,2,1,有,有,3200000,40661,,0.0,0,,RPPNMLSLIIPFFAD18DA,51.78,1.13,7.5,有
中西區,房地(土地+建物)+車位,青年路121~150號,8.13,都市：其他:細部計畫道路用地,,,1091017,土地3建物2車位2,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811215,114.44999999999999,4,2,3,有,有,2350000,20533,升降機械,64.84,0,親友、員工、共有人或其他特殊關係間之交易;,RPVOMLTLIIPFFAD98DA,55.26,0.0,7.31,有
安平區,土地,上鯤鯓段511~540地號,561.0,都市：其他:住宅區,,,1090815,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,68000000,121212,,0.0,0,含租約;,RPVPMLPJJIPFFAD58DA,0.0,0.0,0.0,無
安平區,房地(土地+建物)+車位,國平路571~600號,19.62,都市：其他:商業區,,,1090727,土地1建物1車位1,一層，二層,二十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0831222,214.69,0,0,0,無,有,8880000,48086,坡道平面,40.42,500000,,RPSNMLQJJIPFFAD18DA,152.18,0.0,2.12,有
北區,房地(土地+建物),成功路600巷1~30號,7.31,都市：其他:細部計畫道路用地,,,1091023,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790707,27.259999999999998,1,0,1,有,無,600000,22010,,0.0,0,,RPUOMLQJJIPFFAD48DA,18.97,0.0,0.0,無
安平區,房地(土地+建物)+車位,育平五街61~90號,9.81,都市：其他:住宅區,,,1090930,土地1建物1車位1,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871121,135.97,3,2,2,有,有,6350000,46701,坡道平面,19.22,0,,RPXRMLQJJIPFFAD09DA,82.8,0.0,8.67,有
北區,房地(土地+建物),勝利路391~420號,75.0,都市：其他:住宅區,,,1091001,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0631221,173.17,2,3,4,有,無,23000000,132817,,0.0,0,頂樓加蓋;其他增建;,RPXNMLTJJIPFFAD98DA,173.17,0.0,0.0,無
北區,房地(土地+建物),開元路485巷41弄1~30號,7.97,都市：其他:商業區,,,1091009,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891120,73.28,2,1,1,有,有,3600000,49127,,0.0,0,,RPSOMLTJJIPFFAD58DA,53.92,0.0,3.4,有
安南區,房地(土地+建物),安中路四段271~300號,93.77,都市：其他:住宅區,,,1091017,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0871224,196.24,6,2,3,有,無,9260000,47187,,0.0,0,,RPQQMLNLIIPFFBD18DA,183.13,0.0,13.11,無
安南區,土地,原佃段691~720地號,89.09,都市：其他:主要計畫道路用地,,,1090819,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,482000,5410,,0.0,0,包含公共設施保留地用地;,RPTWMLNLIIPFFBD09DA,0.0,0.0,0.0,無
安南區,房地(土地+建物),義安街100巷1~30號,84.17,都市：其他:住宅區,,,1091014,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0701021,106.55,5,2,5,有,無,8800000,82590,,0.0,0,,RPWOMLSLIIPFFBD09DA,101.18,0.0,5.37,無
