編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLTLRHPFFAD37DA,4,90.83,見其他登記事項,見其他登記事項,106年3月7日,十五層,十五層
RPXOMLTLRHPFFAD37DA,4,61.05,見其他登記事項,見其他登記事項,106年3月7日,十五層,
RPSNMLQJJIPFFAD18DA,26,154.30,商業用,鋼筋混凝土造,83年12月22日,二十一層,一層 二層
RPSNMLQJJIPFFAD18DA,26,60.39,共有部分,鋼筋混凝土造,83年12月22日,二十一層,
RPVOMLTLIIPFFAD98DA,28,35.38,住家用,鋼筋混凝土造,81年12月15日,十層,九層
RPVOMLTLIIPFFAD98DA,28,27.19,住家用,鋼筋混凝土造,81年12月15日,十層,九層
RPVOMLTLIIPFFAD98DA,28,9.03,共有部分,鋼筋混凝土造,81年12月15日,十層,
RPVOMLTLIIPFFAD98DA,28,6.76,共有部分,鋼筋混凝土造,81年12月15日,十層,
RPVOMLTLIIPFFAD98DA,28,2.09,共有部分,鋼筋混凝土造,81年12月15日,十層,
RPVOMLTLIIPFFAD98DA,28,1.57,共有部分,鋼筋混凝土造,81年12月15日,十層,
RPVOMLTLIIPFFAD98DA,28,16.21,共有部分,鋼筋混凝土造,81年12月15日,十層,
RPVOMLTLIIPFFAD98DA,28,16.21,共有部分,鋼筋混凝土造,81年12月15日,十層,
RPTPMLRLIIPFFAD68DA,30,12.62,住家用,鋼筋混凝土造,79年5月18日,五層,五層
RPTPMLRLIIPFFAD68DA,30,6.39,共有部分,鋼筋混凝土造,79年5月18日,五層,
RPXRMLQJJIPFFAD09DA,22,.02,見其他登記事項,鋼筋混凝土造,87年11月21日,二十層,一層
RPXRMLQJJIPFFAD09DA,22,91.45,住家用,鋼筋混凝土造,87年11月21日,二十層,十二層
RPXRMLQJJIPFFAD09DA,22,19.22,共有部分,鋼筋混凝土造,87年11月21日,二十層,
RPXRMLQJJIPFFAD09DA,22,9.28,共有部分,鋼筋混凝土造,87年11月21日,二十層,
RPXRMLQJJIPFFAD09DA,22,15.99,共有部分,鋼筋混凝土造,87年11月21日,二十層,
RPPNMLSLIIPFFAD18DA,25,60.41,住家用,鋼筋混凝土造,84年9月12日,十八層,八層
RPPNMLSLIIPFFAD18DA,25,10.04,共有部分,鋼筋混凝土造,84年9月12日,十八層,
RPPNMLSLIIPFFAD18DA,25,8.25,共有部分,鋼筋混凝土造,84年9月12日,十八層,
RPUOMLQJJIPFFAD48DA,30,8.29,共有部分,鋼筋混凝土造,79年7月7日,五層,
RPUOMLQJJIPFFAD48DA,30,18.97,住家用,鋼筋混凝土造,79年7月7日,五層,一層
RPXNMLTJJIPFFAD98DA,46,173.17,住商用,加強磚造,63年12月21日,三層,一層 二層 三層 騎樓
RPRNMLMLIIPFFAD77DA,40,34.14,住家用,鋼筋混凝土造,69年6月3日,七層,五層
RPRNMLMLIIPFFAD77DA,40,34.14,住家用,鋼筋混凝土造,69年6月3日,七層,五層
RPRNMLMLIIPFFAD77DA,40,5.87,共有部分,鋼筋混凝土造,69年6月3日,七層,
RPRNMLMLIIPFFAD77DA,40,5.87,共有部分,鋼筋混凝土造,69年6月3日,七層,
RPSOMLTJJIPFFAD58DA,20,7.98,共有部分,鋼筋混凝土造,89年11月20日,十四層,
RPSOMLTJJIPFFAD58DA,20,7.98,共有部分,鋼筋混凝土造,89年11月20日,十四層,
RPSOMLTJJIPFFAD58DA,20,28.66,見其他登記事項,鋼筋混凝土造,89年11月20日,十四層,四層
RPSOMLTJJIPFFAD58DA,20,28.66,見其他登記事項,鋼筋混凝土造,89年11月20日,十四層,四層
RPQQMLNLIIPFFBD18DA,22,196.24,住商用,鋼筋混凝土造,87年12月24日,三層,一層 二層 三層 屋頂突出物 騎樓
RPWOMLSLIIPFFBD09DA,39,106.55,住商用,加強磚造,70年10月21日,二層,一層 二層 屋頂突出物
RPWOMLKLIIPFFCD38DA,4,55.29,見其他登記事項,鋼筋混凝土造,105年12月1日,七層,七層
RPWOMLKLIIPFFCD38DA,4,57.22,見其他登記事項,鋼筋混凝土造,105年12月1日,七層,
RPSOMLPJJIPFFBD28DA,1,193.88,見其他登記事項,鋼筋混凝土造,109年1月14日,三層,一層 二層 三層 屋頂突出物
RPROMLPJJIPFFBD18DA,1,195.93,見其他登記事項,鋼筋混凝土造,109年1月14日,三層,一層 二層 三層 屋頂突出物
RPUOMLOKIIPFFCD48DA,6,84.33,見其他登記事項,鋼筋混凝土造,103年10月16日,七層,三層
RPUOMLOKIIPFFCD48DA,6,65.19,見其他登記事項,鋼筋混凝土造,103年10月16日,七層,
RPUOMLOKIIPFFCD48DA,6,8.99,見其他登記事項,鋼筋混凝土造,103年10月16日,七層,
RPUPMLPKIIPFFCD68DA,38,13.66,共有部分,鋼筋混凝土造,71年12月23日,五層,
RPUPMLPKIIPFFCD68DA,38,66.58,住家用,鋼筋混凝土造,71年12月23日,五層,五層
RPTNMLNKIIPFFCD18DA,37,.00,共有部分,鋼筋混凝土造,72年8月3日,五層,
RPTNMLNKIIPFFCD18DA,37,.00,共有部分,鋼筋混凝土造,72年8月3日,五層,
RPTNMLNKIIPFFCD18DA,37,.06,見其他登記事項,鋼筋混凝土造,72年8月3日,五層,一層
