編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXOMLTLRHPFFAD37DA,新南段,24.32,都市：其他:住宅區,持分移轉
RPSNMLQJJIPFFAD18DA,金華段,19.62,都市：其他:商業區,持分移轉
RPVOMLTLIIPFFAD98DA,青年段,8.00,都市：其他:商業區,持分移轉
RPVOMLTLIIPFFAD98DA,青年段,.04,都市：其他:細部計畫道路用地,持分移轉
RPVOMLTLIIPFFAD98DA,青年段,.09,都市：其他:細部計畫道路用地,持分移轉
RPTPMLRLIIPFFAD68DA,郡王祠段,3.68,都市：其他:商業區,持分移轉
RPTPMLRLIIPFFAD68DA,郡王祠段,.75,都市：其他:細部計畫道路用地,持分移轉
RPXRMLQJJIPFFAD09DA,金華段,9.81,都市：其他:住宅區,持分移轉
RPVPMLPJJIPFFAD58DA,上鯤鯓段,281.00,都市：其他:住宅區,全筆移轉
RPVPMLPJJIPFFAD58DA,上鯤鯓段,280.00,都市：其他:住宅區,全筆移轉
RPPNMLSLIIPFFAD18DA,立人段,11.59,都市：其他:住宅區,持分移轉
RPUOMLQJJIPFFAD48DA,立人段,6.95,都市：其他:住宅區,持分移轉
RPUOMLQJJIPFFAD48DA,立人段,.08,都市：其他:細部計畫道路用地,持分移轉
RPUOMLQJJIPFFAD48DA,立人段,.27,都市：其他:細部計畫道路用地,持分移轉
RPXOMLLLIIPFFAD38DA,銀同段,30.42,都市：其他:主要計畫道路用地,全筆移轉
RPTWMLNLIIPFFBD09DA,長溪段,65.48,都市：其他:主要計畫道路用地,持分移轉
RPTWMLNLIIPFFBD09DA,原佃段,23.62,都市：其他:主要計畫道路用地,持分移轉
RPXNMLTJJIPFFAD98DA,東豐段,75.00,都市：其他:住宅區,全筆移轉
RPQNMLSJJIPFFBD28DA,國安段,92.41,都市：其他:住宅區,全筆移轉
RPRNMLMLIIPFFAD77DA,赤崁段,6.88,都市：其他:商業區,持分移轉
RPRNMLMLIIPFFAD77DA,赤崁段,6.88,都市：其他:商業區,持分移轉
RPSOMLTJJIPFFAD58DA,開元段,3.99,都市：其他:商業區,持分移轉
RPSOMLTJJIPFFAD58DA,開元段,3.99,都市：其他:商業區,持分移轉
RPRNMLSJJIPFFBD38DA,國安段,89.57,都市：其他:住宅區,全筆移轉
RPQQMLNLIIPFFBD18DA,淵西段,93.77,都市：其他:住宅區,全筆移轉
RPWOMLSLIIPFFBD09DA,理想段,84.17,都市：其他:住宅區,全筆移轉
RPWOMLKLIIPFFCD38DA,水交社段,7.43,都市：其他:住宅區,持分移轉
RPWOMLKLIIPFFCD38DA,水交社段,4.69,都市：其他:住宅區,持分移轉
RPWOMLKLIIPFFCD38DA,水交社段,7.36,都市：其他:住宅區,持分移轉
RPSOMLPJJIPFFBD28DA,溪東段,100.32,都市：其他:住宅區,全筆移轉
