編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXOMLTLRHPFFAD37DA,坡道平面,1000000,14.98,地下一樓
RPSNMLQJJIPFFAD18DA,坡道平面,500000,40.42,地下一樓
RPVOMLTLIIPFFAD98DA,升降機械,0,32.42,地下二樓
RPVOMLTLIIPFFAD98DA,升降機械,0,32.42,地下二樓
RPXRMLQJJIPFFAD09DA,坡道平面,0,19.22,地下二樓
RPWOMLKLIIPFFCD38DA,坡道平面,0,25.33,地下二樓
RPUOMLOKIIPFFCD48DA,坡道平面,0,31.21,地下二樓
RPUNMLLMIIPFFCD28DA,坡道平面,1250000,23.20,地下一樓
RPUNMLLMIIPFFCD28DA,坡道平面,1000000,23.20,地下一樓
RPVNMLTLIIPFFCD09DA,坡道平面,0,,地下三樓
RPUNMLQJJIPFFCD58DA,坡道機械,0,,地下二樓
RPTOMLOJJIPFFCD38DA,坡道平面,0,,地下二樓
RPRNMLQJJIPFFCD28DA,坡道平面,0,39.99,地下二樓
RPRNMLQJJIPFFCD28DA,坡道平面,0,37.97,地下二樓
RPROMLQJJIPFFCD38DA,坡道機械,0,,地下二樓
RPRNMLMLIIPFFHD48DA,一樓平面,850000,12.76,一樓
RPSOMLMLIIPFFKD98DA,坡道機械,0,,地下二樓
RPXPMLPJJIPFFKD17DA,坡道平面,0,30.93,地下二樓
RPQOMLOJJIPFFKD88DA,坡道平面,0,35.57,地下二樓
RPOPMLQJJIPFFKD98DA,一樓平面,0,38.27,一樓
RPWNMLQJJIPFFKD96DA,升降平面,0,,地下二樓
RPTNMLLKJIPFFFD48EA,一樓平面,0,6.44,一樓
RPSOMLKKJIPFFKD78DA,坡道機械,0,,地下一樓
RPPOMLOJJIPFFKD78DA,坡道平面,0,24.29,地下二樓
RPXOMLTJJIPFFKD47DA,坡道平面,1100000,28.20,地下一樓
RPPPMLTJJIPFFKD76DA,坡道平面,900000,26.53,地下二樓
RPWOMLTJJIPFFKD37DA,坡道平面,1100000,28.20,地下一樓
RPQNMLTJJIPFFKD66DA,坡道機械,650000,21.05,地下二樓
RPRNMLTJJIPFFKD76DA,坡道機械,650000,21.05,地下二樓
RPSNMLTJJIPFFKD86DA,坡道機械,550000,21.05,地下二樓
RPTNMLTJJIPFFKD96DA,坡道機械,550000,21.05,地下二樓
RPWNMLTJJIPFFKD27DA,坡道機械,650000,21.05,地下二樓
RPUNMLTJJIPFFKD07DA,坡道平面,1100000,28.20,地下一樓
RPXNMLTJJIPFFKD37DA,坡道平面,1200000,28.20,地下一樓
RPOOMLTJJIPFFKD56DA,坡道機械,650000,21.05,地下二樓
RPQOMLTJJIPFFKD76DA,坡道機械,550000,21.05,地下二樓
RPWOMLMJJIPFFKD66DA,坡道平面,0,22.39,地下二樓
RPTOMLTJJIPFFKD07DA,坡道平面,0,28.20,地下一樓
RPTOMLTJJIPFFKD07DA,坡道平面,0,28.20,地下一樓
RPVNMLNKIIPFFKD56DA,坡道平面,0,26.25,地下三樓
RPQPMLLKRHPFFKD86DA,一樓平面,0,,
RPRNMLTJJIPFFID56DA,一樓平面,0,19.62,一樓
RPXPMLTJJIPFFHD27DA,一樓平面,900000,13.75,一樓
RPOOMLKKJIPFFHD08DA,坡道平面,0,,地下一樓
RPXNMLTJJIPFFHD07DA,一樓平面,1200000,14.26,一樓
RPVNMLMLIIPFFHD88DA,一樓平面,850000,13.79,一樓
RPUOMLTJJIPFFCD98DA,坡道平面,0,33.44,地下一樓
RPPNMLLKJIPFFAD47DA,坡道平面,0,33.80,地下二樓
RPPNMLLKJIPFFAD47DA,坡道平面,0,33.80,地下二樓
RPQNMLLKJIPFFAD57DA,坡道平面,0,33.80,地下二樓
RPQNMLLKJIPFFAD57DA,坡道平面,0,33.80,地下二樓
RPRNMLLKJIPFFAD67DA,坡道平面,0,33.80,地下三樓
RPRNMLLKJIPFFAD67DA,坡道平面,0,33.80,地下三樓
RPROMLKKJIPFFAD67DA,坡道平面,0,37.73,地下二樓
RPROMLKKJIPFFAD67DA,坡道平面,0,37.73,地下二樓
RPSNMLRJJIPFFAD28DA,坡道機械,0,21.10,地下四樓
RPOQMLOKIIPFFAD87DA,坡道機械,0,10.36,地下一樓
RPVOMLOKIIPFFAD38DA,坡道平面,1300000,32.55,地下二樓
RPXNMLMLIIPFFAD38DA,坡道平面,0,37.72,地下二樓
RPXNMLMLIIPFFAD38DA,坡道平面,0,37.72,地下二樓
RPTNMLKKJIPFFAD77DA,坡道平面,0,26.52,地下四樓
RPSNMLLKJIPFFAD77DA,坡道平面,0,30.65,地下四樓
RPOOMLMLIIPFFCD77DA,坡道平面,1000000,,
RPXNMLOJJIPFFCD68DA,坡道平面,0,,地下二樓
RPWNMLKKJIPFFCD28DA,坡道平面,0,,地下二樓
RPQPMLTJJIPFFCD68DA,坡道機械,0,11.24,地下一樓
RPXOMLKKJIPFFID09DA,坡道平面,0,,地下二樓
RPPNMLOJJIPFFKD68DA,坡道平面,0,,地下一樓
RPQPMLTJJIPFFKD86DA,坡道機械,650000,21.05,地下二樓
RPPQMLPJJIPFFKD09DA,坡道平面,0,,地下一樓
RPSOMLLKJIPFFKD88DA,坡道機械,0,,地下一樓
RPWNMLNKJIPFFCD68EA,坡道平面,0,21.78,地下一樓
RPSNMLQKJIPFFFD88EA,一樓平面,500000,6.44,一樓
RPOQMLMKJIPFFKD78DA,坡道平面,0,34.57,地下四樓
RPTOMLMKJIPFFKD09DA,坡道機械,0,,地下二樓
RPUNMLLMIIPFFKD09DA,坡道平面,1000000,26.25,地下三樓
RPXOMLMKJIPFFID66DA,坡道平面,750000,17.80,一樓
RPQNMLMKIIPFFDD87DA,一樓平面,0,16.11,一樓
RPSOMLLKJIPFFCD08DA,坡道平面,1100000,13.77,地下一樓
RPRNMLMKJIPFFCD97DA,坡道平面,0,,地下一樓
RPSNMLLMIIPFFCD08DA,一樓平面,1400000,,一樓
RPSNMLLMIIPFFCD08DA,一樓平面,1400000,,一樓
RPXRMLRKJIPFFBD76DA,一樓平面,0,29.26,一樓
RPQNMLMKJIPFFAD67DA,升降機械,0,,地下一樓
RPPNMLMKJIPFFAD57DA,坡道平面,0,,地下一樓
RPRNMLMKJIPFFAD77DA,坡道平面,0,,地下二樓
RPVNMLLKJIPFFAD08DA,坡道平面,0,,地下二樓
RPVNMLLKJIPFFAD08DA,坡道平面,0,,地下二樓
RPTOMLKKJIPFFAD87DA,坡道平面,0,,地下三樓
RPQQMLPJJIPFFAD18DA,坡道機械,0,11.61,地下二樓
RPSPMLKMIIPFFAD97DA,坡道機械,0,28.37,地下二樓
RPWSMLPJJIPFFAD98DA,坡道平面,1550000,36.46,地下四樓
RPOUMLPJJIPFFAD38DA,坡道機械,1150000,23.36,地下三樓
RPSNMLOJJIPFFAD97DA,坡道平面,0,32.55,地下二樓
RPWOMLTLRHPFFAD27DA,一樓平面,500000,16.62,一樓
RPPPMLKKJIPFFAD57DA,坡道平面,0,,地下一樓
RPWOMLKKJIPFFAD18DA,坡道平面,0,28.99,地下一樓
RPWOMLKKJIPFFAD18DA,坡道平面,0,28.99,地下一樓
RPQOMLTJJIPFFAD38DA,坡道平面,0,29.39,地下四樓
RPQOMLTJJIPFFAD38DA,坡道平面,0,29.39,地下四樓
RPTOMLTJJIPFFAD68DA,坡道平面,0,29.39,地下四樓
RPTOMLTJJIPFFAD68DA,坡道平面,0,29.39,地下四樓
RPQPMLMKJIPFFBD97DA,坡道平面,0,,地下一樓
RPOOMLQJJIPFFCD08DA,升降平面,0,,地下一樓
RPOOMLKKJIPFFCD57DA,坡道平面,0,,地下一樓
RPOOMLKKJIPFFCD57DA,坡道機械,0,,地下一樓
RPPOMLNJJIPFFDD97DA,一樓平面,0,16.11,一樓
RPPNMLOJJIPFFDD97DA,一樓平面,0,16.11,一樓
RPXNMLMKJIPFFFD88DA,升降機械,0,5.45,地下一樓
RPWPMLTJJIPFFHD17DA,一樓平面,850000,4.94,一樓
RPVNMLKKJIPFFHD68DA,一樓平面,900000,12.86,一樓
RPQOMLNKJIPFFHD58DA,其他,400000,8.55,一樓
RPQOMLNKJIPFFHD58DA,一樓平面,700000,19.88,一樓
RPWNMLNKJIPFFID56DA,坡道平面,0,,地下一樓
RPQNMLNJIIPFFKD58DA,坡道平面,0,,
RPSOMLQLIIPFFKD76DA,坡道平面,0,,地下一樓
RPQNMLNKJIPFFKD78DA,坡道平面,0,,地下一樓
RPWNMLMKJIPFFAD38EA,坡道平面,1200000,33.86,地下四樓
RPWNMLMKJIPFFAD38EA,坡道平面,1200000,33.86,地下四樓
RPTNMLNKJIPFFKD56EA,坡道平面,1200000,,地下二樓
RPRNMLNKJIPFFKD98EA,坡道平面,0,,地下一樓
RPQPMLSKJIPFFHD66EA,坡道平面,0,21.09,地下三樓
RPPNMLQKJIPFFKD98DA,一樓平面,1000000,19.39,一樓
RPTNMLQKJIPFFKD76DA,一樓平面,900000,18.29,一樓
RPTPMLQKJIPFFKD96DA,坡道平面,0,,地下二樓
RPRNMLMKJIPFFKD78DA,坡道平面,0,22.39,地下二樓
RPPOMLMKJIPFFKD68DA,坡道平面,0,24.83,一樓
RPPNMLNKJIPFFHD38DA,一樓平面,800000,,一樓
RPROMLMKJIPFFHD58DA,坡道平面,0,27.57,地下一樓
RPQOMLQKJIPFFHD88DA,坡道平面,0,,地下一樓
RPXOMLTJJIPFFHD17DA,坡道平面,0,,地下一樓
RPRNMLNKJIPFFCD08DA,坡道平面,0,31.96,地下一樓
RPTNMLQKJIPFFCD58DA,升降平面,0,,地下二樓
RPTNMLMKJIPFFAD97DA,坡道平面,0,27.73,地下三樓
RPVPMLKKJIPFFAD18DA,坡道機械,950000,23.36,地下五樓含以下
RPUNMLMKJIPFFAD08DA,坡道平面,0,,地下四樓
RPVPMLNKJIPFFAD48DA,坡道平面,0,,地下一樓
RPSPMLQKJIPFFAD48DA,坡道平面,0,,地下一樓
RPVNMLQKJIPFFAD58DA,坡道平面,0,,地下三樓
RPQUMLRKJIPFFAD88DA,坡道平面,0,33.80,地下三樓
RPQUMLRKJIPFFAD88DA,坡道平面,0,33.80,地下三樓
RPVTMLSKJIPFFAD76DA,坡道平面,0,,地下一樓
RPRNMLQJJIPFFAD08DA,升降機械,200000,19.97,地下一樓
RPROMLTJJIPFFAD48DA,坡道平面,0,29.39,地下四樓
RPROMLTJJIPFFAD48DA,坡道平面,0,29.39,地下四樓
RPXTMLPJJIPFFAD56DA,坡道機械,1150000,23.36,地下三樓
RPSQMLPJJIPFFAD38DA,坡道機械,1150000,23.36,地下三樓
RPUOMLNJJIPFFAD18DA,坡道平面,0,,地下一樓
RPPUMLPJJIPFFAD48DA,坡道機械,1150000,23.36,地下三樓
RPUOMLTJJIPFFAD78DA,坡道平面,0,38.25,地下三樓
RPWTMLRKJIPFFAD76DA,坡道平面,0,,地下一樓
RPPSMLRKJIPFFAD58DA,坡道平面,0,,地下三樓
RPPNMLQKJIPFFAD97DA,坡道平面,0,,地下一樓
RPPNMLOKJIPFFAD77DA,坡道平面,0,30.66,地下四樓
RPQPMLNKJIPFFAD97DA,坡道平面,0,,地下三樓
RPWOMLNKIIPFFCD58DA,坡道平面,1200000,31.20,地下二樓
RPUOMLNJJIPFFCD38DA,坡道平面,630000,29.01,地下二樓
RPQNMLOKJIPFFCD08DA,坡道機械,0,9.83,地下一樓
RPUOMLNLIIPFFKD66DA,坡道機械,0,9.85,地下二樓
RPUNMLQKJIPFFKD86DA,一樓平面,1000000,19.39,一樓
RPXNMLSKJIPFFKD37DA,坡道平面,0,,地下一樓
RPSOMLRKJIPFFCD78EA,坡道平面,1000000,21.76,地下一樓
RPSNMLSKJIPFFDD88EA,坡道平面,0,,地下一樓
RPTOMLSKJIPFFKD17EA,坡道機械,0,,地下一樓
RPOOMLSKJIPFFKD56DA,坡道平面,0,,地下一樓
RPVNMLQKJIPFFKD96DA,一樓平面,1000000,19.39,一樓
RPUOMLSKJIPFFKD17DA,坡道平面,0,,地下二樓
RPPNMLSJIIPFFKD98DA,一樓平面,1000000,19.39,一樓
RPVNMLMLIIPFFKD56DA,坡道平面,0,,地下一樓
RPTPMLSKJIPFFHD86DA,坡道平面,0,33.21,地下二樓
RPROMLRKJIPFFHD09DA,一樓平面,0,,一樓
RPQNMLNKJIPFFCD97DA,坡道平面,0,43.56,地下一樓
RPTNMLTKJIPFFCD88DA,坡道機械,0,,地下一樓
RPPRMLRKJIPFFCD68DA,坡道平面,0,29.01,地下一樓
RPPNMLSKJIPFFCD38DA,坡道平面,0,,地下二樓
RPPNMLRKJIPFFBD18DA,坡道平面,0,,地下一樓
RPUNMLQKJIPFFAD48DA,坡道機械,0,16.66,地下四樓
RPQSMLRKJIPFFAD68DA,坡道平面,900000,28.87,地下四樓
RPXTMLRKJIPFFAD86DA,坡道平面,0,,地下一樓
RPSSMLRKJIPFFAD88DA,坡道平面,960000,26.49,地下三樓
RPPPMLSKJIPFFAD38DA,坡道平面,1000000,33.13,地下二樓
RPPPMLSKJIPFFAD38DA,坡道平面,1000000,33.13,地下二樓
RPPOMLLKRHPFFAD28DA,坡道機械,1150000,18.23,地下四樓
RPPOMLLKRHPFFAD28DA,坡道平面,1550000,24.11,地下三樓
RPRNMLTLRHPFFAD66DA,坡道機械,1150000,18.23,地下四樓
RPRNMLTLRHPFFAD66DA,坡道平面,1650000,24.11,地下二樓
RPWQMLPJJIPFFAD78DA,坡道機械,1050000,23.36,地下四樓
RPPRMLPJJIPFFAD18DA,坡道平面,1800000,36.46,地下二樓
RPTSMLPJJIPFFAD68DA,坡道機械,1250000,23.36,地下三樓
