鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080302,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.59,2,2,1,有,無,4850000,40734,坡道平面,24.53,1100000,,RPUNMLOKIIPFFBD28CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080526,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,4890000,40083,坡道平面,25.6,1200000,,RPWNMLOKIIPFFBD48CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080803,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.59,2,2,1,有,無,5000000,41821,坡道平面,24.53,1150000,,RPXNMLOKIIPFFBD58CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080407,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,4770000,39322,坡道平面,25.6,1150000,,RPOOMLOKIIPFFBD77CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080421,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5000000,41821,坡道平面,25.6,1150000,,RPPOMLOKIIPFFBD87CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080511,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,4900000,40191,坡道平面,25.6,1200000,,RPQOMLOKIIPFFBD97CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080608,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5050000,41277,坡道平面,25.6,1250000,,RPSOMLOKIIPFFBD18CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080720,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5360000,45188,坡道平面,25.6,1200000,,RPTOMLOKIIPFFBD28CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080831,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5140000,43341,坡道平面,25.6,1150000,,RPUOMLOKIIPFFBD38CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1081124,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5360000,45188,坡道平面,25.6,1200000,,RPVOMLOKIIPFFBD48CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080505,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5000000,41277,坡道平面,25.6,1200000,,RPWOMLOKIIPFFBD58CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080713,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5220000,44210,坡道平面,25.6,1150000,,RPXOMLOKIIPFFBD68CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1081020,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.59,2,2,1,有,無,5400000,45622,坡道平面,24.53,1200000,,RPOPMLOKIIPFFBD87CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1081103,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5500000,46166,坡道平面,25.6,1250000,,RPPPMLOKIIPFFBD97CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,15.47,住,,,1080427,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,5110000,43015,坡道平面,25.6,1150000,,RPQPMLOKIIPFFBD08CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,20.85,住,,,1080428,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.89,3,2,2,有,無,6530000,42940,坡道平面,25.6,1150000,,RPRPMLOKIIPFFBD18CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,20.85,住,,,1081013,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.89,3,2,2,有,無,6290000,40227,坡道平面,25.6,1250000,,RPSPMLOKIIPFFBD28CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,20.85,住,,,1081221,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.82,3,2,2,有,無,6200000,40306,坡道平面,24.53,1150000,,RPTPMLOKIIPFFBD38CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,20.85,住,,,1080421,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.89,3,2,2,有,無,6100000,39508,坡道平面,25.6,1150000,,RPUPMLOKIIPFFBD48CB
安南區,房地(土地+建物)+車位,國安段1591~1620地號,20.85,住,,,1080728,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.89,3,2,2,有,無,6400000,41504,坡道平面,25.6,1200000,,RPVPMLOKIIPFFBD58CB
