編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLOKIIPFFBD48CB,國安段,15.47,都市：住,持分移轉
RPXNMLOKIIPFFBD58CB,國安段,15.47,都市：住,持分移轉
RPTOMLOKIIPFFBD28CB,國安段,15.47,都市：住,持分移轉
RPVOMLOKIIPFFBD48CB,國安段,15.47,都市：住,持分移轉
RPOOMLOKIIPFFBD77CB,國安段,15.47,都市：住,持分移轉
RPUNMLOKIIPFFBD28CB,國安段,15.47,都市：住,持分移轉
RPSOMLOKIIPFFBD18CB,國安段,15.47,都市：住,持分移轉
RPQOMLOKIIPFFBD97CB,國安段,15.47,都市：住,持分移轉
RPUOMLOKIIPFFBD38CB,國安段,15.47,都市：住,持分移轉
RPPOMLOKIIPFFBD87CB,國安段,15.47,都市：住,持分移轉
RPXOMLOKIIPFFBD68CB,國安段,15.47,都市：住,持分移轉
RPWOMLOKIIPFFBD58CB,國安段,15.47,都市：住,持分移轉
RPOPMLOKIIPFFBD87CB,國安段,15.47,都市：住,持分移轉
RPPPMLOKIIPFFBD97CB,國安段,15.47,都市：住,持分移轉
RPSPMLOKIIPFFBD28CB,國安段,20.85,都市：住,持分移轉
RPTPMLOKIIPFFBD38CB,國安段,20.85,都市：住,持分移轉
RPQPMLOKIIPFFBD08CB,國安段,15.47,都市：住,持分移轉
RPUPMLOKIIPFFBD48CB,國安段,20.85,都市：住,持分移轉
RPRPMLOKIIPFFBD18CB,國安段,20.85,都市：住,持分移轉
RPVPMLOKIIPFFBD58CB,國安段,20.85,都市：住,持分移轉
RPWPMLOKIIPFFBD68CB,國安段,20.85,都市：住,持分移轉
RPXPMLOKIIPFFBD78CB,國安段,20.85,都市：住,持分移轉
RPPQMLOKIIPFFBD08CB,國安段,20.85,都市：住,持分移轉
RPQQMLOKIIPFFBD18CB,國安段,21.52,都市：住,持分移轉
RPRQMLOKIIPFFBD28CB,國安段,21.52,都市：住,持分移轉
RPSQMLOKIIPFFBD38CB,國安段,20.85,都市：住,持分移轉
RPUQMLOKIIPFFBD58CB,國安段,20.85,都市：住,持分移轉
RPVQMLOKIIPFFBD68CB,國安段,20.85,都市：住,持分移轉
RPUSMLOKIIPFFBD78CB,國安段,20.85,都市：住,持分移轉
RPVSMLOKIIPFFBD88CB,國安段,20.85,都市：住,持分移轉
RPTSMLOKIIPFFBD68CB,國安段,20.85,都市：住,持分移轉
RPOTMLOKIIPFFBD28CB,國安段,20.85,都市：住,持分移轉
RPXSMLOKIIPFFBD09CB,國安段,20.85,都市：住,持分移轉
RPWSMLOKIIPFFBD98CB,國安段,20.85,都市：住,持分移轉
RPPTMLOKIIPFFBD38CB,國安段,21.52,都市：住,持分移轉
RPQTMLOKIIPFFBD48CB,國安段,20.85,都市：住,持分移轉
RPRTMLOKIIPFFBD58CB,國安段,20.85,都市：住,持分移轉
RPUTMLOKIIPFFBD88CB,國安段,21.52,都市：住,持分移轉
RPSTMLOKIIPFFBD68CB,國安段,20.85,都市：住,持分移轉
RPTTMLOKIIPFFBD78CB,國安段,20.85,都市：住,持分移轉
RPXTMLOKIIPFFBD56CB,國安段,20.85,都市：住,持分移轉
RPOUMLOKIIPFFBD38CB,國安段,20.85,都市：住,持分移轉
RPWTMLOKIIPFFBD09CB,國安段,20.85,都市：住,持分移轉
RPSUMLOKIIPFFBD78CB,國安段,20.85,都市：住,持分移轉
RPQUMLOKIIPFFBD58CB,國安段,20.85,都市：住,持分移轉
RPTUMLOKIIPFFBD88CB,國安段,20.85,都市：住,持分移轉
RPVTMLOKIIPFFBD98CB,國安段,20.85,都市：住,持分移轉
RPUUMLOKIIPFFBD98CB,國安段,20.85,都市：住,持分移轉
RPWUMLOKIIPFFBD56CB,國安段,20.85,都市：住,持分移轉
RPVUMLOKIIPFFBD09CB,國安段,20.85,都市：住,持分移轉
RPXUMLOKIIPFFBD66CB,國安段,20.85,都市：住,持分移轉
RPOVMLOKIIPFFBD48CB,國安段,20.85,都市：住,持分移轉
RPPVMLOKIIPFFBD58CB,國安段,20.85,都市：住,持分移轉
RPSVMLOKIIPFFBD88CB,國安段,20.85,都市：住,持分移轉
RPTVMLOKIIPFFBD98CB,國安段,20.85,都市：住,持分移轉
RPQVMLOKIIPFFBD68CB,國安段,21.52,都市：住,持分移轉
RPUVMLOKIIPFFBD09CB,國安段,20.85,都市：住,持分移轉
RPVVMLOKIIPFFBD56CB,國安段,20.85,都市：住,持分移轉
RPOWMLOKIIPFFBD58CB,國安段,25.56,都市：住,持分移轉
RPXVMLOKIIPFFBD76CB,國安段,26.23,都市：住,持分移轉
RPWVMLOKIIPFFBD66CB,國安段,25.56,都市：住,持分移轉
RPPWMLOKIIPFFBD68CB,國安段,25.56,都市：住,持分移轉
RPRWMLOKIIPFFBD88CB,國安段,26.23,都市：住,持分移轉
RPTWMLOKIIPFFBD09CB,國安段,26.23,都市：住,持分移轉
RPSWMLOKIIPFFBD98CB,國安段,25.56,都市：住,持分移轉
RPVWMLOKIIPFFBD66CB,國安段,25.56,都市：住,持分移轉
RPQWMLOKIIPFFBD78CB,國安段,25.56,都市：住,持分移轉
RPUWMLOKIIPFFBD56CB,國安段,25.56,都市：住,持分移轉
RPWWMLOKIIPFFBD76CB,國安段,25.56,都市：住,持分移轉
RPONNLOKIIPFFBD77CB,國安段,26.23,都市：住,持分移轉
RPPNNLOKIIPFFBD87CB,國安段,26.23,都市：住,持分移轉
RPXWMLOKIIPFFBD86CB,國安段,25.56,都市：住,持分移轉
RPQNNLOKIIPFFBD97CB,國安段,14.80,都市：住,持分移轉
RPRNNLOKIIPFFBD08CB,國安段,14.80,都市：住,持分移轉
RPSNNLOKIIPFFBD18CB,國安段,14.80,都市：住,持分移轉
RPTNNLOKIIPFFBD28CB,國安段,14.80,都市：住,持分移轉
RPUNNLOKIIPFFBD38CB,國安段,14.80,都市：住,持分移轉
RPWNNLOKIIPFFBD58CB,國安段,14.80,都市：住,持分移轉
RPVNNLOKIIPFFBD48CB,國安段,14.80,都市：住,持分移轉
RPOONLOKIIPFFBD87CB,國安段,14.80,都市：住,持分移轉
RPRONLOKIIPFFBD18CB,國安段,14.80,都市：住,持分移轉
RPSONLOKIIPFFBD28CB,國安段,14.80,都市：住,持分移轉
RPPONLOKIIPFFBD97CB,國安段,14.80,都市：住,持分移轉
RPTONLOKIIPFFBD38CB,國安段,14.80,都市：住,持分移轉
RPXNNLOKIIPFFBD68CB,國安段,14.80,都市：住,持分移轉
RPPNMLPKIIPFFBD87CB,國安段,20.85,都市：住,持分移轉
RPQNMLPKIIPFFBD97CB,國安段,15.47,都市：住,持分移轉
RPUONLOKIIPFFBD48CB,國安段,14.80,都市：住,持分移轉
RPRNMLPKIIPFFBD08CB,國安段,15.47,都市：住,持分移轉
RPSNMLPKIIPFFBD18CB,國安段,15.47,都市：住,持分移轉
RPXNMLPKIIPFFBD68CB,國安段,15.47,都市：住,持分移轉
RPUNMLPKIIPFFBD38CB,國安段,15.47,都市：住,持分移轉
RPTNMLPKIIPFFBD28CB,國安段,15.47,都市：住,持分移轉
RPPOMLPKIIPFFBD97CB,國安段,15.47,都市：住,持分移轉
RPROMLPKIIPFFBD18CB,國安段,15.47,都市：住,持分移轉
RPQOMLPKIIPFFBD08CB,國安段,15.47,都市：住,持分移轉
RPVNMLPKIIPFFBD48CB,國安段,15.47,都市：住,持分移轉
RPSOMLPKIIPFFBD28CB,國安段,15.47,都市：住,持分移轉
RPOOMLPKIIPFFBD87CB,國安段,15.47,都市：住,持分移轉
RPUOMLPKIIPFFBD48CB,國安段,15.47,都市：住,持分移轉
RPVOMLPKIIPFFBD58CB,國安段,15.47,都市：住,持分移轉
RPWOMLPKIIPFFBD68CB,國安段,21.52,都市：住,持分移轉
RPXOMLPKIIPFFBD78CB,國安段,21.52,都市：住,持分移轉
RPTOMLPKIIPFFBD38CB,國安段,15.47,都市：住,持分移轉
RPOPMLPKIIPFFBD97CB,國安段,21.52,都市：住,持分移轉
RPPPMLPKIIPFFBD08CB,國安段,21.52,都市：住,持分移轉
RPQPMLPKIIPFFBD18CB,國安段,21.52,都市：住,持分移轉
RPRPMLPKIIPFFBD28CB,國安段,21.52,都市：住,持分移轉
RPTPMLPKIIPFFBD48CB,國安段,21.52,都市：住,持分移轉
RPSPMLPKIIPFFBD38CB,國安段,21.52,都市：住,持分移轉
RPUPMLPKIIPFFBD58CB,國安段,21.52,都市：住,持分移轉
RPWPMLPKIIPFFBD78CB,國安段,21.52,都市：住,持分移轉
RPVPMLPKIIPFFBD68CB,國安段,21.52,都市：住,持分移轉
RPXPMLPKIIPFFBD88CB,國安段,21.52,都市：住,持分移轉
RPOQMLPKIIPFFBD08CB,國安段,21.52,都市：住,持分移轉
RPPQMLPKIIPFFBD18CB,國安段,21.52,都市：住,持分移轉
RPSQMLPKIIPFFBD48CB,國安段,20.85,都市：住,持分移轉
RPQQMLPKIIPFFBD28CB,國安段,21.52,都市：住,持分移轉
RPRQMLPKIIPFFBD38CB,國安段,20.85,都市：住,持分移轉
RPUQMLPKIIPFFBD68CB,國安段,20.85,都市：住,持分移轉
RPVQMLPKIIPFFBD78CB,國安段,20.85,都市：住,持分移轉
RPWQMLPKIIPFFBD88CB,國安段,20.85,都市：住,持分移轉
RPPRMLPKIIPFFBD28CB,國安段,20.85,都市：住,持分移轉
RPORMLPKIIPFFBD18CB,國安段,20.85,都市：住,持分移轉
RPXQMLPKIIPFFBD98CB,國安段,20.85,都市：住,持分移轉
RPTQMLPKIIPFFBD58CB,國安段,20.18,都市：住,持分移轉
RPQRMLPKIIPFFBD38CB,國安段,20.85,都市：住,持分移轉
