鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,房地(土地+建物),臺南市中西區臨安路一段241~270號,70.0,住,,,1091010,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0580805,105.42,5,2,3,有,無,無,25000,237,,0.0,0,含增建或未登記建物。;,RPQOMLMKIIPFFAD77CC
安平區,建物,臺南市安平區育平三街61~90號,0.0,住,,,1091001,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820824,121.72,3,2,2,有,無,有,16800,138,,0.0,0,參加臺南市社會住宅包租代管第2期計畫,租金為市價9折,RPSOMLMKIIPFFAD97CC
安平區,建物,臺南市安平區民權路四段691~720號,0.0,住,,,1090922,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0851019,187.7,4,3,3,有,無,無,18000,96,,0.0,0,含增建或未登記建物。;,RPXOMLMKIIPFFAD48CC
東區,建物,臺南市東區崇德路511~540號,0.0,住,,,1090923,土地0建物1車位0,一層,1,店面(店鋪),商業用,見其他登記事項,0920113,57.09,0,1,1,有,無,無,140000,2452,,0.0,0,含增建或未登記建物。;,RPOPMLMKIIPFFCD87CC
善化區,房地(土地+建物),臺南市善化區永福路1~30號,20.34,住,,,1091006,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881004,86.68,3,1,2,有,有,有,13000,150,,0.0,0,,RPTNMLMKIIPFFHD68CC
永康區,建物,臺南市永康區新興街61~90號,0.0,住,,,1091001,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801022,22.07,1,1,1,有,有,有,4320,196,,0.0,0,參加臺南市社會住宅包租代管試辦計畫，租金為市價9折,RPQOMLMKIIPFFKD78CC
歸仁區,建物,臺南市歸仁區武東三街53巷56弄1~30號,0.0,,一般農業區,甲種建築用地,1091001,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0890508,822.51,1,0,1,有,無,有,3600,4,,0.0,0,參加臺南市社會住宅包租代管第2期計畫,租金為市價9折,RPSNMLMKIIPFFID68CC
歸仁區,建物,臺南市歸仁區臺南市歸仁區武東三街53巷56弄1~30號,0.0,,一般農業區,甲種建築用地,1091001,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0890508,822.51,1,0,1,有,無,有,3600,4,,0.0,0,參加臺南市社會住宅包租代管第2期計畫,租金為市價9折,RPUNMLMKIIPFFID88CC
安南區,建物,臺南市安南區海佃路一段400巷31~60號,0.0,住,,,1090929,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661115,75.6,4,2,3,有,無,有,20000,265,,0.0,0,,RPOPMLMKIIPFFBD77CC
安南區,房地(土地+建物),臺南市安南區永續十街61~90號,103.8,其他,,,1090917,土地2建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1090304,235.91,4,2,5,有,無,無,35000,148,,0.0,0,,RPTOMLNKIIPFFBD28CC
善化區,房地(土地+建物),臺南市善化區建國路1~30號,123.01,住,,,1091012,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,1040728,52.0,0,1,1,有,無,有,25000,481,,0.0,0,,RPSOMLNKIIPFFHD88DC
永康區,房地(土地+建物),臺南市永康區中華西街196巷1~30號,10.97,住,,,1091012,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880824,106.18,3,2,2,有,無,無,16000,151,,0.0,0,,RPXPMLNKIIPFFKD07CC
永康區,房地(土地+建物),臺南市永康區中華西街196巷1~30號,10.97,住,,,1091012,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880824,106.18,3,2,2,有,無,無,16000,151,,0.0,0,,RPOQMLNKIIPFFKD88CC
中西區,房地(土地+建物),臺南市中西區忠義路二段91~120號,30.2,商,,,1091007,土地1建物2車位0,八層,10,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840425,561.32,1,1,2,有,有,有,75000,134,,0.0,0,,RPXNMLNKIIPFFAD48CC
安平區,建物,臺南市安平區怡平路91~120號,0.0,住,,,1090922,土地0建物0車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0930113,62.7,0,2,1,有,無,無,28000,447,,0.0,0,含增建或未登記建物。;,RPRPMLNKIIPFFAD08CC
北區,建物,臺南市北區忠義路三段61~90號,0.0,商,,,1090919,土地0建物1車位1,二層,7,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080121,81.96,2,2,2,有,有,有,20000,244,坡道機械,5.56,0,,RPTNMLOKIIPFFAD18CC
善化區,房地(土地+建物),臺南市善化區小新營391~420號,109.06,住,,,1091014,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1020704,200.44,5,2,4,有,無,有,30000,150,,0.0,0,,RPVOMLOKIIPFFHD56CC
東區,建物,臺南市東區文化路31~60號,0.0,住,,,1090919,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990203,81.63,2,1,1,有,有,有,16000,196,,0.0,0,,RPQNMLOKIIPFFCD08CC
東區,建物,臺南市東區崇善一街3巷1~30號,0.0,住,,,1090922,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0700124,19.83,1,0,1,有,無,有,8000,403,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.此租賃物為部分租賃,租賃標的未紀錄共有部分之分算面積。,RPSNMLOKIIPFFCD28CC
永康區,建物,臺南市永康區忠孝路203巷42弄1~30號,0.0,住,,,1090919,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0590801,87.45,4,2,2,有,無,有,10000,114,,0.0,0,,RPUNMLOKIIPFFKD66CC
