編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLMKIIPFFHD68CC,21,86.68,住家用,鋼筋混凝土造,88年10月4日,八層,
RPQOMLMKIIPFFAD77CC,51,105.42,住家用,加強磚造,58年8月5日,二層,
RPUNMLMKIIPFFID88CC,20,822.51,住家用,鋼筋混凝土造,89年5月8日,四層,
RPSOMLMKIIPFFAD97CC,27,88.09,住家用,鋼筋混凝土造,82年8月24日,七層,
RPSOMLMKIIPFFAD97CC,27,33.63,共有部分,鋼筋混凝土造,82年8月24日,七層,
RPQOMLMKIIPFFKD78CC,29,13.71,住家用,鋼筋混凝土造,80年10月22日,八層,
RPQOMLMKIIPFFKD78CC,29,8.36,共有部分,鋼筋混凝土造,80年10月22日,八層,
RPXOMLMKIIPFFAD48CC,24,187.70,住商用,鋼筋混凝土造,85年10月19日,四層,
RPSNMLMKIIPFFID68CC,20,822.51,住家用,鋼筋混凝土造,89年5月8日,四層,
RPTOMLNKIIPFFBD28CC,1,235.91,見其他登記事項,鋼筋混凝土造,109年3月4日,四層,
RPOPMLMKIIPFFCD87CC,18,57.09,商業用,見其他登記事項,92年1月13日,一層,
RPXPMLNKIIPFFKD07CC,21,83.73,住家用,鋼筋混凝土造,88年8月24日,十四層,
RPXPMLNKIIPFFKD07CC,21,2.06,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPXPMLNKIIPFFKD07CC,21,4.15,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPXPMLNKIIPFFKD07CC,21,16.24,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPSOMLNKIIPFFHD88DC,5,52.00,住商用,鋼筋混凝土造,104年7月28日,四層,
RPOPMLMKIIPFFBD77CC,43,75.60,住家用,加強磚造,66年11月15日,二層,
RPXNMLNKIIPFFAD48CC,25,177.30,商業用,鋼筋混凝土造,84年4月25日,十層,
RPXNMLNKIIPFFAD48CC,25,216.30,商業用,鋼筋混凝土造,84年4月25日,十層,
RPXNMLNKIIPFFAD48CC,25,58.14,共有部分,鋼筋混凝土造,84年4月25日,十層,
RPXNMLNKIIPFFAD48CC,25,109.58,共有部分,鋼筋混凝土造,84年4月25日,十層,
RPRPMLNKIIPFFAD08CC,17,62.70,見其他登記事項,鋼筋混凝土造,93年1月13日,四層,
RPTNMLOKIIPFFAD18CC,2,49.97,見其他登記事項,見其他登記事項,108年1月21日,七層,
RPTNMLOKIIPFFAD18CC,2,31.99,見其他登記事項,見其他登記事項,108年1月21日,七層,
RPQNMLOKIIPFFCD08CC,11,58.70,住家用,鋼筋混凝土造,99年2月3日,十四層,
RPQNMLOKIIPFFCD08CC,11,15.07,見其他登記事項,鋼筋混凝土造,99年2月3日,十四層,
RPQNMLOKIIPFFCD08CC,11,7.86,見其他登記事項,鋼筋混凝土造,99年2月3日,十四層,
RPSNMLOKIIPFFCD28CC,40,19.83,住商用,鋼筋混凝土造,70年1月24日,三層,
RPVOMLOKIIPFFHD56CC,7,200.44,住家用,鋼筋混凝土造,102年7月4日,四層,
RPXPMLPKIIPFFKD27CC,22,23.11,住家用,鋼筋混凝土造,87年6月2日,七層,
RPXPMLPKIIPFFKD27CC,22,2.23,共有部分,鋼筋混凝土造,87年6月2日,七層,
RPXPMLPKIIPFFKD27CC,22,7.36,共有部分,鋼筋混凝土造,87年6月2日,七層,
RPOOMLOKIIPFFKD78CC,24,152.35,住家用,鋼筋混凝土造,85年7月11日,四層,
RPUNMLOKIIPFFKD66CC,50,87.45,住家用,鋼筋混凝土加強磚造,59年8月1日,二層,
RPOQMLNKIIPFFKD88CC,21,83.73,住家用,鋼筋混凝土造,88年8月24日,十四層,
RPOQMLNKIIPFFKD88CC,21,2.06,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPOQMLNKIIPFFKD88CC,21,4.15,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPOQMLNKIIPFFKD88CC,21,16.24,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPPWMLPKIIPFFBD88CC,8,208.99,見其他登記事項,鋼筋混凝土造,101年12月27日,四層,
RPVOMLPKIIPFFCD88DC,41,103.11,商業用,鐵造,68年11月19日,一層,
RPWNMLPKIIPFFKD96CC,32,19.83,見其他登記事項,鋼筋混凝土造,77年10月3日,四層,
RPROMLPKIIPFFID98CC,27,136.23,住家用,鋼筋混凝土造,82年9月21日,三層,
RPVNMLPKIIPFFID66CC,4,56.66,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPVNMLPKIIPFFID66CC,4,52.81,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPPNMLOKIIPFFID58CC,27,121.86,住家用,鋼筋混凝土造,83年3月12日,三層,
RPVNMLPKIIPFFAD48CC,26,112.78,住家用,鋼筋混凝土造,83年4月30日,八層,
RPVNMLPKIIPFFAD48CC,26,46.59,共有部分,鋼筋混凝土造,83年4月30日,,
RPTNMLPKIIPFFAD28CC,39,51.50,住家用,鋼筋混凝土造,70年12月28日,十二層,
