編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLMKIIPFFHD68CC,善文段,20.34,都市：住,全筆移轉
RPQOMLMKIIPFFAD77CC,新臨安段,70.00,都市：住,全筆移轉
RPUNMLMKIIPFFID88CC,豬厝段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSOMLMKIIPFFAD97CC,金城段,.00,都市：住,全筆移轉
RPSOMLMKIIPFFAD97CC,金城段,.00,都市：住,全筆移轉
RPQOMLMKIIPFFKD78CC,六合段,.00,都市：住,全筆移轉
RPQOMLMKIIPFFKD78CC,六合段,.00,都市：住,全筆移轉
RPXOMLMKIIPFFAD48CC,新南段,.00,都市：住,全筆移轉
RPXOMLMKIIPFFAD48CC,新南段,.00,都市：住,全筆移轉
RPSNMLMKIIPFFID68CC,豬厝段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPTOMLNKIIPFFBD28CC,國安段,90.68,都市：其他:(空白),全筆移轉
RPTOMLNKIIPFFBD28CC,國安段,13.12,都市：其他:(空白),全筆移轉
RPOPMLMKIIPFFCD87CC,竹篙厝段,.00,都市：住,全筆移轉
RPOPMLMKIIPFFCD87CC,竹篙厝段,.00,都市：住,全筆移轉
RPXPMLNKIIPFFKD07CC,六甲頂段,10.97,都市：住,全筆移轉
RPSOMLNKIIPFFHD88DC,善中段,123.01,都市：住,全筆移轉
RPOPMLMKIIPFFBD77CC,溪墘段,.00,都市：住,全筆移轉
RPXNMLNKIIPFFAD48CC,觀音段,30.20,都市：商,全筆移轉
RPRPMLNKIIPFFAD08CC,新南段,.00,都市：住,全筆移轉
RPRPMLNKIIPFFAD08CC,新南段,.00,都市：住,全筆移轉
RPTNMLOKIIPFFAD18CC,自強段,.00,都市：商,全筆移轉
RPTNMLOKIIPFFAD18CC,自強段,.00,都市：商,全筆移轉
RPQNMLOKIIPFFCD08CC,仁和段,.00,都市：住,全筆移轉
RPSNMLOKIIPFFCD28CC,竹篙厝段,.00,都市：住,全筆移轉
RPVOMLOKIIPFFHD56CC,南小新段,96.57,都市：住,全筆移轉
RPVOMLOKIIPFFHD56CC,南小新段,12.49,都市：住,全筆移轉
RPXPMLPKIIPFFKD27CC,兵北段,.00,都市：住,全筆移轉
RPOOMLOKIIPFFKD78CC,大灣段,.00,都市：住,全筆移轉
RPUNMLOKIIPFFKD66CC,中興段,.00,都市：住,全筆移轉
RPOQMLNKIIPFFKD88CC,六甲頂段,10.97,都市：住,全筆移轉
RPPWMLPKIIPFFBD88CC,溪頂段,.00,都市：住,全筆移轉
RPPWMLPKIIPFFBD88CC,溪頂段,.00,都市：住,全筆移轉
RPVOMLPKIIPFFCD88DC,鹽埕段,145.00,都市：商,全筆移轉
RPWNMLPKIIPFFKD96CC,成功段,.00,都市：住,全筆移轉
RPROMLPKIIPFFID98CC,三甲子段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVNMLPKIIPFFID66CC,德崙段,.00,都市：商,全筆移轉
RPPNMLOKIIPFFID58CC,仁義段,.00,都市：住,全筆移轉
RPVNMLPKIIPFFAD48CC,新南段,.00,都市：住,全筆移轉
RPTNMLPKIIPFFAD28CC,開元段,.00,都市：商,全筆移轉
RPRNMLPKIIPFFAD08CC,保安段,67.00,都市：住,全筆移轉
RPQNMLPKIIPFFAD97CC,安平段,54.28,都市：住,全筆移轉
RPRNMLPKIIPFFCD28CC,仁和段,.00,都市：住,全筆移轉
RPTOMLPKIIPFFAD38CC,北元段,.00,都市：住,全筆移轉
RPWNMLQKIIPFFHD76CC,善進段,116.53,都市：住,全筆移轉
RPVOMLQKIIPFFAD68CC,永安段,.00,都市：住,全筆移轉
RPSPMLQKIIPFFAD48CC,新南段,.00,都市：住,全筆移轉
RPXOMLQKIIPFFAD88CC,環河段,.00,都市：住,全筆移轉
RPROMLQKIIPFFHD98CC,新豐段,.00,都市：住,全筆移轉
RPROMLQKIIPFFKD66CC,蜈蜞潭段,.00,都市：住,全筆移轉
RPSOMLQKIIPFFKD76CC,鹽新段,.00,都市：住,全筆移轉
RPTOMLQKIIPFFKD86CC,兵北段,.00,都市：住,全筆移轉
RPXOMLQKIIPFFBD98CC,和成段,.00,都市：住,全筆移轉
RPSNMLTKIIPFFBD68CC,怡中段,.00,都市：住,全筆移轉
RPPPMLTKIIPFFHD56CC,善新段,25.44,都市：住,全筆移轉
RPOPMLTKIIPFFHD09CC,大榮段,11.27,都市：住,全筆移轉
RPOPMLTKIIPFFHD09CC,大榮段,.61,都市：住,全筆移轉
RPOPMLTKIIPFFHD09CC,大榮段,7.61,都市：住,全筆移轉
RPXOMLTKIIPFFKD57CC,兵北段,.00,都市：住,全筆移轉
RPPNMLTKIIPFFID09CC,嘉南段,9.00,都市：住,全筆移轉
RPXOMLTKIIPFFAD56CC,立人段,.00,都市：住,全筆移轉
RPQOMLTKIIPFFAD48CC,永安段,65.00,都市：商,全筆移轉
RPOOMLTKIIPFFAD28CC,金華段,.00,都市：商,全筆移轉
RPSNMLTKIIPFFAD58CC,文元段,60.75,都市：住,全筆移轉
RPSOMLTKIIPFFAD68CC,北安段,10.34,都市：其他:市場用地,全筆移轉
RPPOMLKLIIPFFHD28CC,南港段,.00,都市：其他:無,全筆移轉
RPPOMLKLIIPFFHD28CC,南港段,.00,都市：其他:無,全筆移轉
RPPOMLKLIIPFFHD28CC,南港段,.00,都市：其他:無,全筆移轉
RPPOMLKLIIPFFHD28CC,南港段,.00,都市：其他:無,全筆移轉
RPRNMLKLIIPFFAD67CC,東興段,.00,都市：住,全筆移轉
RPSNMLKLIIPFFHD48CC,大榮段,14.21,都市：住,全筆移轉
RPSNMLKLIIPFFHD48CC,大榮段,.71,都市：住,全筆移轉
RPSNMLKLIIPFFHD48CC,大榮段,9.59,都市：住,全筆移轉
RPWOMLKLIIPFFHD98CC,新興段,.00,都市：住,全筆移轉
RPROMLQKIIPFFID09CC,香洋段,91.50,都市：住,全筆移轉
RPPOMLKLIIPFFKD58CC,東邊寮段,330.57,都市：工,全筆移轉
RPXNMLKLIIPFFKD66CC,東邊寮段,330.00,都市：工,全筆移轉
RPUOMLKLIIPFFKD09CC,東橋段,.00,都市：工,全筆移轉
RPRPMLKLIIPFFKD88CC,鹽新段,598.45,都市：住,全筆移轉
RPSPMLKLIIPFFKD98CC,建國段,165.28,都市：農,全筆移轉
RPSNMLKLIIPFFCD97CC,富農段,.00,都市：住,全筆移轉
RPVNMLKLIIPFFCD28CC,大同段,.00,都市：商,全筆移轉
RPTOMLKLIIPFFAD08DC,赤崁段,201.40,都市：商,全筆移轉
