鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
鼓山區,房地(土地+建物)+車位,美術東四路61~90號,15.72,都市：其他:特定第五種住宅區,,,1090905,土地1建物1車位2,十九層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090327,197.46,3,2,2,有,有,15930000,79908,坡道平面,54.42,4500000,,RPPOMLRKRHPFFAE98DA,73.68,19.58,0.0,有
前金區,房地(土地+建物)+車位,市中一路241~270號,52.77,都市：其他:第二種特定商業專用區,,,1090930,土地2建物1車位2,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960321,334.03,5,2,3,有,有,18500000,55384,坡道平面,70.34,0,,RPPPMLQJIIPFFAE08DA,176.22,17.91,0.0,有
鼓山區,房地(土地+建物)+車位,美術南五街181~210號,15.49,都市：其他:特定第五種住宅區,,,1091011,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940616,105.16,2,2,1,有,有,7300000,64157,坡道平面,22.55,2000000,,RPPNMLLKIIPFFAE47DA,52.13,5.29,0.0,有
前金區,房地(土地+建物),新盛二街61~90號,7.8,都市：其他:第五種商業區,,,1091017,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810521,54.08,1,1,1,有,無,2680000,49556,,0.0,0,,RPOQMLKLIIPFFAE67DA,38.03,0.0,0.0,有
鼓山區,房地(土地+建物)+車位,美術東四路61~90號,15.8,都市：其他:特定第五種住宅區,,,1090813,土地1建物1車位1,十四層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090327,171.04000000000002,3,2,2,有,有,13200000,77522,坡道平面,27.21,2050000,,RPWOMLMLIIPFFAE48DA,73.68,20.1,0.0,有
鼓山區,房地(土地+建物)+車位,鼓元街1~30號,23.92,都市：其他:第二種商業區,,,1091009,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050707,166.53,3,2,2,有,有,11800000,70858,坡道平面,26.01,0,,RPXNMLOJJIPFFAE58DA,80.67,12.17,0.0,有
鼓山區,房地(土地+建物)+車位,明華路271~300號,10.57,都市：其他:第四種商業區,,,1091015,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941028,102.92999999999999,3,2,1,有,有,5700000,55377,坡道機械,6.77,0,,RPPPMLPJJIPFFAE08DA,60.54,7.53,0.0,有
苓雅區,房地(土地+建物),興中二路121~150號,5.35,都市：其他:第五種商業區,,,1091008,土地1建物1車位0,二十一層，二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860227,54.25,1,1,1,有,有,2780000,51244,,0.0,0,,RPQOMLSJIIPFFBE38DA,37.86,2.78,0.0,有
新興區,房地(土地+建物),信守街151~180號,4.72,都市：其他:第五種商業區,,,1091023,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870803,55.94,1,1,1,有,有,3200000,57204,,0.0,0,,RPVOMLNLIIPFFBE58DA,29.64,10.32,0.0,有
新興區,房地(土地+建物)+車位,興華路1~30號,25.06,都市：其他:第三種商業區,,,1090923,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930116,219.65,4,2,2,有,有,12240000,55725,坡道平面,0.0,0,,RPPNMLKMIIPFFBE67DA,123.35,15.36,0.0,有
新興區,房地(土地+建物)+車位,興華路1~30號,25.08,都市：其他:第三種商業區,,,1090924,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930116,219.74,4,2,2,有,有,11560000,52608,坡道平面,0.0,0,,RPQNMLKMIIPFFBE77DA,123.44,15.36,0.0,有
