編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLKMIIPFFBE67DA,17,138.71,住家用,鋼筋混凝土造,93年1月16日,十一層,八層
RPPNMLKMIIPFFBE67DA,17,80.94,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPPPMLQJIIPFFAE08DA,14,194.13,住家用,鋼筋混凝土造,96年3月21日,十二層,九層
RPPPMLQJIIPFFAE08DA,14,139.90,見其它登記事項,鋼筋混凝土造,96年3月21日,十二層,
RPOQMLKLIIPFFAE67DA,28,38.03,住家用,鋼筋混凝土造,81年5月21日,七層,三層
RPOQMLKLIIPFFAE67DA,28,16.05,見使用執照,鋼筋混凝土造,81年5月21日,七層,
RPPOMLRKRHPFFAE98DA,,93.26,見其它登記事項,見其它登記事項,109年3月27日,二十三層,十九層
RPPOMLRKRHPFFAE98DA,,104.20,見其它登記事項,見其它登記事項,109年3月27日,二十三層,
RPPNMLLKIIPFFAE47DA,15,57.42,住家用,鋼筋混凝土造,94年6月16日,十四層,七層
RPPNMLLKIIPFFAE47DA,15,47.74,共有部分,鋼筋混凝土造,94年6月16日,十四層,
RPPPMLPJJIPFFAE08DA,15,68.07,住家用,鋼筋混凝土造,94年10月28日,十二層,八層
RPPPMLPJJIPFFAE08DA,15,34.86,共有部分,鋼筋混凝土造,94年10月28日,十二層,
RPXNMLOJJIPFFAE58DA,4,92.84,見其它登記事項,見其它登記事項,105年7月7日,十四層,二層
RPXNMLOJJIPFFAE58DA,4,73.69,見其它登記事項,見其它登記事項,105年7月7日,十四層,
RPVOMLNLIIPFFBE58DA,22,39.96,住家用,鋼筋混凝土造,87年8月3日,十四層,九層
RPVOMLNLIIPFFBE58DA,22,15.98,見其它登記事項,鋼筋混凝土造,87年8月3日,十四層,
RPWOMLMLIIPFFAE48DA,,46.89,見其它登記事項,見其它登記事項,109年3月27日,二十三層,十四層
RPWOMLMLIIPFFAE48DA,,46.89,見其它登記事項,見其它登記事項,109年3月27日,二十三層,十四層
RPWOMLMLIIPFFAE48DA,,38.63,見其它登記事項,見其它登記事項,109年3月27日,二十三層,
RPWOMLMLIIPFFAE48DA,,38.63,見其它登記事項,見其它登記事項,109年3月27日,二十三層,
RPSNMLKMIIPFFBE97DA,17,138.71,住家用,鋼筋混凝土造,93年1月16日,十一層,六層
RPSNMLKMIIPFFBE97DA,17,80.94,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPQNMLKMIIPFFBE77DA,17,138.80,住家用,鋼筋混凝土造,93年1月16日,十一層,十一層
RPQNMLKMIIPFFBE77DA,17,80.94,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPTNMLKMIIPFFBE08DA,17,114.29,住家用,鋼筋混凝土造,93年1月16日,十一層,六層
RPTNMLKMIIPFFBE08DA,17,71.35,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPUOMLKMIIPFFBE28DA,42,84.43,,鋼筋混凝土造,67年12月27日,四層,四層
RPPPMLTLIIPFFBE68DA,17,138.71,住家用,鋼筋混凝土造,93年1月16日,十一層,六層
RPPPMLTLIIPFFBE68DA,17,80.94,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPQPMLTLIIPFFBE78DA,17,138.71,住家用,鋼筋混凝土造,93年1月16日,十一層,七層
RPQPMLTLIIPFFBE78DA,17,80.94,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPVPMLTLIIPFFBE66DA,17,138.71,住家用,鋼筋混凝土造,93年1月16日,十一層,二層
RPVPMLTLIIPFFBE66DA,17,80.94,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPUPMLTLIIPFFBE56DA,17,138.71,住家用,鋼筋混凝土造,93年1月16日,十一層,二層
RPUPMLTLIIPFFBE56DA,17,80.94,見其它登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPVNMLKMIIPFFBE28DA,35,109.47,,鋼筋混凝土造,74年9月25日,五層,三層 電梯樓梯間
RPRTMLQJJIPFFCE98DA,2,343.41,見其它登記事項,鋼筋混凝土造,107年7月30日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPPNMLRJJIPFFBE18DA,6,91.98,住家用,鋼骨鋼筋混凝土造,103年9月1日,三十三層,三十三層
RPPNMLRJJIPFFBE18DA,6,91.98,住家用,鋼骨鋼筋混凝土造,103年9月1日,三十三層,三十三層
RPPNMLRJJIPFFBE18DA,6,67.13,共有部分,鋼骨鋼筋混凝土造,103年9月1日,三十三層,
