編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLKMIIPFFBE67DA,新興段二小段,25.06,都市：其他:第三種商業區,持分移轉
RPPPMLQJIIPFFAE08DA,北金段,23.59,都市：其他:第四種住宅區,持分移轉
RPPPMLQJIIPFFAE08DA,北金段,29.18,都市：其他:第二種特定商業專用區,持分移轉
RPOQMLKLIIPFFAE67DA,前金段,2.60,都市：其他:第五種商業區,持分移轉
RPOQMLKLIIPFFAE67DA,前金段,2.60,都市：其他:第五種商業區,持分移轉
RPOQMLKLIIPFFAE67DA,前金段,2.60,都市：其他:第五種商業區,持分移轉
RPPOMLRKRHPFFAE98DA,青海段,15.72,都市：其他:特定第五種住宅區,持分移轉
RPPNMLLKIIPFFAE47DA,青海段,15.49,都市：其他:特定第五種住宅區,持分移轉
RPPPMLPJJIPFFAE08DA,龍華段八小段,10.57,都市：其他:第四種商業區,持分移轉
RPXNMLOJJIPFFAE58DA,鼓南段一小段,23.92,都市：其他:第二種商業區,持分移轉
RPVOMLNLIIPFFBE58DA,大港埔段,4.72,都市：其他:第五種商業區,持分移轉
RPWOMLMLIIPFFAE48DA,青海段,7.90,都市：其他:特定第五種住宅區,持分移轉
RPWOMLMLIIPFFAE48DA,青海段,7.90,都市：其他:特定第五種住宅區,持分移轉
RPSNMLKMIIPFFBE97DA,新興段二小段,25.06,都市：其他:第三種商業區,持分移轉
RPQNMLKMIIPFFBE77DA,新興段二小段,25.08,都市：其他:第三種商業區,持分移轉
RPTNMLKMIIPFFBE08DA,新興段二小段,20.66,都市：其他:第三種商業區,持分移轉
RPUOMLKMIIPFFBE28DA,衛武段,60.25,都市：其他:第四種住宅區,持分移轉
RPPPMLTLIIPFFBE68DA,新興段二小段,25.06,都市：其他:第三種商業區,持分移轉
RPQPMLTLIIPFFBE78DA,新興段二小段,25.06,都市：其他:第三種商業區,持分移轉
RPVPMLTLIIPFFBE66DA,新興段二小段,25.06,都市：其他:第三種商業區,持分移轉
RPUPMLTLIIPFFBE56DA,新興段二小段,25.06,都市：其他:第三種商業區,持分移轉
RPVNMLKMIIPFFBE28DA,苓雅寮段,27.20,都市：其他:第五種商業區,持分移轉
RPRTMLQJJIPFFCE98DA,青島段一小段,91.00,都市：其他:第三種住宅區。,全筆移轉
RPPNMLRJJIPFFBE18DA,林德官段,6.72,都市：其他:第五種商業區,持分移轉
RPPNMLRJJIPFFBE18DA,林德官段,6.72,都市：其他:第五種商業區,持分移轉
RPRNMLQJJIPFFBE28DA,苓洲段,5.35,都市：其他:第五種商業區,持分移轉
RPORMLPJIIPFFCE28DA,獅甲段二小段,23.91,都市：其他:特定第五種住宅區,持分移轉
RPVTMLQJJIPFFCE76DA,獅甲段二小段,41.31,都市：其他:第四種住宅區,持分移轉
RPQOMLSJIIPFFBE38DA,苓洲段,5.35,都市：其他:第五種商業區,持分移轉
RPOPMLOJJIPFFCE08DA,孔宅段,160.00,都市：其他:第三種住宅區。,全筆移轉
RPXVMLTJJIPFFCE47DA,光華段,52.00,都市：其他:第三種商業區,全筆移轉
RPOPMLQLIIPFFCE38DA,籬子內段崗山子小段,6.09,都市：其他:第五種住宅區,持分移轉
RPSNMLTJJIPFFCE78DA,草衙段二小段,131.72,都市：其他:第三種住宅區。,全筆移轉
RPSOMLTJJIPFFCE88DA,松華段,44.10,都市：其他:第三種住宅區。,持分移轉
RPXNMLTJJIPFFCE66DA,店子後段,94.30,都市：其他:第三種住宅區。,持分移轉
RPRQMLTLRHPFFDE37DA,大港段四小段,24.53,都市：其他:第五種商業區,持分移轉
RPUPMLPLRHPFFDE17DA,覆鼎金段覆鼎金一小段,13.10,都市：其他:第四種住宅區,持分移轉
RPRNMLRJIIPFFDE48DA,建民段,17.62,都市：其他:第四種住宅區,持分移轉
RPQOMLOKIIPFFDE28DA,鼎祥段,25.63,都市：其他:第五種住宅區,持分移轉
RPRPMLPJIIPFFDE48DA,大豐段二小段,34.80,都市：其他:第四種住宅區,持分移轉
RPWQMLTJJIPFFCE86DA,愛群段,2.62,都市：其他:第五種商業區,持分移轉
RPWNMLTKIIPFFDE66DA,大港段二小段,92.00,都市：其他:第四種住宅區,全筆移轉
RPWNMLTKIIPFFDE66DA,大港段二小段,92.00,都市：其他:第四種住宅區,全筆移轉
RPPOMLTKIIPFFDE68DA,大港段四小段,4.01,都市：其他:第五種商業區,持分移轉
RPWOMLKLIIPFFDE58DA,大港段,28.70,都市：其他:第三種住宅區。,持分移轉
RPXNMLTKIIPFFDE76DA,大港段四小段,4.01,都市：其他:第五種商業區,持分移轉
RPWRMLRLIIPFFDE96DA,灣中段,6.16,都市：其他:第五種商業區,持分移轉
RPSRMLRLIIPFFDE56DA,灣中段,6.16,都市：其他:第五種商業區,持分移轉
RPORMLRLIIPFFDE78DA,三塊厝段,56.00,都市：其他:第四種商業區,全筆移轉
RPQRMLRLIIPFFDE98DA,灣中段,6.16,都市：其他:第五種商業區,持分移轉
RPURMLRLIIPFFDE76DA,灣中段,6.16,都市：其他:第五種商業區,持分移轉
RPOSMLRLIIPFFDE88DA,灣中段,7.72,都市：其他:第五種商業區,持分移轉
RPWPMLQLIIPFFDE66DA,灣中段,7.04,都市：其他:第五種商業區,持分移轉
RPSTMLRLIIPFFDE76DA,灣中段,6.77,都市：其他:第五種商業區,持分移轉
RPUSMLRLIIPFFDE86DA,灣中段,6.60,都市：其他:第五種商業區,持分移轉
RPTOMLQLIIPFFDE88DA,大港段,4.68,都市：其他:第三種特定商業專用區,持分移轉
RPTOMLQLIIPFFDE88DA,大港段,12.51,都市：其他:第五種住宅區,持分移轉
RPXNMLSLIIPFFDE76DA,鼎金段,56.08,都市：其他:第四種住宅區,持分移轉
RPXNMLSLIIPFFDE76DA,鼎金段,24.27,都市：其他:第四種住宅區,持分移轉
RPOUMLRLIIPFFDE09DA,灣中段,6.09,都市：其他:第五種商業區,持分移轉
RPWOMLRLIIPFFDE66DA,灣中段,6.20,都市：其他:第五種商業區,持分移轉
RPPNMLTLIIPFFDE68DA,灣中段,6.18,都市：其他:第五種商業區,持分移轉
RPOPMLPJJIPFFDE28DA,獅頭段,10.05,都市：其他:第四種商業區,持分移轉
RPXOMLPKIIPFFEE56DA,興隆段,11.04,都市：其他:第五種住宅區,持分移轉
RPVPMLOKIIPFFEE98DA,新庄段十二小段,32.11,都市：其他:第四種住宅區,持分移轉
RPTOMLQJJIPFFDE78DA,大豐段三小段,31.82,都市：其他:第三種住宅區。,持分移轉
RPPPMLTKIIPFFEE88DA,福民段,12.94,都市：其他:第五種住宅區,持分移轉
RPPOMLTKIIPFFEE78DA,楠都段四小段,18.46,都市：其他:第五種住宅區,持分移轉
RPUOMLSLIIPFFEE66DA,新民段,8.88,都市：其他:第五種住宅區,持分移轉
RPSNMLKMIIPFFEE28DA,福山段,7.07,都市：其他:第四種商業區,持分移轉
RPVOMLLLIIPFFEE68DA,清豐段,6.81,都市：其他:第三種住宅區。,持分移轉
RPVOMLLLIIPFFEE68DA,清豐段,58.32,都市：其他:第三種住宅區。,全筆移轉
RPVOMLLLIIPFFEE68DA,清豐段,12.19,都市：其他:第三種住宅區。,持分移轉
RPPRMLNLIIPFFEE58DA,福山段,12.88,都市：其他:第四種商業區,持分移轉
RPWNMLRLIIPFFEE66DA,清楠段,14.99,都市：其他:第二種特定商業專用區,持分移轉
RPWNMLRLIIPFFEE66DA,土庫段三小段,1.99,都市：其他:第二種特定商業專用區,持分移轉
RPWNMLNLIIPFFEE88DA,新博段,30.77,都市：其他:第五種住宅區,持分移轉
RPPPMLKMIIPFFEE18DA,楠都段三小段,.03,非都市： ; 非都市編定：,持分移轉
RPPPMLKMIIPFFEE18DA,楠都段三小段,4.80,都市：其他:第三種商業區,持分移轉
RPTPMLKMIIPFFEE58DA,後勁段二小段,67.00,都市：其他:第四種住宅區,全筆移轉
RPRNMLTJJIPFFEE88DA,右昌段一小段,64.00,都市：其他:第三種住宅區。,全筆移轉
RPTNMLOJJIPFFEE58DA,清楠段,6.79,都市：其他:第三種住宅區。,持分移轉
RPQOMLPJJIPFFEE48DA,楠梓段三小段,10.90,都市：其他:第三種商業區,持分移轉
RPSNMLTJJIPFFEE98DA,莒光段一小段,20.06,都市：其他:第五種商業區,持分移轉
RPWNMLTJJIPFFEE76DA,加昌段二小段,57.83,都市：其他:第四種住宅區,持分移轉
RPVNMLTJJIPFFEE66DA,後勁段三小段,4.00,都市：其他:第三種住宅區。,全筆移轉
RPWNMLTJJIPFFEE76DA,加昌段二小段,1.29,都市：其他:第二種特定商業專用區,持分移轉
RPVNMLTJJIPFFEE66DA,後勁段三小段,65.00,都市：其他:第三種住宅區。,全筆移轉
RPQNMLTJJIPFFEE78DA,翠屏段四小段,25.53,都市：其他:第四種住宅區,持分移轉
RPOOMLTJJIPFFEE68DA,加昌段,20.96,都市：其他:第四種住宅區,持分移轉
RPPOMLTJJIPFFEE78DA,楠都段四小段,11.24,都市：其他:第五種住宅區,持分移轉
RPWOMLTJJIPFFEE86DA,藍昌段三小段,43.50,都市：其他:第四種商業區,持分移轉
RPQPMLTJJIPFFEE98DA,左南段,18.83,都市：其他:第三種住宅區。,持分移轉
RPQPMLTJJIPFFEE98DA,左南段,.05,都市：其他:第三種住宅區。,持分移轉
RPRPMLLKIIPFFFE38DA,大仁段,.82,都市：其他:第一種商業區,持分移轉
RPRPMLLKIIPFFFE38DA,大仁段,.61,都市：其他:第一種商業區,持分移轉
RPRPMLLKIIPFFFE38DA,大仁段,1.46,都市：其他:第一種商業區,持分移轉
RPRPMLLKIIPFFFE38DA,大仁段,.44,都市：其他:第一種商業區,持分移轉
RPOPMLLKIIPFFFE08DA,大仁段,1.23,都市：其他:第一種商業區,持分移轉
RPOPMLLKIIPFFFE08DA,大仁段,.91,都市：其他:第一種商業區,持分移轉
RPOPMLLKIIPFFFE08DA,大仁段,2.19,都市：其他:第一種商業區,持分移轉
RPOPMLLKIIPFFFE08DA,大仁段,.66,都市：其他:第一種商業區,持分移轉
RPWNMLKKRHPFFFE76DA,海城段,92.09,都市：其他:,持分移轉
RPWNMLKKRHPFFFE76DA,海城段,.03,都市：其他:,持分移轉
RPWNMLKKRHPFFFE76DA,海城段,59.47,都市：其他:住宅區,持分移轉
RPWNMLKKRHPFFFE76DA,海城段,816.35,都市：其他:,全筆移轉
RPWNMLKKRHPFFFE76DA,海城段,123.24,都市：其他:,持分移轉
RPXOMLTLIIPFFEE07DA,和平段四小段,78.00,都市：其他:第五種住宅區,全筆移轉
RPQOMLSKIIPFFFE88DA,大仁段,.87,都市：其他:第一種商業區,持分移轉
RPQOMLSKIIPFFFE88DA,大仁段,.64,都市：其他:第一種商業區,持分移轉
RPQOMLSKIIPFFFE88DA,大仁段,1.55,都市：其他:第一種商業區,持分移轉
RPQOMLSKIIPFFFE88DA,大仁段,.46,都市：其他:第一種商業區,持分移轉
RPRNMLSKIIPFFFE88DA,後壁田段,19.64,都市：其他:第五種住宅區,持分移轉
RPRNMLSKIIPFFFE88DA,後壁田段,19.64,都市：其他:第五種住宅區,持分移轉
RPQNMLSKIIPFFFE78DA,後壁田段,43.04,都市：其他:第五種住宅區,持分移轉
RPOOMLSKIIPFFFE68DA,大仁段,.98,都市：其他:第一種商業區,持分移轉
RPOOMLSKIIPFFFE68DA,大仁段,.73,都市：其他:第一種商業區,持分移轉
RPOOMLSKIIPFFFE68DA,大仁段,1.75,都市：其他:第一種商業區,持分移轉
RPOOMLSKIIPFFFE68DA,大仁段,.52,都市：其他:第一種商業區,持分移轉
RPROMLSKIIPFFFE98DA,大仁段,.87,都市：其他:第一種商業區,持分移轉
RPROMLSKIIPFFFE98DA,大仁段,.64,都市：其他:第一種商業區,持分移轉
RPROMLSKIIPFFFE98DA,大仁段,1.55,都市：其他:第一種商業區,持分移轉
RPROMLSKIIPFFFE98DA,大仁段,.46,都市：其他:第一種商業區,持分移轉
RPXOMLLKIIPFFFE88DA,大仁段,1.26,都市：其他:第一種商業區,持分移轉
RPXOMLLKIIPFFFE88DA,大仁段,.93,都市：其他:第一種商業區,持分移轉
RPXOMLLKIIPFFFE88DA,大仁段,2.24,都市：其他:第一種商業區,持分移轉
RPXOMLLKIIPFFFE88DA,大仁段,.67,都市：其他:第一種商業區,持分移轉
RPTPMLTKIIPFFFE76DA,大仁段,.87,都市：其他:第一種商業區,持分移轉
RPTPMLTKIIPFFFE76DA,大仁段,.64,都市：其他:第一種商業區,持分移轉
RPTPMLTKIIPFFFE76DA,大仁段,1.55,都市：其他:第一種商業區,持分移轉
RPTPMLTKIIPFFFE76DA,大仁段,.46,都市：其他:第一種商業區,持分移轉
RPSOMLSKIIPFFFE09DA,大仁段,1.30,都市：其他:第一種商業區,持分移轉
RPSOMLSKIIPFFFE09DA,大仁段,.97,都市：其他:第一種商業區,持分移轉
RPSOMLSKIIPFFFE09DA,大仁段,2.33,都市：其他:第一種商業區,持分移轉
RPSOMLSKIIPFFFE09DA,大仁段,.70,都市：其他:第一種商業區,持分移轉
RPROMLKLIIPFFFE28DA,大仁段,.67,都市：其他:第一種商業區,持分移轉
RPROMLKLIIPFFFE28DA,大仁段,.49,都市：其他:第一種商業區,持分移轉
RPROMLKLIIPFFFE28DA,大仁段,1.19,都市：其他:第一種商業區,持分移轉
RPROMLKLIIPFFFE28DA,大仁段,.36,都市：其他:第一種商業區,持分移轉
RPWOMLKLIIPFFFE78DA,下竹圍段,12.70,都市：其他:住宅區,持分移轉
