編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLKMIIPFFBE67DA,坡道平面,0,,地下一樓
RPPPMLQJIIPFFAE08DA,坡道平面,0,35.17,地下一樓
RPPPMLQJIIPFFAE08DA,坡道平面,0,35.17,地下一樓
RPPOMLRKRHPFFAE98DA,坡道平面,2250000,27.21,地下一樓
RPPOMLRKRHPFFAE98DA,坡道平面,2250000,27.21,地下一樓
RPPNMLLKIIPFFAE47DA,坡道平面,2000000,22.55,地下一樓
RPPPMLPJJIPFFAE08DA,坡道機械,0,6.77,地下一樓
RPXNMLOJJIPFFAE58DA,坡道平面,0,26.01,地下二樓
RPWOMLMLIIPFFAE48DA,坡道平面,2050000,27.21,地下三樓
RPSNMLKMIIPFFBE97DA,坡道平面,0,,地下一樓
RPQNMLKMIIPFFBE77DA,坡道平面,0,,地下一樓
RPTNMLKMIIPFFBE08DA,坡道平面,0,,地下二樓
RPPPMLTLIIPFFBE68DA,坡道平面,0,,地下一樓
RPQPMLTLIIPFFBE78DA,坡道平面,0,,地下一樓
RPVPMLTLIIPFFBE66DA,坡道平面,0,,地下二樓
RPUPMLTLIIPFFBE56DA,坡道平面,0,,地下二樓
RPPNMLRJJIPFFBE18DA,坡道平面,0,19.71,地下二樓
RPPNMLRJJIPFFBE18DA,坡道平面,0,19.71,地下二樓
RPVTMLQJJIPFFCE76DA,坡道平面,2100000,22.90,地下三樓
RPVTMLQJJIPFFCE76DA,坡道平面,2100000,22.90,地下三樓
RPRQMLTLRHPFFDE37DA,坡道平面,0,61.56,地下二樓
RPQOMLOKIIPFFDE28DA,坡道平面,0,23.23,地下一樓
RPQOMLOKIIPFFDE28DA,坡道平面,0,23.23,地下一樓
RPWOMLKLIIPFFDE58DA,坡道機械,0,,地下一樓
RPWRMLRLIIPFFDE96DA,坡道機械,1000000,21.95,地下五樓含以下
RPSRMLRLIIPFFDE56DA,坡道機械,1000000,21.95,地下五樓含以下
RPQRMLRLIIPFFDE98DA,坡道機械,1000000,21.95,地下五樓含以下
RPURMLRLIIPFFDE76DA,坡道機械,1000000,21.95,地下五樓含以下
RPOSMLRLIIPFFDE88DA,坡道機械,1100000,21.95,地下四樓
RPWPMLQLIIPFFDE66DA,坡道機械,1050000,21.95,地下四樓
RPSTMLRLIIPFFDE76DA,坡道機械,1050000,21.95,地下四樓
RPUSMLRLIIPFFDE86DA,坡道平面,1500000,29.27,地下五樓含以下
RPOUMLRLIIPFFDE09DA,坡道機械,950000,21.95,地下五樓含以下
RPWOMLRLIIPFFDE66DA,坡道機械,900000,21.95,地下五樓含以下
RPPNMLTLIIPFFDE68DA,坡道機械,950000,21.95,地下五樓含以下
RPOPMLPJJIPFFDE28DA,坡道平面,0,24.69,地下三樓
RPVPMLOKIIPFFEE98DA,坡道平面,0,,
RPPPMLTKIIPFFEE88DA,坡道機械,0,9.54,
RPPOMLTKIIPFFEE78DA,坡道平面,0,15.80,
RPUOMLSLIIPFFEE66DA,坡道機械,0,10.04,
RPPRMLNLIIPFFEE58DA,坡道平面,0,18.13,
RPWNMLNLIIPFFEE88DA,坡道平面,0,22.28,
RPWNMLNLIIPFFEE88DA,坡道平面,0,22.28,
RPQOMLPJJIPFFEE48DA,坡道機械,0,7.05,
RPWNMLTJJIPFFEE76DA,坡道平面,0,,
RPQNMLTJJIPFFEE78DA,坡道平面,0,22.57,
RPPOMLTJJIPFFEE78DA,坡道機械,0,6.65,
RPRNMLSKIIPFFFE88DA,坡道平面,0,23.53,地下一樓
RPRNMLSKIIPFFFE88DA,坡道平面,0,23.53,地下一樓
RPQNMLSKIIPFFFE78DA,坡道平面,0,23.53,地下三樓
RPQNMLSKIIPFFFE78DA,坡道平面,0,23.53,地下三樓
