鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新興區,建物,高雄市新興區復興一路31~60號,0.0,商,,,1091008,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0720505,45.38,1,0,1,有,有,有,8000,176,,0.0,0,高雄市政府包租代管計畫,RPVNMLMKIIPFFBE38CC
新興區,建物,高雄市新興區中正三路61~90號,0.0,商,,,1090919,土地0建物0車位0,八層,8,華廈(10層含以下有電梯),,鋼筋混凝土造,0720228,16.97,1,0,1,有,無,有,6500,383,,0.0,0,承租分租之一部分房間,RPPOMLMKIIPFFBE87CC
新興區,建物,高雄市新興區南臺路151~180號,0.0,商,,,1090924,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0710114,63.83,2,1,1,有,無,有,9800,154,,0.0,0,,RPSOMLMKIIPFFBE18CC
新興區,建物,高雄市新興區南臺路151~180號,0.0,商,,,1091002,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0710114,63.83,2,1,1,有,無,有,9500,149,,0.0,0,,RPTOMLMKIIPFFBE28CC
苓雅區,房地(土地+建物),高雄市苓雅區興中一路7巷31~60號,49.0,商,,,1091008,土地1建物1車位0,全,2,透天厝,,加強磚造,0600910,80.62,2,2,2,有,無,有,16000,198,,0.0,0,,RPQPMLMKIIPFFBE08CC
三民區,建物,高雄市三民區山東街1~30號,0.0,住,,,1090917,土地0建物0車位0,全,3,透天厝,,加強磚造,0621224,25.01,1,0,1,有,無,有,6500,260,,0.0,0,含增建或未登記建物。;承租分租之一部分房間,RPTOMLMKIIPFFDE48CC
三民區,建物,高雄市三民區察哈爾二街289巷1~30號,0.0,住,,,1090925,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680926,61.89,2,1,1,有,無,有,8000,129,,0.0,0,,RPRPMLMKIIPFFDE38CC
左營區,房地(土地+建物),高雄市左營區自由二路61~90號,96.0,住,,,1091008,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0830517,69.27,0,0,0,無,無,無,30000,433,,0.0,0,,RPRNMLMKIIPFFEE28CC
左營區,建物,高雄市左營區明誠二路181~210號,0.0,住,,,1090919,土地0建物0車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821120,95.83000000000001,2,1,1,有,有,有,9000,94,,0.0,0,,RPWNMLMKIIPFFEE78CC
