編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLMKIIPFFDE48CC,47,25.01,,加強磚造,62年12月24日,三層,
RPQPMLMKIIPFFBE08CC,49,80.62,,加強磚造,60年9月10日,二層,
RPVNMLMKIIPFFBE38CC,37,37.68,,鋼筋混凝土造,72年5月5日,十二層,
RPVNMLMKIIPFFBE38CC,37,7.70,,鋼筋混凝土造,72年5月5日,十二層,
RPTOMLMKIIPFFBE28CC,39,63.83,,鋼筋混凝土造,71年1月14日,四層,
RPPOMLMKIIPFFBE87CC,38,14.98,,鋼筋混凝土造,72年2月28日,八層,
RPPOMLMKIIPFFBE87CC,38,1.99,,鋼筋混凝土造,72年2月28日,八層,
RPOPMLMKIIPFFEE18CC,19,76.48,住家用,見使用執照,90年6月26日,十四層,
RPOPMLMKIIPFFEE18CC,19,30.83,見使用執照,見其它登記事項,90年6月26日,十四層,
RPWNMLMKIIPFFEE78CC,27,79.68,住家用,鋼筋混凝土造,82年11月20日,十四層,
RPWNMLMKIIPFFEE78CC,27,16.15,見使用執照,鋼筋混凝土造,82年11月20日,十四層,
RPSOMLMKIIPFFBE18CC,39,63.83,,鋼筋混凝土造,71年1月14日,四層,
RPRNMLMKIIPFFEE28CC,26,69.27,住商用,鋼筋混凝土造,83年5月17日,五層,
RPRPMLMKIIPFFDE38CC,41,61.89,,鋼筋混凝土造,68年9月26日,五層,
RPRPMLMKIIPFFEE48CC,8,46.38,住商用,鋼筋混凝土造,101年7月5日,五層,
RPSPMLMKIIPFFEE58CC,8,96.76,住商用,鋼筋混凝土造,101年7月5日,五層,
RPUPMLMKIIPFFEE78CC,45,106.04,住家用,加強磚造,65年1月6日,二層,
RPXPMLMKIIPFFEE09CC,51,86.09,住商用,加強磚造,58年8月1日,三層,
RPOQMLMKIIPFFEE28CC,51,64.17,住商用,加強磚造,58年8月1日,三層,
RPWPMLMKIIPFFEE98CC,27,103.20,住商用,鋼筋混凝土造,82年11月17日,八層,
RPWPMLMKIIPFFEE98CC,27,15.82,見使用執照,鋼筋混凝土造,82年11月17日,八層,
RPSNMLNKIIPFFGE68CC,50,73.20,住家用,加強磚造,59年5月15日,二層,
RPQPMLMKIIPFFGE58CC,27,80.35,住家用,鋼筋混凝土造,82年7月15日,十二層,
RPQPMLMKIIPFFGE58CC,27,26.61,共有部分,鋼筋混凝土造,82年7月15日,十二層,
RPTNMLNKIIPFFGE78CC,48,164.40,住商用,加強磚造,61年12月30日,三層,
RPWSMLMKIIPFFGE86CC,6,450.49,見其它登記事項,見其它登記事項,103年7月15日,四層,
RPVNMLMKIIPFFFE78CC,27,16.45,住家用,鋼筋混凝土造,82年12月20日,十六層,
RPVNMLMKIIPFFFE78CC,27,6.71,見其它登記事項,鋼筋混凝土造,82年12月20日,十六層,
RPTOMLNKIIPFFGE88CC,47,86.15,住商用,加強磚造,62年12月5日,二層,
RPSOMLNKIIPFFGE78CC,27,90.52,住家用,鋼筋混凝土造,82年7月15日,十二層,
RPSOMLNKIIPFFGE78CC,27,26.18,共有部分,鋼筋混凝土造,82年7月15日,十二層,
RPVRMLMKIIPFFGE66CC,4,65.41,見其它登記事項,見其它登記事項,105年8月11日,十五層,
RPVRMLMKIIPFFGE66CC,4,35.22,見其它登記事項,見其它登記事項,105年8月11日,十五層,
RPTPMLNKIIPFFGE98CC,30,173.95,住商用,鋼筋混凝土造,79年5月12日,十二層,
RPPNMLNKIIPFFEE18CC,31,159.27,住家用,鋼筋混凝土造,78年6月12日,十七層,
RPQNMLNKIIPFFCE08CC,38,88.82,,鋼筋混凝土造,71年10月29日,五層,
RPROMLNKIIPFFAE08CC,15,143.61,住家用,鋼筋混凝土造,95年2月9日,十四層,
RPVNMLNKIIPFFBE48CC,37,22.99,,鋼筋混凝土造,72年10月27日,五層,
