編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTOMLMKIIPFFDE48CC,大港段二小段,.00,都市：住,全筆移轉
RPQPMLMKIIPFFBE08CC,林德官段一小段,49.00,都市：商,全筆移轉
RPVNMLMKIIPFFBE38CC,新興段三小段,.00,都市：商,全筆移轉
RPTOMLMKIIPFFBE28CC,新興段四小段,.00,都市：商,全筆移轉
RPPOMLMKIIPFFBE87CC,新興段一小段,.00,都市：商,全筆移轉
RPOPMLMKIIPFFEE18CC,新光段,.00,都市：商,全筆移轉
RPWNMLMKIIPFFEE78CC,新庄段十二小段,.00,都市：住,全筆移轉
RPSOMLMKIIPFFBE18CC,新興段四小段,.00,都市：商,全筆移轉
RPRNMLMKIIPFFEE28CC,新庄段十二小段,96.00,都市：住,全筆移轉
RPRPMLMKIIPFFDE38CC,三塊厝段四小段,.00,都市：住,全筆移轉
RPRPMLMKIIPFFEE48CC,新福段七小段,.00,都市：住,全筆移轉
RPSPMLMKIIPFFEE58CC,新福段七小段,.00,都市：住,全筆移轉
RPUPMLMKIIPFFEE78CC,藍田段二小段,8.00,都市：住,全筆移轉
RPXPMLMKIIPFFEE09CC,楠都段一小段,.00,都市：商,全筆移轉
RPUPMLMKIIPFFEE78CC,藍田段二小段,143.00,都市：住,全筆移轉
RPOQMLMKIIPFFEE28CC,楠都段一小段,.00,都市：商,全筆移轉
RPWPMLMKIIPFFEE98CC,楠梓段五小段,.00,都市：住,全筆移轉
RPQOMLMKIIPFFLE98CC,翁公園段二小段,330.57,都市：農,全筆移轉
RPTNMLNKIIPFFLE66CC,大寮段芎蕉腳小段,198.34,都市：農,全筆移轉
RPSNMLNKIIPFFGE68CC,五甲段,43.00,都市：住,全筆移轉
RPQPMLMKIIPFFGE58CC,新甲段,.00,都市：住,全筆移轉
RPTNMLNKIIPFFGE78CC,五甲段,60.00,都市：住,全筆移轉
RPTNMLNKIIPFFGE78CC,五甲段,3.00,都市：住,全筆移轉
RPWSMLMKIIPFFGE86CC,鳳翔段,.00,都市：住,全筆移轉
RPVNMLMKIIPFFFE78CC,文化段,.00,都市：住,全筆移轉
RPTOMLNKIIPFFGE88CC,五甲段,67.00,都市：住,全筆移轉
RPSOMLNKIIPFFGE78CC,新甲段,20.31,都市：住,全筆移轉
RPVRMLMKIIPFFGE66CC,鳳青段,.00,都市：住,全筆移轉
RPTPMLNKIIPFFGE98CC,新庄子段,24.76,都市：住,全筆移轉
RPPOMLMKIIPFFJE68CC,圍子內段,555.00,都市：農,全筆移轉
RPUOMLNKIIPFFCE58CC,憲德段,155.00,都市：住,全筆移轉
RPPNMLNKIIPFFEE18CC,新庄段十三小段,581.00,都市：商,全筆移轉
RPQNMLNKIIPFFCE08CC,店鎮段一小段,.00,都市：商,全筆移轉
RPROMLNKIIPFFAE08CC,青海段,13.79,都市：商,全筆移轉
RPVNMLNKIIPFFBE48CC,武聖段,.00,都市：住,全筆移轉
RPVNMLNKIIPFFBE48CC,武聖段,.00,都市：住,全筆移轉
RPPPMLNKIIPFFCE18CC,憲德段一小段,66.17,都市：住,全筆移轉
RPPPMLNKIIPFFCE18CC,憲德段一小段,.14,都市：住,全筆移轉
RPPPMLNKIIPFFCE18CC,憲德段一小段,.83,都市：住,全筆移轉
RPXOMLNKIIPFFBE78CC,五權段,24.00,都市：住,全筆移轉
RPXOMLNKIIPFFBE78CC,五權段,5.50,都市：住,全筆移轉
RPQNMLOKIIPFFAE97CC,青海段,.00,都市：商,全筆移轉
RPSOMLOKIIPFFAE28CC,龍華段八小段,10.47,都市：商,全筆移轉
RPOPMLNKIIPFFCE08CC,憲德段一小段,72.00,都市：商,全筆移轉
RPUOMLNKIIPFFEE78CC,新庄段二小段,69.00,都市：商,全筆移轉
RPXOMLOKIIPFFAE78CC,龍華段八小段,12.08,都市：商,全筆移轉
RPOPMLOKIIPFFAE97CC,龍華段四小段,13.53,都市：住,全筆移轉
RPPPMLOKIIPFFAE08CC,前金段,4.18,都市：商,全筆移轉
RPWOMLOKIIPFFBE78CC,新興段三小段,.00,都市：商,全筆移轉
RPSOMLOKIIPFFBE38CC,新興段四小段,89.80,都市：商,全筆移轉
RPTPMLOKIIPFFBE58CC,苓洲段,5.36,都市：商,全筆移轉
RPUPMLOKIIPFFBE68CC,新興段二小段,9.22,都市：商,全筆移轉
RPUNMLOKIIPFFCE58CC,草衙段二小段,.00,都市：商,全筆移轉
RPSOMLOKIIPFFCE48CC,盛興段,14.37,都市：住,全筆移轉
RPOPMLOKIIPFFCE18CC,光華段一小段,.00,都市：住,全筆移轉
RPOPMLOKIIPFFCE18CC,光華段一小段,.00,都市：商,全筆移轉
RPPPMLOKIIPFFCE28CC,愛群段,8.83,都市：商,全筆移轉
RPXNMLOKIIPFFDE98CC,建昌段,.00,都市：住,全筆移轉
RPXNMLOKIIPFFDE98CC,建昌段,.00,都市：住,全筆移轉
RPPOMLOKIIPFFCE18CC,愛群段,15.54,都市：商,全筆移轉
RPPPMLOKIIPFFDE38CC,大港段三小段,85.00,都市：住,全筆移轉
RPUOMLOKIIPFFDE78CC,中華段二小段,13.57,都市：商,全筆移轉
RPUOMLOKIIPFFDE78CC,三塊厝段二小段,.08,都市：商,全筆移轉
RPOQMLOKIIPFFDE38CC,建豐段,6.85,都市：商,全筆移轉
RPSPMLOKIIPFFDE68CC,獅頭段一小段,10.06,都市：商,全筆移轉
RPSPMLOKIIPFFEE78CC,新庄段十二小段,42.14,都市：住,全筆移轉
