編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPROMLNKIIPFFAE08CC,坡道平面,0,23.78,地下三樓
RPQNMLOKIIPFFAE97CC,坡道機械,0,16.70,
RPSOMLOKIIPFFAE28CC,坡道平面,0,19.34,地下一樓
RPOPMLOKIIPFFAE97CC,坡道平面,0,,地下一樓
RPUPMLOKIIPFFBE68CC,坡道機械,0,14.89,地下三樓
RPSOMLOKIIPFFCE48CC,坡道平面,0,,地下一樓
RPOPMLOKIIPFFCE18CC,坡道平面,0,15.25,地下二樓
RPPPMLOKIIPFFCE28CC,坡道機械,0,12.58,地下五樓含以下
RPPOMLOKIIPFFCE18CC,坡道平面,0,22.04,地下三樓
RPUOMLOKIIPFFDE78CC,坡道平面,0,21.40,地下二樓
RPWPMLPKIIPFFEE66CC,坡道平面,0,18.64,
RPWNMLPKIIPFFCE88CC,坡道平面,0,26.32,地下五樓含以下
RPUOMLPKIIPFFBE68CC,升降機械,0,4.93,地下一樓
RPPPMLPKIIPFFBE28CC,坡道平面,0,15.85,地下三樓
RPSOMLPKIIPFFAE38CC,坡道平面,0,26.77,地下三樓
RPPOMLQKIIPFFBE28CC,坡道平面,2200,14.64,地下二樓
RPQOMLQKIIPFFBE38CC,坡道平面,1500,12.66,地下五樓含以下
RPSQMLQKIIPFFGE66CC,坡道平面,0,21.67,地下一樓
RPTNMLTKIIPFFGE76CC,坡道平面,0,,地下一樓
RPRQMLTKIIPFFGE86CC,坡道平面,0,18.85,地下三樓
RPXPMLTKIIPFFEE17CC,坡道平面,0,21.38,
RPWNMLKLIIPFFDE58CC,坡道機械,0,11.01,地下三樓
RPSOMLKLIIPFFDE28CC,升降機械,2083,21.44,地下一樓
