鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
土城區,房地(土地+建物)+車位,中華路一段211~240號,24.78,都市：其他:商業區,,,1090420,土地1建物1車位1,十八層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081120,199.67000000000002,1,0,0,有,有,20850000,116221,坡道平面,39.63,2250000,工程折讓13萬元,RPQSMLPJQHPFFAF56DA,88.01,5.0,11.98,有
土城區,房地(土地+建物)+車位,中央路二段61巷31~60號,31.24,都市：其他:第二種商業區,,,1090604,土地1建物1車位1,二十二層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,202.97,4,2,2,有,有,23800000,128160,坡道平面,32.48,1950000,,RPVOMLSKQHPFFAF07DA,104.16,5.36,11.66,有
土城區,房地(土地+建物)+車位,中央路二段21巷121~150號,28.83,都市：其他:第二種商業區,,,1090912,土地1建物1車位1,二十二層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,189.88,3,2,2,有,有,22290000,127954,坡道平面,32.48,2150000,,RPTNMLPLRHPFFAF66DA,96.61,6.26,9.0,有
土城區,房地(土地+建物)+車位,中央路二段21巷91~120號,28.11,都市：其他:第二種商業區,,,1090911,土地1建物1車位1,十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,184.32999999999998,3,2,2,有,有,21350000,126441,坡道平面,32.48,2150000,,RPUNMLPLRHPFFAF76DA,93.04,6.26,9.0,有
土城區,房地(土地+建物)+車位,中央路二段61巷31~60號,31.0,都市：其他:第二種商業區,,,1090919,土地1建物1車位1,四層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,206.7,4,2,2,有,有,24120000,129061,坡道平面,38.02,2350000,,RPQRMLSLRHPFFAF07DA,102.77,5.36,11.65,有
板橋區,房地(土地+建物),南雅西路二段38巷1~30號,31.5,都市：其他:住宅區,,,1091004,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0640925,87.41,3,2,2,有,無,12000000,137284,,0.0,0,,RPTQMLQJIIPFFAF68DA,73.9,0.0,13.51,無
板橋區,房地(土地+建物),國慶路167巷1~30號,23.33,都市：其他:住宅區,,,1090920,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720425,81.58,3,0,3,有,無,9350000,114611,,0.0,0,陽台外推;,RPQOMLSJIIPFFAF38DA,67.18,0.0,14.4,無
土城區,房地(土地+建物)+車位,中央路二段61巷1~30號,32.44,都市：其他:第二種商業區,,,1090912,土地1建物1車位2,二十四層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,245.45,4,2,2,有,有,26600000,131633,坡道平面,76.04,4300000,,RPVNMLSLRHPFFAF17DA,103.3,5.36,11.65,有
土城區,房地(土地+建物)+車位,中央路二段61巷1~30號,30.76,都市：其他:第二種商業區,,,1090929,土地1建物1車位1,十三層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,199.53,4,2,2,有,有,23060000,126369,坡道平面,32.48,1950000,,RPXQMLMKIIPFFAF78DA,101.91,5.36,11.65,有
