編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQRMLSLRHPFFAF07DA,3,119.78,見其他登記事項,鋼筋混凝土造,106年12月13日,二十五層,四層
RPQRMLSLRHPFFAF07DA,3,33.45,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPQRMLSLRHPFFAF07DA,3,52.41,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPQRMLSLRHPFFAF07DA,3,1.07,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPTNMLPLRHPFFAF66DA,3,111.87,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,二十二層
RPTNMLPLRHPFFAF66DA,3,31.25,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPTNMLPLRHPFFAF66DA,3,45.77,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPTNMLPLRHPFFAF66DA,3,.99,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPXQMLMKIIPFFAF78DA,3,118.92,見其他登記事項,鋼筋混凝土造,106年12月13日,二十六層,十三層
RPXQMLMKIIPFFAF78DA,3,33.05,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPXQMLMKIIPFFAF78DA,3,46.50,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPXQMLMKIIPFFAF78DA,3,1.06,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVNMLSLRHPFFAF17DA,3,120.31,見其他登記事項,鋼筋混凝土造,106年12月13日,二十六層,二十四層
RPVNMLSLRHPFFAF17DA,3,33.65,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVNMLSLRHPFFAF17DA,3,90.43,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVNMLSLRHPFFAF17DA,3,1.07,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVOMLSKQHPFFAF07DA,2,60.58,見其他登記事項,鋼筋混凝土造,106年12月13日,二十七層,二十二層
RPVOMLSKQHPFFAF07DA,2,60.58,見其他登記事項,鋼筋混凝土造,106年12月13日,二十七層,二十二層
RPVOMLSKQHPFFAF07DA,2,16.92,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVOMLSKQHPFFAF07DA,2,16.92,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVOMLSKQHPFFAF07DA,2,23.44,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVOMLSKQHPFFAF07DA,2,23.44,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVOMLSKQHPFFAF07DA,2,.54,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPVOMLSKQHPFFAF07DA,2,.54,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPUNMLPLRHPFFAF76DA,3,54.15,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,十三層
RPUNMLPLRHPFFAF76DA,3,54.15,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,十三層
RPUNMLPLRHPFFAF76DA,3,15.02,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPUNMLPLRHPFFAF76DA,3,15.02,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPUNMLPLRHPFFAF76DA,3,22.51,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPUNMLPLRHPFFAF76DA,3,22.51,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPUNMLPLRHPFFAF76DA,3,.48,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPUNMLPLRHPFFAF76DA,3,.48,見其他登記事項,鋼筋混凝土造,106年12月13日,二十八層,
RPQSMLPJQHPFFAF56DA,,104.99,見其他登記事項,見其他登記事項,108年11月20日,三十二層,十八層
RPQSMLPJQHPFFAF56DA,,18.22,見其他登記事項,見其他登記事項,108年11月20日,三十二層,
RPQSMLPJQHPFFAF56DA,,33.36,見其他登記事項,見其他登記事項,108年11月20日,三十二層,
RPQSMLPJQHPFFAF56DA,,3.47,見其他登記事項,見其他登記事項,108年11月20日,三十二層,
RPQSMLPJQHPFFAF56DA,,39.63,見其他登記事項,見其他登記事項,108年11月20日,三十二層,
RPPRMLTKIIPFFAF78DA,,91.66,住家用,鋼筋混凝土造,,五層,五層
RPUPMLLLIIPFFAF38DA,32,111.06,住家用,鋼筋混凝土造,77年7月7日,五層,四層
RPUPMLLLIIPFFAF38DA,32,16.00,見使用執照,鋼筋混凝土造,77年7月7日,五層,
RPTQMLQJIIPFFAF68DA,45,87.41,住家用,加強磚造,64年9月25日,四層,一層
RPQOMLSJIIPFFAF38DA,37,81.58,住家用,鋼筋混凝土造,72年4月25日,五層,二層
YPWOMLRLIIPFFAF17DA,,75.36,住家用,加強磚造,,四層,四層 陽台
RPWOMLRLIIPFFAF09DA,,61.60,住家用,加強磚造,,四層,一層 平台
VPWOMLRLIIPFFAF86DA,,65.76,住家用,加強磚造,,四層,二層 陽台
TPWOMLRLIIPFFAF66DA,,65.76,住家用,加強磚造,,四層,三層 陽台
SPWOMLRLIIPFFAF56DA,,61.60,住家用,加強磚造,,四層,二層 陽台
WPWOMLRLIIPFFAF96DA,,65.76,住家用,加強磚造,,四層,三層 陽台
UPWOMLRLIIPFFAF76DA,,65.76,住家用,加強磚造,,四層,三層 陽台
XPWOMLRLIIPFFAF07DA,,75.36,住家用,加強磚造,,四層,三層 陽台
RPSNMLNJJIPFFAF08DA,2,.02,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,一層
RPSNMLNJJIPFFAF08DA,2,27.25,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,
RPWNMLNJJIPFFAF48DA,2,.02,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,一層
RPWNMLNJJIPFFAF48DA,2,27.25,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,
RPPOMLNJJIPFFAF87DA,2,.02,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,一層
RPPOMLNJJIPFFAF87DA,2,27.25,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,
RPTOMLNJJIPFFAF28DA,2,.02,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,一層
RPTOMLNJJIPFFAF28DA,2,27.25,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,
RPQQMLSLIIPFFAF78DA,10,86.59,住家用,見其他登記事項,99年7月15日,四十三層,十七層
