編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQRMLSLRHPFFAF07DA,員和段,31.00,都市：其他:第二種商業區,持分移轉
RPTNMLPLRHPFFAF66DA,員和段,28.83,都市：其他:第二種商業區,持分移轉
RPXQMLMKIIPFFAF78DA,員和段,30.76,都市：其他:第二種商業區,持分移轉
RPVNMLSLRHPFFAF17DA,員和段,32.44,都市：其他:第二種商業區,持分移轉
RPVOMLSKQHPFFAF07DA,員和段,15.62,都市：其他:第二種商業區,持分移轉
RPVOMLSKQHPFFAF07DA,員和段,15.62,都市：其他:第二種商業區,持分移轉
RPUNMLPLRHPFFAF76DA,員和段,14.06,都市：其他:第二種商業區,持分移轉
RPUNMLPLRHPFFAF76DA,員和段,14.06,都市：其他:第二種商業區,持分移轉
RPQSMLPJQHPFFAF56DA,福華段,24.78,都市：其他:商業區,持分移轉
RPPRMLTKIIPFFAF78DA,永安段,26.84,都市：其他:住宅區(再),持分移轉
RPUPMLLLIIPFFAF38DA,學成段,31.39,都市：其他:第二種住宅區,持分移轉
RPTQMLQJIIPFFAF68DA,府中段,31.50,都市：其他:住宅區,持分移轉
RPQOMLSJIIPFFAF38DA,仁愛段,23.33,都市：其他:住宅區,持分移轉
YPWOMLRLIIPFFAF17DA,江子翠段第一崁小段,24.33,都市：其他:住宅區,持分移轉
RPWOMLRLIIPFFAF09DA,江子翠段第一崁小段,20.33,都市：其他:住宅區,持分移轉
VPWOMLRLIIPFFAF86DA,江子翠段第一崁小段,23.33,都市：其他:住宅區,持分移轉
TPWOMLRLIIPFFAF66DA,江子翠段第一崁小段,22.00,都市：其他:住宅區,持分移轉
SPWOMLRLIIPFFAF56DA,江子翠段第一崁小段,20.33,都市：其他:住宅區,持分移轉
WPWOMLRLIIPFFAF96DA,江子翠段第一崁小段,23.33,都市：其他:住宅區,持分移轉
UPWOMLRLIIPFFAF76DA,江子翠段第一崁小段,22.67,都市：其他:住宅區,持分移轉
