鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
淡水區,房地(土地+建物)+車位,公司田段1~30地號,17.79,住,,,1091005,土地1建物1車位1,二十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.57,2,2,2,有,無,9020000,83112,坡道平面,40.09,1500000,,RPRQMLOKIIPFFEF78CB
淡水區,房地(土地+建物)+車位,公司田段1~30地號,17.37,住,,,1091005,土地1建物1車位1,二十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.39,2,2,2,有,無,8940000,83126,坡道平面,40.09,1600000,,RPVQMLOKIIPFFEF56CB
淡水區,房地(土地+建物)+車位,公司田段1~30地號,17.72,住,,,1090616,土地1建物1車位1,十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.27,2,2,2,有,無,8620000,80617,坡道平面,40.09,1350000,,RPWQMLOKIIPFFEF66CB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,10.16,住,,,1080318,土地1建物1車位1,七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.83,2,2,1,有,無,12270000,126663,坡道平面,18.17,1800000,,RPTWMLKLIIPFFBF09DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,16.61,住,,,1080316,土地1建物1車位1,三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.79,3,2,2,有,無,16420000,106190,坡道平面,18.17,1700000,,RPXWMLKLIIPFFBF86DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,10.05,住,,,1080317,土地1建物1車位1,三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.26,2,2,1,有,無,11380000,119138,坡道平面,18.17,1600000,,RPONNLKLIIPFFBF77DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,15.15,住,,,1080404,土地1建物1車位1,二十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.84,2,2,2,有,無,16980000,120793,坡道平面,18.17,1800000,,RPPNNLKLIIPFFBF87DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,14.99,住,,,1080414,土地1建物1車位1,六層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.75,2,2,2,有,無,15300000,110817,坡道平面,16.22,1500000,,RPQNNLKLIIPFFBF97DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,10.21,住,,,1080413,土地1建物1車位1,十層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.16,2,2,1,有,無,11720000,121942,坡道平面,18.17,1600000,,RPRNNLKLIIPFFBF08DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,10.21,住,,,1080527,土地1建物1車位1,二十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.21,2,2,1,有,無,11600000,120496,坡道平面,16.22,1600000,售價包含裝潢或家電。;,RPTNNLKLIIPFFBF28DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,11.07,住,,,1080611,土地1建物1車位2,七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.36,2,2,1,有,無,13100000,112764,坡道平面,36.34,3400000,,RPUNNLKLIIPFFBF38DB
林口區,房地(土地+建物)+車位,力行段1141~1170地號,10.48,住,,,1080626,土地1建物1車位1,九層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.41,2,2,1,有,無,11600000,117183,坡道平面,16.22,1500000,,RPVNNLKLIIPFFBF48DB
