編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXWMLKLIIPFFBF86DB,力行段,16.61,都市：住,持分移轉
RPRQMLOKIIPFFEF78CB,公司田段,17.79,都市：住,持分移轉
RPQNNLKLIIPFFBF97DB,力行段,14.99,都市：住,持分移轉
RPVQMLOKIIPFFEF56CB,公司田段,17.37,都市：住,持分移轉
RPONNLKLIIPFFBF77DB,力行段,10.05,都市：住,持分移轉
RPWQMLOKIIPFFEF66CB,公司田段,17.72,都市：住,持分移轉
RPTNNLKLIIPFFBF28DB,力行段,10.21,都市：住,持分移轉
RPRNNLKLIIPFFBF08DB,力行段,10.21,都市：住,持分移轉
RPPNNLKLIIPFFBF87DB,力行段,15.15,都市：住,持分移轉
RPTWMLKLIIPFFBF09DB,力行段,10.16,都市：住,持分移轉
RPUNNLKLIIPFFBF38DB,力行段,11.07,都市：住,持分移轉
RPVNNLKLIIPFFBF48DB,力行段,10.48,都市：住,持分移轉
