鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物),新北市板橋區溪北路61~90號,112.84,住,,,1091008,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,217.14,0,0,0,無,無,無,18000,83,,0.0,0,,RPQOMLMKIIPFFAF97CC
土城區,建物,新北市土城區延和路105巷8弄1~30號,0.0,住,,,1090914,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720914,89.78,3,1,2,有,無,有,15000,167,,0.0,0,,RPTOMLMKIIPFFAF28CC
土城區,建物,新北市土城區學府路一段37巷1~30號,0.0,住,,,1090828,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771230,263.99,4,3,3,有,無,有,28000,106,,0.0,0,,RPOQMLMKIIPFFAF97CC
板橋區,建物,新北市板橋區長江路一段48巷10弄1~30號,0.0,住,,,1090925,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750204,96.87,3,1,2,有,無,有,20000,206,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為28252，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為20000。,RPRSMLMKIIPFFAF48CC
土城區,建物,新北市土城區福安街55巷1~30號,0.0,住,,,1090926,土地0建物1車位0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860202,31.689999999999998,1,0,0,無,無,有,7500,237,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為9449，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為7500。,RPUSMLMKIIPFFAF78CC
板橋區,建物,新北市板橋區民生路二段1~30號,0.0,住,,,1090920,土地0建物1車位0,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860815,76.44,2,2,1,有,有,有,20000,262,,0.0,0,,RPOTMLMKIIPFFAF28CC
新莊區,建物,新北市新莊區新北大道四段121~150號,0.0,商,,,1091004,土地0建物1車位0,八層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080308,73.12,2,1,1,有,有,有,27000,369,,0.0,0,,RPSQMLMKIIPFFBF48CC
五股區,建物,新北市五股區水碓路16巷31~60號,0.0,其他,,,1090921,土地0建物1車位0,三層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860129,43.2,1,0,0,無,有,有,10000,231,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為12456，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為10000。管理費另收457元。,RPWSMLMKIIPFFBF09CC
五股區,建物,新北市五股區芳洲七路1~30號,0.0,住,,,1090923,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040820,95.89,2,1,1,有,有,有,17000,177,坡道平面,22.83,0,,RPXTMLMKIIPFFBF66CC
淡水區,建物,新北市淡水區中正東路一段3巷14弄1~30號,0.0,工,,,1090923,土地0建物1車位0,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,140.01,2,2,2,有,有,有,24000,171,,0.0,0,租金含管理費。,RPRRMLMKIIPFFEF78CC
蘆洲區,建物,新北市蘆洲區信義路91~120號,0.0,住,,,1090916,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0641226,72.05,3,1,1,有,無,有,20000,278,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為23781，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為20000。,RPUQMLMKIIPFFGF56CC
三重區,建物,新北市三重區忠孝路二段91~120號,0.0,住,,,1090916,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841218,63.14,2,1,1,有,有,有,17100,271,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為20934，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為17100。管理費另收1885元。,RPPRMLMKIIPFFGF78CC
