編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXTMLMKIIPFFBF66CC,5,49.30,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPXTMLMKIIPFFBF66CC,5,10.77,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPXTMLMKIIPFFBF66CC,5,35.82,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPSQMLMKIIPFFBF48CC,2,46.87,見其他登記事項,鋼骨鋼筋混凝土造,108年3月8日,二十四層,
RPSQMLMKIIPFFBF48CC,2,26.25,見其他登記事項,鋼骨鋼筋混凝土造,108年3月8日,二十四層,
RPUSMLMKIIPFFAF78CC,24,24.74,住家用,鋼筋混凝土造,86年2月2日,七層,
RPUSMLMKIIPFFAF78CC,24,6.95,共有部份,鋼筋混凝土造,86年2月2日,七層,
RPRRMLMKIIPFFEF78CC,13,99.15,住家用,鋼筋混凝土造,96年11月21日,二十四層,
RPRRMLMKIIPFFEF78CC,13,40.86,共有部份,鋼筋混凝土造,96年11月21日,二十六層,
RPQOMLMKIIPFFAF97CC,,217.14,見其他登記事項,鋼筋混凝土造,,三層,
RPWSMLMKIIPFFBF09CC,24,28.19,住家用,鋼筋混凝土造,86年1月29日,九層,
RPWSMLMKIIPFFBF09CC,24,7.64,共有部份,鋼筋混凝土造,86年1月29日,九層,
RPWSMLMKIIPFFBF09CC,24,7.37,共有部份,鋼筋混凝土造,86年1月29日,九層,
RPTOMLMKIIPFFAF28CC,37,89.78,住家用,鋼筋混凝土造,72年9月14日,五層,
RPOQMLMKIIPFFAF97CC,32,263.99,住家用,鋼筋混凝土造,77年12月30日,五層,
RPRSMLMKIIPFFAF48CC,35,96.87,住家用,鋼筋混凝土造,75年2月4日,五層,
RPOTMLMKIIPFFAF28CC,23,60.63,住家用,鋼筋混凝土造,86年8月15日,二十四層,
RPOTMLMKIIPFFAF28CC,23,12.52,共有部份,鋼筋混凝土造,86年8月15日,二十四層,
RPOTMLMKIIPFFAF28CC,23,3.29,共有部份,鋼筋混凝土造,86年8月15日,二十四層,
RPUQMLMKIIPFFGF56CC,45,72.05,住家用,加強磚造,64年12月26日,四層,
RPPRMLMKIIPFFGF78CC,25,50.80,住家用,鋼筋混凝土造,84年12月18日,十二層,
RPPRMLMKIIPFFGF78CC,25,4.95,共有部份,鋼筋混凝土造,84年12月18日,十二層,
RPPRMLMKIIPFFGF78CC,25,7.39,共有部份,鋼筋混凝土造,84年12月18日,十二層,
RPVOMLMKIIPFFDF78CC,16,110.54,住家用,鋼筋混凝土造,94年4月1日,四層,
RPXOMLMKIIPFFDF98CC,9,56.44,住家用,鋼筋混凝土造,100年12月23日,二十九層,
RPORMLMKIIPFFHF78CC,17,67.07,住家用,鋼筋混凝土造,92年1月28日,十四層,
RPORMLMKIIPFFHF78CC,17,20.70,共有部份,鋼筋混凝土造,92年1月28日,十四層,
RPORMLMKIIPFFHF78CC,17,1.75,共有部份,鋼筋混凝土造,92年1月28日,十四層,
RPORMLMKIIPFFHF78CC,17,32.59,共有部份,鋼筋混凝土造,92年1月28日,十四層,
RPTOMLMKIIPFFDF58CC,1,99.09,見其他登記事項,見其他登記事項,108年4月29日,二十二層,
RPTOMLMKIIPFFDF58CC,1,25.70,見其他登記事項,見其他登記事項,108年4月29日,二十二層,
RPTOMLMKIIPFFDF58CC,1,23.69,見其他登記事項,見其他登記事項,108年4月29日,二十二層,
RPUNMLMKIIPFFIF09CC,27,87.24,住家用,鋼筋混凝土造,83年1月20日,八層,
RPUNMLMKIIPFFIF09CC,27,5.46,共有部份,鋼筋混凝土造,83年1月20日,八層,
RPUNMLMKIIPFFIF09CC,27,11.65,共有部份,鋼筋混凝土造,83年1月20日,八層,
RPUPMLMKIIPFFHF56CC,2,62.77,見其他登記事項,見其他登記事項,108年2月25日,二十七層,
RPUPMLMKIIPFFHF56CC,2,12.26,見其他登記事項,見其他登記事項,108年2月25日,二十九層,
RPUPMLMKIIPFFHF56CC,2,19.27,見其他登記事項,見其他登記事項,108年2月25日,二十七層,
RPUPMLMKIIPFFHF56CC,2,37.71,見其他登記事項,見其他登記事項,108年2月25日,二十九層,
RPSPMLMKIIPFFIF09CC,12,56.59,住家用,鋼筋混凝土造,98年1月8日,十九層,
RPSPMLMKIIPFFIF09CC,12,42.93,共有部份,鋼筋混凝土造,98年1月8日,十九層,
RPSPMLMKIIPFFIF09CC,12,16.09,共有部份,鋼筋混凝土造,98年1月8日,十九層,
RPRPMLMKIIPFFIF98CC,24,70.30,住家用,鋼筋混凝土造,85年11月6日,十二層,
RPRPMLMKIIPFFIF98CC,24,15.95,共有部份,鋼筋混凝土造,85年11月6日,十二層,
RPRPMLMKIIPFFIF98CC,24,6.05,共有部份,鋼筋混凝土造,85年11月6日,十二層,
RPXNMLMKIIPFFIF76CC,26,77.86,住家用,鋼筋混凝土造,83年12月10日,十五層,
RPXNMLMKIIPFFIF76CC,26,38.28,共有部份,鋼筋混凝土造,83年12月10日,十五層,
RPXNMLMKIIPFFIF76CC,26,18.47,共有部份,鋼筋混凝土造,83年12月10日,十五層,
RPXNMLMKIIPFFIF76CC,26,2.78,共有部份,鋼筋混凝土造,83年12月10日,十五層,
RPPNMLMKIIPFFIF58CC,1,65.38,見其他登記事項,鋼筋混凝土造,108年6月4日,十四層,
RPPNMLMKIIPFFIF58CC,1,29.93,見其他登記事項,鋼筋混凝土造,108年6月4日,十四層,
RPQPMLMKIIPFFHF98EC,5,172.91,見其他登記事項,見其他登記事項,105年1月8日,七層,
RPSPMLNKIIPFFDF88EC,25,78.83,住家用,鋼筋混凝土造,84年10月9日,五層,
RPSPMLNKIIPFFDF88EC,25,65.44,住家用,鋼筋混凝土造,84年10月9日,五層,
RPSPMLNKIIPFFDF88EC,25,47.70,共有部分,鋼筋混凝土造,84年10月9日,五層,
RPQNMLMKIIPFFCF08CC,21,72.28,住家用,鋼骨混凝土造,88年8月27日,十八層,
RPQNMLMKIIPFFCF08CC,21,18.90,共有部分,鋼骨混凝土造,88年8月27日,十八層,
RPXPMLNKIIPFFHF96CC,43,97.36,住家用,鋼筋混凝土造,66年4月16日,五層,
RPSRMLNKIIPFFDF88CC,30,228.69,住家用,鋼筋混凝土造,80年1月31日,四層,
RPSRMLNKIIPFFDF88CC,30,45.74,見其他登記事項,鋼筋混凝土造,80年1月31日,四層,
RPQRMLNKIIPFFHF09CC,24,162.91,商業用,鋼筋混凝土造,86年2月1日,十二層,
RPQRMLNKIIPFFHF09CC,24,18.96,共有部份,鋼筋混凝土造,86年2月1日,十二層,
RPSPMLNKIIPFFHF09CC,33,108.93,住家用,鋼筋混凝土造,76年7月10日,五層,
