編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXTMLMKIIPFFBF66CC,芳洲段,.00,都市：住,全筆移轉
RPSQMLMKIIPFFBF48CC,副都心段一小段,.00,都市：商,全筆移轉
RPUSMLMKIIPFFAF78CC,沛陂段,.00,都市：住,全筆移轉
RPRRMLMKIIPFFEF78CC,海鷗段,.00,都市：住,全筆移轉
RPRRMLMKIIPFFEF78CC,海鷗段,.00,都市：工,全筆移轉
RPQOMLMKIIPFFAF97CC,民生段,112.84,都市：住,全筆移轉
RPWSMLMKIIPFFBF09CC,德音段,.00,都市：其他:部分住宅區部分學校用地,全筆移轉
RPTOMLMKIIPFFAF28CC,安和段,.00,都市：住,全筆移轉
RPOQMLMKIIPFFAF97CC,板院段,.00,都市：住,全筆移轉
RPRSMLMKIIPFFAF48CC,幸福段,.00,都市：住,全筆移轉
RPOTMLMKIIPFFAF28CC,光仁段,.00,都市：住,全筆移轉
RPUQMLMKIIPFFGF56CC,樹德段,.00,都市：住,全筆移轉
RPPRMLMKIIPFFGF78CC,新海段,.00,都市：住,全筆移轉
RPVOMLMKIIPFFDF78CC,智興段,.00,都市：住,全筆移轉
RPXOMLMKIIPFFDF98CC,智興段,.00,都市：住,全筆移轉
RPORMLMKIIPFFHF78CC,南山段,16.06,都市：住,全筆移轉
RPTOMLMKIIPFFDF58CC,建成段,24.71,都市：住,全筆移轉
RPUNMLMKIIPFFIF09CC,永昌段,.00,都市：住,全筆移轉
RPUPMLMKIIPFFHF56CC,健康段,.00,都市：住,全筆移轉
RPSPMLMKIIPFFIF09CC,大學段二小段,.00,都市：商,全筆移轉
RPRPMLMKIIPFFIF98CC,育英段,10.11,都市：商,全筆移轉
RPXNMLMKIIPFFIF76CC,文林段,.00,都市：住,全筆移轉
RPPNMLMKIIPFFIF58CC,鳳鳴段,.00,都市：住,全筆移轉
RPQPMLMKIIPFFHF98EC,捷運段,.00,都市：住,全筆移轉
RPQPMLMKIIPFFHF98EC,捷運段,.00,都市：住,全筆移轉
RPSPMLNKIIPFFDF88EC,拱北段,77.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPQNMLMKIIPFFCF08CC,行政段,.00,都市：住,全筆移轉
RPXPMLNKIIPFFHF96CC,福和段,.00,都市：住,全筆移轉
RPXPMLNKIIPFFHF96CC,福和段,.00,都市：商,全筆移轉
RPSRMLNKIIPFFDF88CC,北峰段,94.54,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPQRMLNKIIPFFHF09CC,中和段,.00,都市：住,全筆移轉
RPSPMLNKIIPFFHF09CC,福美段,.00,都市：住,全筆移轉
RPWRMLNKIIPFFHF07CC,得和段,.00,都市：住,全筆移轉
RPUQMLNKIIPFFGF66CC,大安段,.00,都市：住,全筆移轉
RPSQMLNKIIPFFGF09CC,集賢段,.00,都市：住,全筆移轉
RPSQMLNKIIPFFGF09CC,集賢段,.00,都市：住,全筆移轉
RPTPMLNKIIPFFDF78CC,福德段,5.87,都市：住,全筆移轉
RPRPMLNKIIPFFDF58CC,崇德段,6.45,都市：住,全筆移轉
RPPQMLNKIIPFFDF48CC,北山段,.00,都市：住,全筆移轉
RPSPMLNKIIPFFCF58CC,民安段,.00,都市：住,全筆移轉
RPWQMLNKIIPFFGF86CC,大同南段,.00,都市：商,全筆移轉
RPWQMLNKIIPFFGF86CC,大同南段,.00,都市：商,全筆移轉
RPWQMLNKIIPFFGF86CC,大同南段,.00,都市：商,全筆移轉
RPRRMLNKIIPFFDF78CC,水源段,.00,都市：住,全筆移轉
RPRRMLNKIIPFFDF78CC,水源段,.00,都市：其他:保護區,全筆移轉
RPUOMLMKIIPFFCF58CC,北宜段,.00,都市：商,全筆移轉
RPRSMLNKIIPFFGF56CC,大同南段,.00,都市：住,全筆移轉
RPQRMLNKIIPFFEF78CC,新巿段,7.66,都市：商,全筆移轉
RPWQMLNKIIPFFBF98CC,芳洲段,.00,都市：住,全筆移轉
RPXVMLNKIIPFFBF96CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPQOMLNKIIPFFEF48CC,淡海段,17.55,都市：住,全筆移轉
