編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXTMLMKIIPFFBF66CC,坡道平面,0,22.83,地下一樓
RPORMLMKIIPFFHF78CC,坡道平面,0,32.59,
RPTOMLMKIIPFFDF58CC,坡道平面,0,35.86,
RPUPMLMKIIPFFHF56CC,坡道平面,0,37.71,地下四樓
RPSPMLMKIIPFFIF09CC,坡道平面,0,30.05,地下五樓含以下
RPSPMLNKIIPFFDF88EC,坡道平面,0,,
RPSRMLNKIIPFFDF88CC,坡道平面,0,22.87,
RPSRMLNKIIPFFDF88CC,坡道平面,0,22.87,
RPUOMLMKIIPFFCF58CC,升降機械,0,,
RPQRMLNKIIPFFEF78CC,坡道機械,0,15.42,
RPWQMLNKIIPFFBF98CC,坡道平面,3000,26.49,
RPXVMLNKIIPFFBF96CC,坡道平面,0,,地下一樓
RPQOMLNKIIPFFEF48CC,坡道平面,0,37.86,
RPVOMLOKIIPFFBF78CC,坡道平面,0,17.52,地下四樓
RPPPMLOKIIPFFBF28CC,坡道平面,0,17.31,地下二樓
RPQSMLOKIIPFFBF68CC,坡道平面,0,15.12,地下三樓
RPRVMLNKIIPFFBF98CC,坡道平面,0,38.70,地下四樓
RPOOMLNKIIPFFEF28CC,坡道平面,0,37.86,
RPTTMLOKIIPFFAF98CC,坡道平面,2700,30.90,
RPXQMLOKIIPFFEF86CC,坡道平面,0,26.54,
RPPUMLOKIIPFFAF68CC,坡道機械,3000,12.70,
RPQPMLOKIIPFFBF38CC,坡道平面,0,,
RPVQMLNKIIPFFBF88CC,坡道平面,3000,35.78,
RPWNMLOKIIPFFDF98CC,坡道平面,0,35.86,
RPUPMLOKIIPFFCF88CC,坡道平面,3300,29.87,
RPPOMLPKIIPFFHF88CC,坡道機械,0,,
RPWNMLPKIIPFFEF56CC,坡道平面,0,29.61,
RPQQMLPKIIPFFBF58CC,坡道平面,0,,
RPTSMLQKIIPFFBF56CC,坡道平面,0,,
RPVOMLQKIIPFFDF56CC,坡道機械,0,24.56,
RPVTMLQKIIPFFBF86CC,坡道平面,3000,28.60,
RPXPMLTKIIPFFEF27CC,坡道平面,0,15.52,
RPPUMLTKIIPFFEF96CC,坡道平面,0,21.04,
RPUWMLTKIIPFFBF37CC,坡道平面,0,,地下二樓
RPUWMLTKIIPFFBF37CC,坡道平面,0,,地下二樓
RPUWMLTKIIPFFBF37CC,坡道平面,0,,地下二樓
RPSVMLTKIIPFFBF07CC,坡道平面,0,,
RPWPMLTKIIPFFAF76CC,坡道平面,0,35.77,
RPTPMLOKIIPFFEF98CC,坡道平面,0,30.58,
RPPOMLNKIIPFFEF38CC,坡道平面,0,30.10,
RPPNMLSKIIPFFEF78CC,坡道平面,0,28.71,
RPQQMLKLIIPFFHF78CC,坡道平面,0,37.71,
RPQQMLKLIIPFFHF78CC,坡道平面,0,37.71,
RPRSMLKLIIPFFAF38CC,坡道平面,0,49.38,
RPQPMLKLIIPFFEF38CC,坡道平面,0,15.42,無固定樓層
RPWOMLKLIIPFFIF66CC,坡道平面,2000,23.41,地下一樓
RPRQMLKLIIPFFEF58CC,坡道平面,0,29.99,地下二樓
