鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
五結鄉,房地(土地+建物),五結中路二段423巷8弄1~30號,75.57,,特定農業區,甲種建築用地,1091012,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880211,166.13,5,3,3,有,無,7390000,44483,,0.0,0,增建，約15坪。1樓空地;頂樓頂樓加蓋;其他增建;,RPQNMLSLIIPFFAG58DA,134.55,31.58,0.0,無
三星鄉,房地(土地+建物),尾塹二路17巷13弄1~30號,129.83,,特定農業區,甲種建築用地,1080325,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090714,168.92,4,2,3,有,無,8800000,52096,,0.0,0,預售屋、或土地及建物分次登記案件;,RPPQMLOJJIPFFAG28DA,149.26,0.0,19.66,無
三星鄉,房地(土地+建物),尾塹二路17巷13弄1~30號,126.99,,特定農業區,甲種建築用地,1080329,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090714,168.2,4,2,3,有,無,8600000,51130,,0.0,0,預售屋、或土地及建物分次登記案件;,RPSQMLOJJIPFFAG58DA,148.12,0.0,20.08,無
五結鄉,房地(土地+建物),大吉五路157巷108弄31~60號,56.65,,特定農業區,甲種建築用地,1091017,土地5建物1車位0,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090409,64.48,2,2,1,有,有,4380000,67928,,0.0,0,預售屋、或土地及建物分次登記案件;,RPTNMLQJJIPFFAG58DA,50.11,0.0,4.13,有
三星鄉,土地,新萬貴段931~960地號,41.04,,特定農業區,甲種建築用地,1090929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,14620,,0.0,0,,RPXNMLQJJIPFFAG98DA,0.0,0.0,0.0,無
三星鄉,土地,頂義段511~540地號,3355.0,,特定農業區,農牧用地,1090917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,3577,,0.0,0,,RPPOMLQJJIPFFAG28DA,0.0,0.0,0.0,無
冬山鄉,房地(土地+建物),廣安路97巷1弄1~30號,8.21,,特定農業區,甲種建築用地,1091019,土地2建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880203,34.42,0,0,0,無,無,1000000,29053,,0.0,0,,RPPNMLRJJIPFFAG28DA,23.99,0.0,2.7,有
羅東鎮,土地,東光段1711~1740地號,32.0,都市：其他:住宅區,,,1091008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3700000,115625,,0.0,0,土地上有一棟未辦保存登記之建物,RPQNMLTJJIPFFAG58DA,0.0,0.0,0.0,無
五結鄉,房地(土地+建物)+車位,中正路三段47巷32弄181~210號,29.52,都市：其他:商業區,,,1091024,土地5建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040225,95.8,2,2,1,有,有,5500000,57411,一樓平面,0.0,0,,RPRNMLTJJIPFFAG68DA,0.0,0.0,0.0,有
三星鄉,房地(土地+建物),萬富二路31~60號,1616.51,,特定農業區,農牧用地,1090930,土地1建物2車位0,全,三層,透天厝,農舍,鋼筋混凝土造,1030417,414.44,8,4,4,有,無,21000000,50671,,0.0,0,,RPSNMLTJJIPFFAG78DA,414.44,0.0,0.0,無
