編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLTJJIPFFAG68DA,6,71.41,住家用,鋼筋混凝土造,104年2月25日,七層,六層
RPRNMLTJJIPFFAG68DA,6,24.39,見其他登記事項,鋼筋混凝土造,104年2月25日,七層,
RPQNMLSLIIPFFAG58DA,22,166.13,住家用,鋼筋混凝土造,88年2月11日,三層,一層 二層 三層
RPSQMLOJJIPFFAG58DA,,168.20,住家用,鋼筋混凝土造,109年7月14日,三層,一層 二層 三層
RPSNMLTJJIPFFAG78DA,6,363.30,農舍,鋼筋混凝土造,103年4月17日,三層,一層 二層 三層
RPSNMLTJJIPFFAG78DA,6,51.14,見其他登記事項,鋼筋混凝土造,103年4月17日,一層,一層
RPPNMLRJJIPFFAG28DA,22,26.69,住家用,鋼筋混凝土造,88年2月3日,六層,五層
RPPNMLRJJIPFFAG28DA,22,1.94,見其他登記事項,鋼筋混凝土造,88年2月3日,六層,
RPPNMLRJJIPFFAG28DA,22,5.79,見其他登記事項,鋼筋混凝土造,88年2月3日,六層,
RPSNMLSJJIPFFAG68DA,,171.61,住家用,鋼筋混凝土造,109年5月22日,三層,一層 二層 三層
RPPQMLOJJIPFFAG28DA,,168.92,住家用,鋼筋混凝土造,109年7月14日,三層,一層 二層 三層
RPTNMLQJJIPFFAG58DA,1,54.24,住家用,鋼筋混凝土造,109年4月9日,四層,一層
RPTNMLQJJIPFFAG58DA,1,9.08,見其他登記事項,鋼筋混凝土造,109年4月9日,四層,
RPTNMLQJJIPFFAG58DA,1,.63,住家用,鋼筋混凝土造,109年4月9日,四層,
RPTNMLQJJIPFFAG58DA,1,.53,住家用,鋼筋混凝土造,109年4月9日,四層,
RPPNMLKKJIPFFAG67DA,1,209.42,見其他登記事項,鋼筋混凝土造,108年10月23日,三層,一層 二層 三層 見其他登記事項
RPOOMLTJJIPFFAG58EA,41,98.76,住商用,鋼筋混凝土加強磚造,68年8月29日,二層,一層 二層 騎樓
RPOOMLTJJIPFFAG58EA,41,98.76,住商用,鋼筋混凝土加強磚造,68年8月29日,二層,一層 二層 騎樓
RPXNMLQJJIPFFBG09DA,40,148.80,住家用,鋼筋混凝土加強磚造,69年6月4日,二層,一層 二層
RPQNMLOKIIPFFBG18DA,2,38.80,見其他登記事項,鋼筋混凝土造,108年2月13日,十層,六層
RPQNMLOKIIPFFBG18DA,2,46.40,見其他登記事項,鋼筋混凝土造,108年2月13日,十層,
RPVNMLLLIIPFFBG48DA,2,38.80,見其他登記事項,鋼筋混凝土造,108年2月13日,十層,三層
RPVNMLLLIIPFFBG48DA,2,46.40,見其他登記事項,鋼筋混凝土造,108年2月13日,十層,
RPUNMLLLIIPFFBG38DA,2,38.80,見其他登記事項,鋼筋混凝土造,108年2月13日,十層,三層
RPUNMLLLIIPFFBG38DA,2,46.40,見其他登記事項,鋼筋混凝土造,108年2月13日,十層,
RPTNMLTLIIPFFBG09DA,23,137.74,住家用,鋼筋混凝土造,86年9月20日,三層,一層 二層 三層
RPSNMLPJJIPFFBG48DA,42,95.42,住家用,鋼筋混凝土加強磚造,67年5月17日,二層,一層 二層
RPVNMLTJJIPFFAG56EA,4,184.15,住家用,鋼筋混凝土造,105年9月23日,三層,一層 二層 三層
RPSNMLKKJIPFFAG08EA,5,251.79,住家用,見其他登記事項,105年1月20日,三層,一層 二層 三層
RPTOMLTJJIPFFBG09DA,27,159.60,住家用,鋼筋混凝土加強磚造,82年10月7日,三層,一層 二層 三層
RPXNMLKKJIPFFBG58DA,26,28.99,住家用,鋼筋混凝土造,83年8月20日,十二層,八層
RPXNMLKKJIPFFBG58DA,26,6.46,共有部份,鋼筋混凝土造,83年8月20日,十二層,
RPPNMLKKJIPFFBG87EA,,90.76,見其他登記事項,鋼筋混凝土造,109年7月20日,七層,二層
RPPNMLKKJIPFFBG87EA,,6.51,見其他登記事項,鋼筋混凝土造,109年7月20日,七層,
RPPNMLKKJIPFFBG87EA,,14.89,見其他登記事項,鋼筋混凝土造,109年7月20日,七層,
RPUPMLQJJIPFFBG98DA,,177.91,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPVPMLQJJIPFFBG09DA,,177.08,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPVOMLKKJIPFFBG48DA,24,369.09,住家用,鋼筋混凝土造,86年1月4日,四層,一層 二層 三層 四層
RPVNMLTJJIPFFBG56DA,2,76.23,見其他登記事項,鋼筋混凝土造,107年4月27日,二十三層,十七層
RPVNMLTJJIPFFBG56DA,2,55.06,見其他登記事項,鋼筋混凝土造,107年4月27日,二十三層,
RPVNMLTJJIPFFBG56DA,2,13.84,見其他登記事項,鋼筋混凝土造,107年4月27日,二十三層,
RPRNMLKKJIPFFBG97DA,39,70.04,住家用,鋼筋混凝土加強磚造,70年12月29日,二層,一層 二層
RPSNMLNLIIPFFBG38DA,4,237.24,見其他登記事項,鋼筋混凝土造,105年8月2日,三層,一層 二層 三層 見其他登記事項
RPSNMLNLIIPFFBG38DA,4,2.17,見其他登記事項,鋼筋混凝土造,105年8月2日,一層,
