編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLTJJIPFFAG68DA,學新段,6.79,都市：其他:商業區,持分移轉
RPRNMLTJJIPFFAG68DA,學新段,20.70,都市：其他:商業區,持分移轉
RPRNMLTJJIPFFAG68DA,學新段,.99,都市：其他:商業區,持分移轉
RPRNMLTJJIPFFAG68DA,學新段,.10,都市：其他:商業區,持分移轉
RPRNMLTJJIPFFAG68DA,學新段,.93,都市：其他:商業區,持分移轉
RPQNMLSLIIPFFAG58DA,國民二段,75.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPXNMLQJJIPFFAG98DA,新萬貴段,41.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPOMLQJJIPFFAG28DA,頂義段,3355.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPSQMLOJJIPFFAG58DA,尾塹二段,96.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSQMLOJJIPFFAG58DA,尾塹二段,.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPSQMLOJJIPFFAG58DA,尾塹二段,11.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPSQMLOJJIPFFAG58DA,尾塹二段,18.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLTJJIPFFAG58DA,東光段,32.00,都市：其他:住宅區,全筆移轉
RPSNMLTJJIPFFAG78DA,新健富段,1616.51,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLRJJIPFFAG28DA,廣安段,1.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPNMLRJJIPFFAG28DA,廣安段,7.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPSNMLSJJIPFFAG68DA,南富段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSNMLSJJIPFFAG68DA,南富段,14.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSNMLSJJIPFFAG68DA,南富段,2.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPSNMLSJJIPFFAG68DA,南富段,2.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPQMLOJJIPFFAG28DA,尾塹二段,107.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPQMLOJJIPFFAG28DA,尾塹二段,.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPQMLOJJIPFFAG28DA,尾塹二段,11.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPQMLOJJIPFFAG28DA,尾塹二段,10.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPTNMLQJJIPFFAG58DA,大吉一段,27.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLQJJIPFFAG58DA,大吉一段,.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLQJJIPFFAG58DA,大吉一段,.14,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLQJJIPFFAG58DA,大吉一段,3.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLQJJIPFFAG58DA,大吉一段,23.98,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPPNMLKKJIPFFAG67DA,隆昌段,90.48,都市：其他:住宅區,全筆移轉
RPPNMLKKJIPFFAG67DA,隆昌段,3.76,都市：其他:住宅區,全筆移轉
RPOOMLTJJIPFFAG58EA,東光段,60.50,都市：其他:商業區,持分移轉
RPOOMLTJJIPFFAG58EA,東光段,60.50,都市：其他:商業區,持分移轉
RPXNMLQJJIPFFBG09DA,玉石段,104.27,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLOKIIPFFBG18DA,烏石港段,25.10,都市：其他:住宅區,持分移轉
RPVNMLLLIIPFFBG48DA,烏石港段,25.10,都市：其他:住宅區,持分移轉
RPUNMLLLIIPFFBG38DA,烏石港段,25.10,都市：其他:住宅區,持分移轉
RPSNMLTJJIPFFBG88DA,外澳段,446.46,都市：其他:一般保護區,持分移轉
RPTNMLKKJIPFFBG18DA,湖北段,520.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLTLIIPFFBG09DA,延平段,100.33,都市：其他:農業區,持分移轉
RPSNMLPJJIPFFBG48DA,珍子滿力段擺厘小段,31.00,都市：其他:住宅區,全筆移轉
RPSNMLPJJIPFFBG48DA,珍子滿力段擺厘小段,71.00,都市：其他:住宅區,全筆移轉
RPXNMLLKJIPFFBG78EA,新公園段,64.65,都市：其他:工商綜合區(二),持分移轉
RPVNMLTJJIPFFAG56EA,新隘段,107.40,都市：其他:住宅區,全筆移轉
RPSNMLKKJIPFFAG08EA,大吉三段,203.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSNMLKKJIPFFAG08EA,大吉三段,37.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSNMLKKJIPFFAG08EA,大吉三段,8.70,非都市：特定農業區 ; 非都市編定：水利用地,持分移轉
RPSNMLKKJIPFFAG08EA,大吉三段,331.81,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPWNMLQJJIPFFBG09EA,烏石港段,4807.69,都市：其他:商業區,持分移轉
RPTNMLKKJIPFFAG18EA,南安段,66.00,都市：其他:工業區,持分移轉
RPTNMLKKJIPFFAG18EA,南安段,19.50,都市：其他:工業區,持分移轉
RPSOMLKKJIPFFAG18EA,碧候一段,6130.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLKKJIPFFBG28DA,枕山一段,2512.89,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPWNMLKKJIPFFBG48DA,吉祥二段,2710.75,都市：其他:農業區,全筆移轉
RPTOMLTJJIPFFBG09DA,五權段,78.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPTOMLTJJIPFFBG09DA,五權段,2.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPOMLKKJIPFFBG87DA,,27.76,都市：其他:住宅區,持分移轉
RPPOMLKKJIPFFBG87DA,,5.32,都市：其他:道路用地,持分移轉
RPPOMLKKJIPFFBG87DA,,3.07,都市：其他:住宅區,持分移轉
RPVNMLQJJIPFFBG98EA,烏石港段,2060.44,都市：其他:,持分移轉
RPXNMLKKJIPFFBG58DA,新生段,3.21,都市：其他:商業區,持分移轉
RPXNMLKKJIPFFBG58DA,新生段,.42,都市：其他:道路用地,持分移轉
RPWOMLKKJIPFFBG58DA,水源段,431.11,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLKKJIPFFBG87EA,拔雅林三段,15.28,都市：其他:住宅區,持分移轉
RPPNMLKKJIPFFBG87EA,拔雅林三段,23.57,都市：其他:住宅區,持分移轉
RPPNMLKKJIPFFBG87EA,拔雅林三段,7.60,都市：其他:住宅區,持分移轉
RPXNMLLKJIPFFBG68DA,新公園段,64.65,都市：其他:工商綜合區(二),持分移轉
RPUPMLQJJIPFFBG98DA,新三泰段,86.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUPMLQJJIPFFBG98DA,新三泰段,2.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVPMLQJJIPFFBG09DA,新三泰段,3.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVPMLQJJIPFFBG09DA,新三泰段,77.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVOMLKKJIPFFBG48DA,金古段,195.93,都市：其他:住宅區,全筆移轉
RPVNMLTJJIPFFBG56DA,武營段,27.16,都市：其他:住宅區,持分移轉
RPRNMLKKJIPFFBG97DA,內湖二段,67.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSNMLNLIIPFFBG38DA,建業段,123.50,都市：其他:住宅區(住二),全筆移轉
RPSNMLNLIIPFFBG38DA,建業段,17.38,都市：其他:住宅區(住二),持分移轉
RPSNMLNLIIPFFBG38DA,建業段,13.15,都市：其他:住宅區(住二),持分移轉
RPTOMLKKJIPFFBG28DA,金泰段,1214.28,都市：其他:農業區,持分移轉
RPUOMLTJJIPFFAG09DA,國民一段,4.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPUOMLTJJIPFFAG09DA,國民一段,106.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQOMLKKJIPFFBG08EA,新三泰段,46.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
