編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTJJIPFFAG68DA,一樓平面,0,,一樓
RPVNMLTJJIPFFBG56DA,坡道平面,0,,地下一樓
RPPOMLLKJIPFFAG87DA,一樓平面,0,,一樓
RPTNMLMKJIPFFBG38DA,一樓平面,0,,一樓
RPPOMLNKJIPFFBG28EA,坡道平面,0,,地下一樓
RPVNMLKKJIPFFBG38DA,坡道機械,0,,地下一樓
RPUQMLKKJIPFFAG48DA,升降平面,0,,一樓
RPSNMLMKJIPFFBG28DA,坡道平面,0,,地下一樓
RPSNMLMKJIPFFAG18DA,坡道平面,0,,地下二樓
RPQPMLMKIIPFFBG18DA,坡道平面,900000,29.65,地下二樓
RPOPMLLKJIPFFAG87DA,坡道平面,1300000,45.85,地下二樓
RPSNMLOJJIPFFAG28DA,坡道機械,0,,地下二樓
RPWOMLQKJIPFFAG09DA,坡道平面,0,,地下二樓
RPTPMLLKJIPFFAG38DA,坡道平面,1300000,45.85,地下二樓
RPQPMLLKJIPFFAG08DA,坡道平面,1300000,45.85,地下二樓
RPQNMLMKJIPFFAG97DA,坡道機械,0,,地下一樓
RPPNMLRKJIPFFBG48DA,坡道機械,0,,地下一樓
RPRPMLLKJIPFFAG18DA,坡道平面,1300000,45.85,地下二樓
RPSPMLLKJIPFFAG28DA,坡道平面,1300000,45.85,地下二樓
