鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,建物,宜蘭縣羅東鎮博愛路31~60號,0.0,住,,,1091008,土地0建物1車位0,二層,12,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1080903,36.99,1,1,1,有,無,有,12000,324,,0.0,0,,RPOOMLNKIIPFFAG97CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮興東南路61~90號,92.0,住,,,1091011,土地1建物1車位0,一層,3,店面(店鋪),住家用,鋼筋混凝土加強磚造,0591207,70.31,0,0,1,有,無,有,17000,242,,0.0,0,109.10月裝修日1個月,租賃起始日為109.11.11~110.11.10,RPSOMLNKIIPFFAG38CC
五結鄉,房地(土地+建物),宜蘭縣五結鄉中正西路41巷2弄1~30號,5.1,住,,,1091010,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831227,98.78,2,2,2,有,無,有,13000,132,,0.0,0,,RPUOMLNKIIPFFAG58CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮民生東路61~90號,34.0,商,,,1091004,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0500515,101.55,0,0,1,有,無,無,20000,197,,0.0,0,,RPXNMLNKIIPFFAG98EC
宜蘭市,建物,宜蘭縣宜蘭市中山路二段121~150號,0.0,住,,,1091012,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890427,96.51,3,2,2,有,無,有,14000,145,,0.0,0,,RPVNMLOKIIPFFBG78CC
宜蘭市,建物,宜蘭縣宜蘭市舊城南路31~60號,0.0,商,,,1091011,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0941007,29.22,1,0,1,有,無,有,6500,222,,0.0,0,,RPWNMLOKIIPFFBG88CC
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮公正路271~300號,11.96,住,,,1091015,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840331,110.93,3,2,2,有,無,有,11400,103,升降機械,11.76,0,租賃期間109.11.1~110.10.31,RPSOMLPKIIPFFAG58CC
宜蘭市,建物,宜蘭縣宜蘭市民權新路61~90號,0.0,住,,,1090924,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,75.58,0,0,1,有,無,有,11000,146,,0.0,0,,RPVOMLTKIIPFFBG76CC
宜蘭市,建物,宜蘭縣宜蘭市舊城南路31~60號,0.0,商,,,1091018,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0941007,43.38,1,0,1,有,無,有,10000,231,,0.0,0,,RPTNMLKLIIPFFBG28CC
礁溪鄉,建物,宜蘭縣礁溪鄉大忠路181~210號,0.0,住,,,1091020,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880709,28.02,1,1,1,有,有,有,8000,286,,0.0,0,,RPQOMLKLIIPFFBG08CC
宜蘭市,建物,宜蘭縣宜蘭市進士路94巷1~30號,0.0,住,,,1091001,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,124.53,3,2,3,有,無,無,12500,100,,0.0,0,,RPSNMLKLIIPFFBG28DC
礁溪鄉,建物,宜蘭縣礁溪鄉德陽路133巷1~30號,0.0,住,,,1091006,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,108.9,0,0,0,無,無,無,12000,110,,0.0,0,,RPWNMLKLIIPFFBG68DC
