編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLOKIIPFFBG88CC,15,29.22,住商用,鋼筋混凝土造,94年10月7日,四層,
RPSOMLNKIIPFFAG38CC,50,70.31,住家用,鋼筋混凝土加強磚造,59年12月7日,三層,
RPVOMLTKIIPFFBG76CC,,75.58,住家用,鋼筋混凝土加強磚造,,二層,
RPXNMLNKIIPFFAG98EC,59,101.55,住商用,鋼筋混凝土加強磚造,50年5月15日,三層,
RPVNMLOKIIPFFBG78CC,20,96.51,住家用,鋼筋混凝土造,89年4月27日,十二層,
RPSNMLKLIIPFFBG28DC,39,124.53,住家用,鋼筋混凝土造,71年2月27日,五層,
RPUOMLNKIIPFFAG58CC,26,98.78,住家用,鋼筋混凝土造,83年12月27日,六層,
RPOOMLNKIIPFFAG97CC,1,36.99,見其他登記事項,見其他登記事項,108年9月3日,十二層,
RPTNMLKLIIPFFBG28CC,15,43.38,住商用,鋼筋混凝土造,94年10月7日,四層,
RPSOMLPKIIPFFAG58CC,26,110.93,住家用,鋼筋混凝土造,84年3月31日,十二層,
RPQOMLKLIIPFFBG08CC,21,28.02,住家用,鋼筋混凝土造,88年7月9日,八層,
RPWNMLKLIIPFFBG68DC,,108.90,住家用,鋼筋混凝土加強磚造,,二層,
