編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLOKIIPFFBG88CC,巽門二段,.00,都市：商,全筆移轉
RPSOMLNKIIPFFAG38CC,南昌段,92.00,都市：住,全筆移轉
RPVOMLTKIIPFFBG76CC,坤門二段,.00,都市：住,全筆移轉
RPXNMLNKIIPFFAG98EC,信義段,34.00,都市：商,全筆移轉
RPVNMLOKIIPFFBG78CC,女中段,.00,都市：住,全筆移轉
RPSNMLKLIIPFFBG28DC,珍子滿力段擺厘小段,.00,都市：住,全筆移轉
RPUOMLNKIIPFFAG58CC,百福段,5.10,都市：住,全筆移轉
RPOOMLNKIIPFFAG97CC,南昌段,.00,都市：住,全筆移轉
RPTNMLKLIIPFFBG28CC,巽門二段,.00,都市：商,全筆移轉
RPSOMLPKIIPFFAG58CC,北成段,11.96,都市：住,全筆移轉
RPQOMLKLIIPFFBG08CC,忠義段,.00,都市：住,全筆移轉
RPWNMLKLIIPFFBG68DC,五峰段,.00,都市：住,全筆移轉
