鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
桃園區,土地,延壽段781~810地號,3.93,都市：其他:第二種住宅區,,,1090910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,333200,84784,,0.0,0,,RPUTMLOLRHPFFAH47DA,0.0,0.0,0.0,無
桃園區,房地(土地+建物)+車位,大興西路二段139巷151~180號,11.11,都市：其他:住宅區,,,1090925,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,94.03,2,1,1,有,有,6200000,78125,坡道平面,33.87,1500000,,RPRRMLPLRHPFFAH07DA,38.7,0.0,3.52,有
桃園區,房地(土地+建物)+車位,延壽街121之10巷1~30號,9.34,都市：其他:商業區,,,1090919,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900223,68.96000000000001,1,1,1,有,有,4000000,58005,坡道平面,0.0,0,其他增建;,RPPRMLQLRHPFFAH96DA,27.26,0.0,1.86,有
桃園區,房地(土地+建物)+車位,大有路451~480號,23.9,都市：其他:住宅區,,,1090929,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030610,157.15,3,2,2,有,有,10500000,73952,坡道平面,35.45,1500000,陽台外推;其他增建;,RPTTMLTLRHPFFAH87DA,72.76,1.72,9.74,有
桃園區,房地(土地+建物)+車位,民有五街241~270號,16.98,都市：其他:住宅區,,,1091007,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860918,104.43,4,2,2,有,有,6700000,79494,坡道平面,36.5,1300000,陽台外推;夾層;其他增建;,RPWRMLRJIIPFFAH76DA,52.28,0.0,6.97,有
桃園區,房地(土地+建物),興一街91~120號,16.28,都市：其他:住宅區,,,1091007,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820512,102.94,3,2,2,有,有,5000000,48572,,0.0,0,其他增建;,RPXNMLRJIIPFFAH09DA,76.41,2.82,9.73,有
桃園區,房地(土地+建物)+車位,保定三街89巷1~30號,30.44,都市：其他:住宅區,,,1090910,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060111,205.58,3,2,2,有,有,14900000,72478,坡道平面,0.0,0,,RPTRMLRJIIPFFAH09DA,108.67,0.0,11.23,有
桃園區,房地(土地+建物)+車位,中平路121~150號,19.3,都市：其他:第二種住宅區,,,1091008,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831015,133.97,3,1,2,有,有,6100000,45533,坡道平面,0.0,1000000,其他增建;,RPOSMLSJIIPFFAH78DA,84.67,2.46,3.5,有
桃園區,房地(土地+建物)+車位,中正三街151~180號,16.86,都市：其他:住宅區,,,1091004,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000301,130.65,2,2,1,有,有,8340000,63835,坡道平面,35.59,0,,RPVTMLNKIIPFFAH56DA,53.24,4.33,9.05,有
