編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRRMLPLRHPFFAH07DA,12,42.22,住家用,鋼筋混凝土造,97年4月24日,十二層,十二層
RPRRMLPLRHPFFAH07DA,12,51.81,共有部份,鋼筋混凝土造,97年4月24日,十三層,
RPWRMLRJIIPFFAH76DA,23,59.25,住家用,鋼筋混凝土造,86年9月18日,十二層,七層
RPWRMLRJIIPFFAH76DA,23,.19,住家用,鋼筋混凝土造,86年9月18日,十二層,一層
RPWRMLRJIIPFFAH76DA,23,36.50,共有部份,鋼筋混凝土造,86年9月18日,十二層,
RPWRMLRJIIPFFAH76DA,23,8.49,共有部份,鋼筋混凝土造,86年9月18日,十二層,
RPWRMLRJIIPFFAH76DA,23,.00,共有部份,鋼筋混凝土造,86年9月18日,十二層,
RPPRMLQLRHPFFAH96DA,20,29.12,住家用,鋼筋混凝土造,90年2月23日,十層,七層
RPPRMLQLRHPFFAH96DA,20,39.84,共有部份,鋼筋混凝土造,90年2月23日,十層,
RPVTMLNKIIPFFAH56DA,10,66.62,住家用,鋼筋混凝土造,100年3月1日,十二層,七層
RPVTMLNKIIPFFAH56DA,10,64.03,見其他登記事項,鋼筋混凝土造,100年3月1日,十三層,
RPTRMLRJIIPFFAH09DA,4,119.90,住家用,鋼筋混凝土造,106年1月11日,十五層,六層
RPTRMLRJIIPFFAH09DA,4,85.68,見其他登記事項,鋼筋混凝土造,106年1月11日,十五層,
RPTTMLTLRHPFFAH87DA,6,42.12,住家用,鋼筋混凝土造,103年6月10日,十四層,四層
RPTTMLTLRHPFFAH87DA,6,42.12,住家用,鋼筋混凝土造,103年6月10日,十四層,四層
RPTTMLTLRHPFFAH87DA,6,36.46,見其他登記事項,鋼筋混凝土造,103年6月10日,十四層,
RPTTMLTLRHPFFAH87DA,6,36.46,見其他登記事項,鋼筋混凝土造,103年6月10日,十四層,
RPXNMLRJIIPFFAH09DA,27,88.96,住家用,鋼筋混凝土造,82年5月12日,十一層,三層
RPXNMLRJIIPFFAH09DA,27,13.98,共有部份,鋼筋混凝土造,82年5月12日,十二層,
RPROMLRLIIPFFAH78DA,1,99.90,住家用,鋼筋混凝土造,109年2月27日,十三層,十三層
RPROMLRLIIPFFAH78DA,1,20.44,見其他登記事項,鋼筋混凝土造,109年2月27日,十三層,
RPROMLRLIIPFFAH78DA,1,53.73,見其他登記事項,鋼筋混凝土造,109年2月27日,十三層,
RPQNMLSLIIPFFAH68DA,3,222.26,住家用,鋼筋混凝土造,107年1月26日,二十六層,十二層
RPQNMLSLIIPFFAH68DA,3,46.18,見其他登記事項,鋼筋混凝土造,107年1月26日,二十六層,
RPQNMLSLIIPFFAH68DA,3,141.99,見其他登記事項,鋼筋混凝土造,107年1月26日,二十六層,
RPVQMLLLIIPFFAH78DA,5,87.69,住家用,鋼筋混凝土造,104年10月5日,十三層,四層
RPVQMLLLIIPFFAH78DA,5,118.04,見其他登記事項,鋼筋混凝土造,104年10月5日,十三層,
RPUPMLTLIIPFFAH76DA,,54.16,住家用,鋼筋混凝土造,109年5月7日,十二層,二層
RPUPMLTLIIPFFAH76DA,,55.46,見其他登記事項,鋼筋混凝土造,109年5月7日,十二層,
RPTNMLLMIIPFFAH38DA,18,.16,見其他登記事項,鋼筋混凝土造,91年4月23日,十四層,一層
RPTNMLLMIIPFFAH38DA,18,107.73,住家用,鋼筋混凝土造,91年4月23日,十四層,二層
RPTNMLLMIIPFFAH38DA,18,20.62,共有部份,鋼筋混凝土造,91年4月23日,十四層,
RPTNMLLMIIPFFAH38DA,18,.01,共有部份,鋼筋混凝土造,91年4月23日,十四層,
RPTNMLLMIIPFFAH38DA,18,8.77,共有部份,鋼筋混凝土造,91年4月23日,十四層,
RPTNMLLMIIPFFAH38DA,18,39.84,共有部份,鋼筋混凝土造,91年4月23日,十四層,
RPOSMLSJIIPFFAH78DA,26,90.63,住家用,鋼筋混凝土造,83年10月15日,八層,二層
RPOSMLSJIIPFFAH78DA,26,6.98,共有部份,鋼筋混凝土造,83年10月15日,八層,
RPOSMLSJIIPFFAH78DA,26,3.64,共有部份,鋼筋混凝土造,83年10月15日,八層,
RPOSMLSJIIPFFAH78DA,26,32.72,共有部份,鋼筋混凝土造,83年10月15日,八層,
RPXNMLKLIIPFFAH58DA,1,38.46,住家用,鋼筋混凝土造,109年1月2日,十五層,六層
RPXNMLKLIIPFFAH58DA,1,19.64,見其他登記事項,鋼筋混凝土造,109年1月2日,十五層,
RPPOMLKLIIPFFAH87DA,1,38.46,住家用,鋼筋混凝土造,109年1月2日,十五層,七層
RPPOMLKLIIPFFAH87DA,1,19.64,見其他登記事項,鋼筋混凝土造,109年1月2日,十五層,
RPSTMLNJJIPFFAH88DA,8,62.36,住家用,鋼筋混凝土造,101年7月26日,十五層,六層
RPSTMLNJJIPFFAH88DA,8,2.91,見其他登記事項,鋼筋混凝土造,101年7月26日,十五層,
RPSTMLNJJIPFFAH88DA,8,54.09,見其他登記事項,鋼筋混凝土造,101年7月26日,十五層,
RPVTMLNJJIPFFAH56DA,29,117.06,住家用,鋼筋混凝土造,80年11月11日,十二層,十一層
RPVTMLNJJIPFFAH56DA,29,36.17,見其他登記事項,鋼筋混凝土造,80年11月11日,十二層,地下二層
RPVTMLNJJIPFFAH56DA,29,9.18,共有部份,鋼筋混凝土造,80年11月11日,十二層,
RPPQMLTLIIPFFAH98DA,10,46.50,住家用,鋼筋混凝土造,100年3月9日,十四層,二層
RPPQMLTLIIPFFAH98DA,10,19.69,見其他登記事項,鋼筋混凝土造,100年3月9日,十五層,
RPRRMLQJJIPFFAH88DA,,81.85,住家用,鋼筋混凝土造,109年6月22日,十四層,三層
RPRRMLQJJIPFFAH88DA,,11.57,見其他登記事項,鋼筋混凝土造,109年6月22日,十四層,
