編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRRMLPLRHPFFAH07DA,慈文段,11.11,都市：其他:住宅區,持分移轉
RPWRMLRJIIPFFAH76DA,寶山段,16.98,都市：其他:住宅區,持分移轉
RPPRMLQLRHPFFAH96DA,延壽段,9.34,都市：其他:商業區,持分移轉
RPVTMLNKIIPFFAH56DA,埔子段埔子小段,16.86,都市：其他:住宅區,持分移轉
RPTRMLRJIIPFFAH09DA,中路三段,30.44,都市：其他:住宅區,持分移轉
RPTTMLTLRHPFFAH87DA,大有段,11.95,都市：其他:住宅區,持分移轉
RPTTMLTLRHPFFAH87DA,大有段,11.95,都市：其他:住宅區,持分移轉
RPXNMLRJIIPFFAH09DA,大有段,16.28,都市：其他:住宅區,持分移轉
RPQNMLOKIIPFFAH18DA,埔子段北門埔子小段,13.05,都市：其他:道路用地,持分移轉
RPQNMLOKIIPFFAH18DA,埔子段北門埔子小段,5.85,都市：其他:道路用地,持分移轉
RPROMLRLIIPFFAH78DA,水汴頭段,25.94,都市：其他:住宅區,持分移轉
RPQNMLSLIIPFFAH68DA,中路二段,53.42,都市：其他:住宅區,持分移轉
RPVQMLLLIIPFFAH78DA,和平段,27.76,都市：其他:住宅區,持分移轉
RPUPMLTLIIPFFAH76DA,中路三段,15.61,都市：其他:住宅區,持分移轉
RPTNMLLMIIPFFAH38DA,同安段,16.35,都市：其他:住宅區,持分移轉
RPUTMLOLRHPFFAH47DA,延壽段,3.93,都市：其他:第二種住宅區,持分移轉
RPOSMLSJIIPFFAH78DA,中山段,19.30,都市：其他:第二種住宅區,持分移轉
RPXNMLKLIIPFFAH58DA,桃園段武陵小段,6.72,都市：其他:商業區,持分移轉
RPPOMLKLIIPFFAH87DA,桃園段武陵小段,6.72,都市：其他:商業區,持分移轉
RPSTMLNJJIPFFAH88DA,埔子段埔子小段,13.51,都市：其他:住宅區,持分移轉
RPVTMLNJJIPFFAH56DA,埔子段埔子小段,21.58,都市：其他:住宅區,持分移轉
RPPQMLTLIIPFFAH98DA,慈文段,10.94,都市：其他:住宅區,持分移轉
RPPQMLTLIIPFFAH98DA,慈文段,.15,都市：其他:綠地用地,持分移轉
RPRRMLQJJIPFFAH88DA,水汴頭段,22.75,都市：其他:住宅區,持分移轉
RPTRMLQJJIPFFAH09DA,埔子段埔子小段,13.51,都市：其他:住宅區,持分移轉
RPQQMLQJJIPFFAH68DA,中埔段,34.51,都市：其他:住宅區,持分移轉
RPWOMLQJJIPFFAH09DA,和平段,15.36,都市：其他:住宅區,持分移轉
RPORMLQJJIPFFAH58DA,水汴頭段,11.38,都市：其他:住宅區,持分移轉
RPORMLQJJIPFFAH58DA,水汴頭段,11.38,都市：其他:住宅區,持分移轉
RPXQMLQJJIPFFAH76DA,水汴頭段,27.52,都市：其他:住宅區,持分移轉
RPUOMLQJJIPFFAH88DA,中路段,18.56,都市：其他:住宅區,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段北門埔子小段,5.00,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,桃園段中南小段,3.50,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,介壽段,6.27,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,介壽段,37.69,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,桃園段公館頭小段,3.67,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,桃園段公館頭小段,21.33,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段北門埔子小段,5.20,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,陽明段,119.45,都市：其他:道路用地,全筆移轉
RPSSMLNJJIPFFAH78DA,埔子段北門埔子小段,24.00,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段北門埔子小段,5.50,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段北門埔子小段,4.40,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,4.55,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,.46,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,2.27,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,東國段,4.67,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,16.00,都市：其他:道路用地,全筆移轉
RPSSMLNJJIPFFAH78DA,大樹林段,1.00,都市：其他:道路用地,全筆移轉
RPSSMLNJJIPFFAH78DA,大樹林段,.40,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,127.80,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,1.20,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,三元段,209.60,都市：其他:河川區,持分移轉
RPSSMLNJJIPFFAH78DA,昆明段,2.59,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,玉山段,.68,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,玉山段,3.45,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,陽明段,1.64,都市：其他:道路用地,全筆移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,26.00,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,9.20,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,2.54,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,大樹林段,6.42,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,.28,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,2.11,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,3.17,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,.67,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,32.33,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,17.42,都市：其他:道路用地,持分移轉
RPSSMLNJJIPFFAH78DA,埔子段埔子小段,15.24,都市：其他:道路用地,持分移轉
