編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRRMLPLRHPFFAH07DA,坡道平面,1500000,33.87,地下三樓
RPWRMLRJIIPFFAH76DA,坡道平面,1300000,36.50,地下一樓
RPPRMLQLRHPFFAH96DA,坡道平面,0,,地下二樓
RPVTMLNKIIPFFAH56DA,坡道平面,0,35.59,地下一樓
RPTRMLRJIIPFFAH09DA,坡道平面,0,,地下一樓
RPTTMLTLRHPFFAH87DA,坡道平面,1500000,35.45,地下二樓
RPROMLRLIIPFFAH78DA,坡道平面,1950000,25.32,地下一樓
RPQNMLSLIIPFFAH68DA,坡道平面,0,28.42,地下三樓
RPQNMLSLIIPFFAH68DA,坡道平面,0,28.42,地下三樓
RPQNMLSLIIPFFAH68DA,坡道平面,0,28.42,地下三樓
RPVQMLLLIIPFFAH78DA,坡道平面,1700000,33.77,地下一樓
RPVQMLLLIIPFFAH78DA,坡道平面,1700000,33.77,地下一樓
RPUPMLTLIIPFFAH76DA,坡道平面,1650000,26.55,地下三樓
RPTNMLLMIIPFFAH38DA,坡道平面,0,,地下二樓
RPOSMLSJIIPFFAH78DA,坡道平面,1000000,,
RPSTMLNJJIPFFAH88DA,坡道平面,0,30.47,地下一樓
RPVTMLNJJIPFFAH56DA,坡道平面,0,36.17,地下二樓
RPRRMLQJJIPFFAH88DA,坡道平面,1750000,37.41,地下三樓
RPTRMLQJJIPFFAH09DA,坡道平面,0,,地下三樓
RPQQMLQJJIPFFAH68DA,坡道平面,0,,地下一樓
RPWOMLQJJIPFFAH09DA,坡道平面,0,,地下二樓
RPXQMLQJJIPFFAH76DA,坡道平面,1750000,37.41,地下三樓
RPORMLQJJIPFFAH58DA,坡道平面,1750000,37.41,地下三樓
RPUSMLTJRHPFFBH77DA,坡道平面,1350000,30.49,地下一樓
RPTOMLTJJIPFFAH09DA,坡道平面,1800000,35.58,地下一樓
RPRSNLKKRHPFFBH76DA,坡道平面,1350000,30.49,地下一樓
RPOOMLMJRHPFFBH68DA,坡道平面,0,,地下一樓
RPRNMLLKRHPFFBH88DA,坡道平面,1080000,30.49,地下四樓
RPPQNLKKRHPFFBH98DA,坡道平面,1250000,30.49,地下三樓
RPSOMLLKRHPFFBH09DA,坡道平面,1350000,30.49,地下一樓
RPSSMLLKRHPFFBH86DA,坡道平面,1180000,30.49,地下四樓
RPWPMLLKRHPFFBH96DA,坡道平面,1300000,30.49,地下二樓
RPXTNLKKRHPFFBH47DA,坡道平面,1250000,30.49,地下三樓
RPOVMLLKRHPFFBH76DA,坡道平面,1300000,28.43,地下一樓
RPQTMLLKRHPFFBH76DA,坡道平面,1300000,30.49,地下二樓
RPXUMLLKRHPFFBH57DA,坡道平面,1350000,30.49,地下一樓
RPTRMLLKRHPFFBH86DA,坡道平面,1300000,30.49,地下二樓
RPUONLLKRHPFFBH76DA,坡道平面,1250000,30.49,地下三樓
RPRWMLLKRHPFFBH17DA,坡道平面,1250000,30.49,地下三樓
RPORNLLKRHPFFBH09DA,坡道平面,1130000,28.43,地下四樓
RPPRNLLKRHPFFBH56DA,坡道平面,1170000,30.49,地下三樓
RPSNOLLKRHPFFBH56DA,坡道平面,1180000,30.49,地下四樓
RPXUNLLKRHPFFBH67DA,坡道平面,1350000,30.49,地下一樓
RPPSNLLKRHPFFBH66DA,坡道平面,1350000,30.49,地下一樓
RPVWNLLKRHPFFBH67DA,坡道平面,1300000,30.49,地下二樓
RPPPOLLKRHPFFBH09DA,坡道平面,1200000,28.43,地下三樓
RPRRNLLKRHPFFBH76DA,坡道平面,1300000,30.49,地下二樓
RPWOOLLKRHPFFBH07DA,坡道平面,1250000,30.49,地下三樓
RPXTNLLKRHPFFBH57DA,坡道平面,1300000,28.43,地下一樓
RPOSOLLKRHPFFBH66DA,坡道平面,1180000,30.49,地下四樓
RPWSOLLKRHPFFBH47DA,坡道平面,1180000,30.49,地下四樓
RPSQOLLKRHPFFBH86DA,坡道平面,1130000,28.43,地下四樓
RPVRMLQLRHPFFBH67DA,坡道平面,1250000,30.49,地下三樓
RPQPMLLLIIPFFBH28DA,坡道平面,1520000,28.45,地下三樓
RPOTMLTKIIPFFBH56DA,坡道平面,1550000,28.45,地下三樓
RPTRMLQLIIPFFBH66DA,坡道平面,1600000,33.68,地下二樓
RPVOMLTLIIPFFBH86DA,坡道平面,0,26.47,地下一樓
RPVOMLTLIIPFFBH86DA,坡道平面,0,26.47,地下一樓
RPVSMLNJJIPFFBH56DA,坡道平面,0,,地下一樓
RPPRMLQJJIPFFBH78DA,坡道平面,1500000,34.35,地下一樓
RPPRMLQJJIPFFBH78DA,坡道平面,1500000,34.35,地下一樓
RPURMLQJJIPFFBH66DA,坡道平面,1500000,34.35,地下一樓
RPURMLQJJIPFFBH66DA,坡道平面,1400000,29.16,地下一樓
RPWSMLTJJIPFFBH27DA,坡道平面,0,,地下一樓
