鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1071219,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.96,2,2,2,有,無,7900000,122048,坡道平面,25.57,1750000,,RPPNMLLKIIPFFAH77CB
桃園區,房地(土地+建物),中路三段91~120地號,0.03,住,,,1070804,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,6200000,81472,,0.0,0,,RPQNMLLKIIPFFAH87CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1080311,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7350000,112804,坡道平面,25.57,1650000,,RPRNMLLKIIPFFAH97CB
桃園區,房地(土地+建物),中路三段91~120地號,0.03,住,,,1080430,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,6320000,83049,,0.0,0,,RPSNMLLKIIPFFAH08CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1071012,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7400000,111815,坡道平面,25.57,1750000,,RPTNMLLKIIPFFAH18CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1070807,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7150000,108485,坡道平面,24.48,1550000,,RPUNMLLKIIPFFAH28CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1071012,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7500000,113794,坡道平面,25.57,1750000,,RPVNMLLKIIPFFAH38CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1071219,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7690000,115575,坡道平面,25.57,1850000,,RPWNMLLKIIPFFAH48CB
桃園區,房地(土地+建物),中路三段91~120地號,0.03,住,,,1070807,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,6180000,81209,,0.0,0,,RPXNMLLKIIPFFAH58CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1070807,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7630000,113909,坡道平面,24.48,1750000,,RPOOMLLKIIPFFAH77CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1070807,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7450000,112804,坡道平面,25.57,1750000,,RPPOMLLKIIPFFAH87CB
桃園區,房地(土地+建物),中路三段91~120地號,0.03,住,,,1070807,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,6460000,84888,,0.0,0,,RPQOMLLKIIPFFAH97CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1080730,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7730000,118346,坡道平面,25.57,1750000,,RPROMLLKIIPFFAH08CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.03,住,,,1080810,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.1,2,2,2,有,無,7550000,114297,坡道平面,24.48,1650000,,RPUOMLLKIIPFFAH38CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1070807,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11750000,92801,坡道平面,25.57,1850000,,RPVOMLLKIIPFFAH48CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1090115,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11600000,92332,坡道平面,25.57,1750000,,RPWOMLLKIIPFFAH58CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1081003,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11380000,89333,坡道平面,25.57,1850000,,RPXOMLLKIIPFFAH68CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1071219,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11500000,90470,坡道平面,24.48,1750000,,RPOPMLLKIIPFFAH87CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1080217,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11350000,89079,坡道平面,24.48,1750000,,RPPPMLLKIIPFFAH97CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1080521,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11800000,93254,坡道平面,24.48,1750000,,RPQPMLLKIIPFFAH08CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1080408,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,12120000,96269,坡道平面,25.57,1850000,,RPRPMLLKIIPFFAH18CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1080521,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11900000,94207,坡道平面,25.57,1850000,,RPSPMLLKIIPFFAH28CB
桃園區,房地(土地+建物)+車位,中路三段91~120地號,0.08,住,,,1080401,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.25,3,2,2,有,無,11680000,92145,坡道平面,25.57,1850000,,RPUPMLLKIIPFFAH48CB
