編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLLKIIPFFAH77CB,中路三段,.03,都市：住,持分移轉
RPSNMLLKIIPFFAH08CB,中路三段,.03,都市：住,持分移轉
RPTNMLLKIIPFFAH18CB,中路三段,.03,都市：住,持分移轉
RPXNMLLKIIPFFAH58CB,中路三段,.03,都市：住,持分移轉
RPQNMLLKIIPFFAH87CB,中路三段,.03,都市：住,持分移轉
RPRNMLLKIIPFFAH97CB,中路三段,.03,都市：住,持分移轉
RPVNMLLKIIPFFAH38CB,中路三段,.03,都市：住,持分移轉
RPWNMLLKIIPFFAH48CB,中路三段,.03,都市：住,持分移轉
RPUNMLLKIIPFFAH28CB,中路三段,.03,都市：住,持分移轉
RPOOMLLKIIPFFAH77CB,中路三段,.03,都市：住,持分移轉
RPQOMLLKIIPFFAH97CB,中路三段,.03,都市：住,持分移轉
RPUOMLLKIIPFFAH38CB,中路三段,.03,都市：住,持分移轉
RPPOMLLKIIPFFAH87CB,中路三段,.03,都市：住,持分移轉
RPXOMLLKIIPFFAH68CB,中路三段,.08,都市：住,持分移轉
RPWOMLLKIIPFFAH58CB,中路三段,.08,都市：住,持分移轉
RPROMLLKIIPFFAH08CB,中路三段,.03,都市：住,持分移轉
RPOPMLLKIIPFFAH87CB,中路三段,.08,都市：住,持分移轉
RPVOMLLKIIPFFAH48CB,中路三段,.08,都市：住,持分移轉
RPPPMLLKIIPFFAH97CB,中路三段,.08,都市：住,持分移轉
RPQPMLLKIIPFFAH08CB,中路三段,.08,都市：住,持分移轉
RPRPMLLKIIPFFAH18CB,中路三段,.08,都市：住,持分移轉
RPOOMLTKIIPFFDH88CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPUPMLLKIIPFFAH48CB,中路三段,.08,都市：住,持分移轉
RPQOMLTKIIPFFDH09CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPPOMLQKIIPFFBH68EB,青溪段,.38,都市：住,持分移轉
RPSPMLLKIIPFFAH28CB,中路三段,.08,都市：住,持分移轉
RPVPMLLKIIPFFAH58CB,中路三段,.08,都市：住,持分移轉
RPROMLTKIIPFFDH56CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPSOMLTKIIPFFDH66CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPTOMLTKIIPFFDH76CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPXOMLTKIIPFFDH17CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPVOMLTKIIPFFDH96CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPUOMLTKIIPFFDH86CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPWOMLTKIIPFFDH07CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPQPMLTKIIPFFDH56CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPPPMLTKIIPFFDH09CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPOPMLTKIIPFFDH98CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPSPMLTKIIPFFDH76CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPRPMLTKIIPFFDH66CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
RPWPMLTKIIPFFDH17CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPUPMLTKIIPFFDH96CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPVPMLTKIIPFFDH07CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPXPMLTKIIPFFDH27CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPPQMLTKIIPFFDH56CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPOQMLTKIIPFFDH09CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPTPMLTKIIPFFDH86CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPQQMLTKIIPFFDH66CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPVQMLTKIIPFFDH17CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPTQMLTKIIPFFDH96CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPRQMLTKIIPFFDH76CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPUQMLTKIIPFFDH07CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPSQMLTKIIPFFDH86CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPPRMLTKIIPFFDH66CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPWQMLTKIIPFFDH27CB,大金山下段大金山下小段,15.14,都市：住,持分移轉
RPXQMLTKIIPFFDH37CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPORMLTKIIPFFDH56CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPQRMLTKIIPFFDH76CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPRRMLTKIIPFFDH86CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPSRMLTKIIPFFDH96CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPURMLTKIIPFFDH17CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPWRMLTKIIPFFDH37CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPTRMLTKIIPFFDH07CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPOSMLTKIIPFFDH66CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPQSMLTKIIPFFDH86CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPXRMLTKIIPFFDH47CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPPSMLTKIIPFFDH76CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPVRMLTKIIPFFDH27CB,大金山下段大金山下小段,15.98,都市：住,持分移轉
RPSSMLTKIIPFFDH07CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPRSMLTKIIPFFDH96CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPTSMLTKIIPFFDH17CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPOTMLTKIIPFFDH76CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPQTMLTKIIPFFDH96CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPUSMLTKIIPFFDH27CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPVSMLTKIIPFFDH37CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPTTMLTKIIPFFDH27CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPRTMLTKIIPFFDH07CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPPTMLTKIIPFFDH86CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPUTMLTKIIPFFDH37CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPSTMLTKIIPFFDH17CB,大金山下段大金山下小段,21.38,都市：住,持分移轉
RPWTMLTKIIPFFDH57CB,大金山下段大金山下小段,15.70,都市：住,持分移轉
