鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區仁德四街1~30號,0.0,住,,,1090930,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800627,87.97999999999999,3,1,1,有,無,有,9500,108,,0.0,0,社會住宅/ 管理費500月,RPPNMLLKIIPFFBH97CC
中壢區,房地(土地+建物)+車位,桃園市中壢區新榮街32巷1~30號,30.61,住,,,1091008,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791226,164.76,3,2,2,有,有,有,15500,94,升降平面,0.0,0,,RPSQMLMKIIPFFBH68CC
中壢區,建物,桃園市中壢區文化路331~360號,0.0,住,,,1090911,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701121,81.3,2,1,1,有,無,有,10000,123,,0.0,0,社會住宅,RPRRMLMKIIPFFBH68CC
中壢區,建物,桃園市中壢區文化路331~360號,0.0,住,,,1090918,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701121,81.3,3,1,1,有,無,有,14000,172,,0.0,0,社會住宅,RPURMLMKIIPFFBH98CC
觀音區,建物,桃園市觀音區仁德街1~30號,0.0,,工業區,丁種建築用地,1090919,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041222,84.78999999999999,2,2,2,有,有,有,11000,130,,0.0,0,,RPVRMLMKIIPFFBH09CC
中壢區,建物,桃園市中壢區振興街121~150號,0.0,住,,,1090924,土地0建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780520,25.62,1,0,1,有,有,有,5000,195,,0.0,0,社會住宅,RPWRMLMKIIPFFBH56CC
中壢區,建物,桃園市中壢區環北路331~360號,0.0,住,,,1090919,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781212,128.82,3,2,2,有,有,無,10000,78,,0.0,0,,RPXRMLMKIIPFFBH66CC
中壢區,建物,桃園市中壢區金鋒四街50巷1~30號,0.0,其他,,,1090919,土地0建物1車位0,十四層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930706,39.26,1,1,1,有,有,有,8500,217,,0.0,0,租金含管理費。,RPQSMLMKIIPFFBH68CC
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.75,商,,,1091002,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,95.47,2,2,1,有,無,有,20000,209,坡道平面,22.34,0,,RPTNMLMKIIPFFAH38CC
