編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRRMLMKIIPFFBH68CC,39,81.30,住家用,鋼筋混凝土造,70年11月21日,四層,
RPWRMLMKIIPFFBH56CC,31,18.32,住家用,鋼筋混凝土造,78年5月20日,七層,
RPWRMLMKIIPFFBH56CC,31,2.50,共有部分,鋼筋混凝土造,78年5月20日,七層,
RPWRMLMKIIPFFBH56CC,31,4.80,共有部分,鋼筋混凝土造,78年5月20日,七層,
RPSQMLMKIIPFFBH68CC,30,164.76,住家用,鋼筋混凝土造,79年12月26日,五層,
RPURMLMKIIPFFBH98CC,39,81.30,住家用,鋼筋混凝土造,70年11月21日,四層,
RPVQMLMKIIPFFAH88CC,23,25.65,住家用,鋼筋混凝土造,86年9月1日,十六層,
RPVQMLMKIIPFFAH88CC,23,2.03,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPVQMLMKIIPFFAH88CC,23,5.17,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPTNMLMKIIPFFAH38CC,1,65.40,住家用,鋼筋混凝土造,108年5月28日,十五層,
RPTNMLMKIIPFFAH38CC,1,30.07,見其他登記事項,鋼筋混凝土造,108年5月28日,十五層,
RPPNMLLKIIPFFBH97CC,29,78.99,住家用,鋼筋混凝土造,80年6月27日,六層,
RPPNMLLKIIPFFBH97CC,29,3.03,共有部分,鋼筋混凝土造,80年6月27日,六層,
RPPNMLLKIIPFFBH97CC,29,5.96,共有部分,鋼筋混凝土造,80年6月27日,六層,
RPUNMLMKIIPFFAH48CC,13,53.59,住家用,鋼筋混凝土造,96年10月23日,十三層,
RPUNMLMKIIPFFAH48CC,13,22.40,共有部份,鋼筋混凝土造,96年10月23日,十三層,
RPPOMLMKIIPFFDH38CC,7,58.44,住家用,鋼筋混凝土造,102年11月15日,十二層,
RPPOMLMKIIPFFDH38CC,7,65.46,共同使用部份,鋼筋混凝土造,102年11月15日,十二層,
RPOOMLMKIIPFFDH28CC,3,60.46,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPOOMLMKIIPFFDH28CC,3,59.99,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPORMLMKIIPFFAH28CC,15,250.38,見其他登記事項,鋼筋混凝土造,94年4月6日,五層,
RPORMLMKIIPFFAH28CC,15,11.12,共有部份,鋼筋混凝土造,94年4月6日,五層,
RPXRMLMKIIPFFBH66CC,31,12.49,共有部分,鋼筋混凝土造,78年12月12日,十三層,
RPXRMLMKIIPFFBH66CC,31,116.33,住家用,鋼筋混凝土造,78年12月12日,十三層,
RPQSMLMKIIPFFBH68CC,16,27.70,住家用,鋼筋混凝土造,93年7月6日,十五層,
