編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRRMLMKIIPFFBH68CC,忠孝段,.00,都市：住,全筆移轉
RPWRMLMKIIPFFBH56CC,中壢埔頂段,.00,都市：住,全筆移轉
RPSQMLMKIIPFFBH68CC,三座屋段舊社小段,27.26,都市：住,全筆移轉
RPSQMLMKIIPFFBH68CC,三座屋段舊社小段,3.35,都市：住,全筆移轉
RPURMLMKIIPFFBH98CC,忠孝段,.00,都市：住,全筆移轉
RPVQMLMKIIPFFAH88CC,大有段,.00,都市：住,全筆移轉
RPTNMLMKIIPFFAH38CC,埔子段北門埔子小段,10.07,都市：商,全筆移轉
RPTNMLMKIIPFFAH38CC,埔子段北門埔子小段,.68,都市：商,全筆移轉
RPPNMLLKIIPFFBH97CC,仁美段,.00,都市：住,全筆移轉
RPUNMLMKIIPFFAH48CC,龍安段,14.15,都市：住,全筆移轉
RPPOMLMKIIPFFDH38CC,大金山下段大金山下小段,.00,都市：住,全筆移轉
RPOOMLMKIIPFFDH28CC,大金山下段大金山下小段,.00,都市：住,全筆移轉
RPORMLMKIIPFFAH28CC,中埔段,.00,都市：住,全筆移轉
RPXRMLMKIIPFFBH66CC,忠福段,.00,都市：住,全筆移轉
RPQSMLMKIIPFFBH68CC,普仁段,.00,都市：其他:市場用地,全筆移轉
RPVRMLMKIIPFFBH09CC,工業區段二小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPTOMLMKIIPFFFH98CC,高城段,.00,都市：住,全筆移轉
RPPOMLMKIIPFFAH28EC,龍安段,16.14,都市：住,全筆移轉
RPOOMLMKIIPFFFH48CC,福興段,22.17,都市：商,全筆移轉
RPOQMLMKIIPFFEH58CC,南榮段,47.92,都市：工,全筆移轉
RPSNMLMKIIPFFEH68CC,南新段,2.32,都市：住,全筆移轉
RPSOMLMKIIPFFGH98CC,廣仁段,.00,都市：工,全筆移轉
RPRRMLNKIIPFFEH09CC,河底段,.00,都市：住,全筆移轉
RPXOMLNKIIPFFAH98CC,富國段,14.29,都市：住,全筆移轉
RPTNMLNKIIPFFBH58CC,復興段,1497.52,都市：住,全筆移轉
RPXOMLNKIIPFFBH09CC,青平段,205.98,都市：住,全筆移轉
RPWNMLNKIIPFFGH96EC,平鎮段,9.98,都市：住,全筆移轉
RPWOMLMKIIPFFGH76CC,北興段,.00,都市：住,全筆移轉
RPWOMLMKIIPFFGH76CC,北興段,.00,都市：住,全筆移轉
RPWOMLMKIIPFFGH76CC,北興段,.00,都市：住,全筆移轉
